pmid,species,tissue_type,cell_name,markers
31712411,Human,Choroid,Endothelial cell,"['VWF', 'CD34', 'ICAM2']"
31712411,Human,Choroid,Fibroblast,['FBLN1']
31712411,Human,Choroid,Leukocyte,['PTPRC']
31712411,Human,Choroid,Macrophage,['AIF1']
31712411,Human,Choroid,Mast cell,['KIT']
31712411,Human,Choroid,Melanocyte,"['DCT', 'MLANA', 'PMEL', 'TYRP1']"
31712411,Human,Choroid,Myelinating schwann cell,"['MBP', 'MPZ']"
31712411,Human,Choroid,Natural killer cell,['CD2']
31712411,Human,Choroid,Nonmyelinating schwann cell,"['SCN7A', 'NGFR', 'L1CAM', 'NCAM1']"
31712411,Human,Choroid,Pericyte,['RGS5']
31712411,Human,Choroid,Retinal pigment epithelial cell,"['RPE65', 'BEST1']"
31712411,Human,Choroid,Schwann cell,['PLP1']
31712411,Human,Choroid,Smooth muscle cell,['RGS5']
31712411,Human,Choroid,T cell,['CD2']
31712411,Human,Choroid,Vein cell,"['MMRN1', 'DARC']"
31775049,Mouse,Eye,Astrocyte,['Gfap']
31775049,Mouse,Eye,Ganglion cell,['Pou4f1']
31775049,Mouse,Eye,Microglial cell,['Tmem119']
31848347,Human,Eye,Amacrine cell,['GAD1']
31848347,Human,Eye,Bipolar cell,['NETO1']
31848347,Human,Eye,Cone cell,['ARR3']
31848347,Human,Eye,Horizontal cell,['SEP4']
31848347,Human,Eye,Mueller glia cell,['SLC1A3']
31848347,Human,Eye,Retinal ganglion cell,['RBPMS']
31848347,Human,Eye,Rod cell,['PDE6A']
31892341,Human,Esophagus,B cell,"['IGHD', 'CD27', 'TNFRSF13B', 'FCER2', 'CD19', 'TCL1A', 'CD79A']"
31892341,Human,Esophagus,Basal epithelial cell,"['ITGA6', 'SCPEP1', 'KRT5']"
31892341,Human,Esophagus,CD4+ T cell,"['CD8A', 'CD3E', 'CD4']"
31892341,Human,Esophagus,CD8+ T cell,"['CD8A', 'CD3E', 'CD4']"
31892341,Human,Esophagus,Conventional dendritic cell 2(cDC2),"['CLEC10A', 'CD1C']"
31892341,Human,Esophagus,Cytotoxic T cell,"['GZMB', 'PRF1', 'GNLY']"
31892341,Human,Esophagus,Dividing cell,['MKI67']
31892341,Human,Esophagus,Endothelial cell,"['CLEC14A', 'PECAM1']"
31892341,Human,Esophagus,Gland cell,"['TFF3', 'MUC5B']"
31892341,Human,Esophagus,Gland ductal cell,"['KRT7', 'KRT23']"
31892341,Human,Esophagus,Immune cell,['PTPRC']
31892341,Human,Esophagus,Macrophage,['APOE']
31892341,Human,Esophagus,Mast cell,['TPSB2']
31892341,Human,Esophagus,Monocyte,"['VCAN', 'CD14', 'FCN1']"
31892341,Human,Esophagus,Natural killer cell,"['NCR1', 'NCAM1']"
31892341,Human,Esophagus,Stratified keratinocyte,['KRT4']
31892341,Human,Esophagus,Stromal cell,"['COL1A2', 'DCN', 'FBLN1']"
31892341,Human,Esophagus,Vascular cell,"['VWF', 'CCL21']"
31892341,Human,Lung,Activated dendritic cell,['CCR7']
31892341,Human,Lung,Alveolar cell Type 1,"['AGER', 'SFTPC', 'SLPI', 'EPCAM']"
31892341,Human,Lung,Alveolar cell Type 2,"['AGER', 'SLPI', 'EPCAM', 'SFTPC']"
31892341,Human,Lung,B cell,"['CD79A', 'CD19', 'MS4A1']"
31892341,Human,Lung,CD4+ T cell,"['CD8A', 'CD4', 'CD3E']"
31892341,Human,Lung,CD8+ T cell,"['CD4', 'CD8A', 'CD3E']"
31892341,Human,Lung,Ciliated cell,"['FOXJ1', 'EPCAM', 'PIFO']"
31892341,Human,Lung,Conventional dendritic cell 1(cDC1),"['CLEC9A', 'XCR1']"
31892341,Human,Lung,Conventional dendritic cell 2(cDC2),"['CD1C', 'CLEC10A']"
31892341,Human,Lung,Cytotoxic T cell,"['PRF1', 'GNLY', 'GZMB']"
31892341,Human,Lung,Dividing cell,"['MKI67', 'CDK1']"
31892341,Human,Lung,Fibroblast,"['PDGFRA', 'VCAN']"
31892341,Human,Lung,Macrophage,"['CD5L', 'APOE', 'MARCO']"
31892341,Human,Lung,Mast cell,['TPSB2']
31892341,Human,Lung,Monocyte,"['FCN1', 'CD14', 'VCAN']"
31892341,Human,Lung,Muscularis cell,"['TAGLN', 'ACTA2']"
31892341,Human,Lung,Natural killer cell,"['CD160', 'NCR1', 'NCAM1']"
31892341,Human,Lung,Plasma cell,"['XBP1', 'SDC1', 'JCHAIN']"
31892341,Human,Lung,Plasmacytoid dendritic cell(pDC),"['IL3RC', 'CLEC4C']"
31892341,Human,Lung,Regulatory T(Treg) cell,"['IL2RA', 'FOXP3']"
31892341,Human,Lung,Vascular cell,"['VWF', 'CCL21', 'PECAM1']"
31892341,Human,Spleen,Activated dendritic cell,['CCR7']
31892341,Human,Spleen,B cell,"['CD19', 'MS4A1', 'CD79A']"
31892341,Human,Spleen,CD34+ progenitor cell,"['CD34', 'HOXA9', 'PROM1']"
31892341,Human,Spleen,CD4+ T cell,"['CD8A', 'CD4', 'CD3E']"
31892341,Human,Spleen,CD8+ T cell,"['CD4', 'CD8A', 'CD3E']"
31892341,Human,Spleen,Conventional dendritic cell 1(cDC1),"['XCR1', 'CLEC9A']"
31892341,Human,Spleen,Conventional dendritic cell 2(cDC2),"['CLEC10A', 'CD1C']"
31892341,Human,Spleen,Cytotoxic T cell,"['GZMB', 'PRF1', 'GNLY']"
31892341,Human,Spleen,Dividing cell,"['H2AFZ', 'TUBB', 'MKI67', 'CDK1']"
31892341,Human,Spleen,Follicular B cell,"['TCL1A', 'FCER2', 'IL4R', 'IGHD', 'YBX3']"
31892341,Human,Spleen,Immune cell,['PTPRC']
31892341,Human,Spleen,Innate lymphoid cell,"['KLRB1', 'TNFSF13B', 'IL7R', 'AREG']"
31892341,Human,Spleen,Macrophage,"['CD5L', 'APOE']"
31892341,Human,Spleen,Mait-like cell,"['KLRB1', 'SLC4A10']"
31892341,Human,Spleen,Mantle B cell,"['TNFRSF13B', 'CD27']"
31892341,Human,Spleen,Monocyte,"['FCN1', 'VCAN', 'CD14']"
31892341,Human,Spleen,Natural killer cell,"['CD160', 'NCR1', 'NCAM1', 'FCGR3A']"
31892341,Human,Spleen,Naïve cell,['LEFT']
31892341,Human,Spleen,Plasma cell,"['IGHG1', 'IGHM', 'JCHAIN', 'XBP1', 'SDC1']"
31892341,Human,Spleen,Plasmacytoid dendritic cell,"['CLEC4C', 'IL3RC']"
31892341,Human,Spleen,Platelet,"['PF4', 'GP9']"
31892341,Human,Spleen,Regulatory T(Treg) cell,"['FOXP3', 'IL2RA']"
31892341,Human,Spleen,Somatic hypermutation B cell,['AICDA']
31892341,Human,Spleen,T follicular helper(Tfh) cell,"['ICOS', 'PDCD1', 'CXCR5']"
31892341,Human,Spleen,γ δ T cell,"['TRGV2', 'FCGR3A']"
31980621,Human,Eye,CD8+ T cell,['LAG3']
32023475,Human,Retina,Bipolar cell,"['VSX1', 'RCVRN', 'GRM6', 'OTX2']"
32023475,Human,Retina,Forebrain cell,"['FOXG1+', 'SOX1']"
32023475,Human,Retina,Ganglion cell,['SNCG']
32023475,Human,Retina,Glial cell,"['SLC1A3', 'RLBP1']"
32023475,Human,Retina,Later-stage progenitor cell,"['Rgs16', 'Fabp7']"
32023475,Human,Retina,Neuron,"['OTX2', 'AP2A', 'NEFL', 'ONECUT2']"
32023475,Human,Retina,Photoreceptor cell,"['OTX2', 'RCVRN']"
32023475,Human,Retina,Progenitor cell,"['SOX2', 'VSX2']"
32023475,Human,Retina,Rod cell,['NRL']
32023475,Human,Retina,T helper 1(Th1) cell,['ATOH7']
32060101,Human,Stomach,Antrum gastric epithelial cell,"['PDX1', 'GAST']"
32060101,Human,Stomach,B cell,"['CD79', 'MS4A1', 'CD19']"
32060101,Human,Stomach,CD8 T cell,"['CD8B', 'CD8A']"
32060101,Human,Stomach,Cytotoxic cell,"['NKG7', 'GZMA', 'KLRD1', 'PRF1', 'GZMB', 'GZMH', 'KLRK1', 'CTSW', 'GNLY', 'KLRB1']"
32060101,Human,Stomach,Dendritic cell,"['CLEC4C', 'CD83', 'IRF4', 'ID2', 'HLA-DQA2', 'IL3RA']"
32060101,Human,Stomach,Endothelial cell,"['VWF', 'SELP', 'PECAM1', 'SELE', 'ENG']"
32060101,Human,Stomach,Epithelial cell,"['MUC5AC', 'TFF2', 'TFF1', 'PGC', 'MUC6']"
32060101,Human,Stomach,Fibroblast,"['THY1', 'DCN', 'LUM', 'COL1A1', 'COL14A1', 'CAV1']"
32060101,Human,Stomach,Gastric neuroendocrine cell,"['GAST', 'CHGA', 'EPCAM', 'SST', 'TFF3']"
32060101,Human,Stomach,Gastric parietal cell,['GIF']
32060101,Human,Stomach,Gastric stem cell,"['LGR5', 'TROY']"
32060101,Human,Stomach,Intestinal epithelial cell,['MUC2']
32060101,Human,Stomach,Macrophage,"['CD14', 'CD68', 'CD163', 'FCGR3A']"
32060101,Human,Stomach,Mast cell,"['CPA3', 'TPSAB1', 'MS4A2', 'TPSB2']"
32060101,Human,Stomach,Monocyte,"['FCGR3A', 'CD14']"
32060101,Human,Stomach,Myofibroblast,"['ACTA2', 'THY1', 'CAV1', 'DCN', 'COL14A1', 'COL1A1', 'LUM']"
32060101,Human,Stomach,Natural killer cell,"['GNLY', 'NCR1', 'XCL2', 'NKG7']"
32060101,Human,Stomach,Naïve or central memory  T cell,"['CCR7', 'SELL']"
32060101,Human,Stomach,Pericyte,"['PDGFRB', 'RGS5']"
32060101,Human,Stomach,Plasma cell,['SDC1']
32060101,Human,Stomach,Regulatory T(Treg) cell,"['IL2RA', 'FOXP3']"
32060101,Human,Stomach,Smooth muscle cell,['ACTA2']
32060101,Human,Stomach,T cell,"['CD3D', 'CD3E', 'CD3G']"
32060101,Human,Stomach,Tissue resident effector memory T cell,"['CD69', 'ITGAE', 'ITGA1']"
32071204,Mouse,Retina,Ganglion cell,"['Zic1', 'Tfap2d', 'Rbpms2', 'Mapt', 'Irx3', 'Nefm']"
32114394,Human,Blood,B cell,"['ADAM28', 'IGJ', 'CXCR4', 'FCER2', 'BANK1', 'TCF4', 'PMAIP1', 'CR1P1', 'VPREB3', 'TCL1A']"
32114394,Human,Blood,CD4+ T cell,['TNFSF3']
32114394,Human,Blood,Dendritic cell,['CLEC10A']
32114394,Human,Blood,Myeloid cell,"['S100A8', 'PF4', 'FCN1', 'CLEC4C', 'CD14', 'MS4A6A', 'LST1', 'CDKN1C', 'FCGR3A', 'CST4', 'SERPINA1', 'MNDA']"
32114394,Human,Blood,Plasmacytoid dendritic cell(pDC),"['MZB1', 'ITM2C', 'CLEC4C', 'LILRA4']"
32114394,Human,Blood,T cell,"['CD247', 'GIMAP7', 'IFITM1', 'LCK']"
32166394,Mouse,Blood,Stem cell,['Ly6a']
32231223,Human,Retina,Epithelial cell,"['BEST-1', 'MITF', 'RPE65', 'TYR']"
32231223,Human,Retina,Neuron,"['MAP2', 'TUBB3', 'POU5F1']"
32251406,Human,Peripheral blood,Natural killer cell,"['CD16', 'KLRF1']"
32268117,Mouse,Choroid,Endothelial cell,"['Pecam1', 'Cdh5']"
32268117,Mouse,Choroid,Fibroblast,['Col1a1']
32268117,Mouse,Choroid,Leukocyte,['Ptprc']
32268117,Mouse,Choroid,Lymphatic endothelial cell,['Prox1']
32268117,Mouse,Choroid,Pericyte,['Pdgfrb']
32268117,Mouse,Choroid,Smooth muscle cell,['Acta2']
32286271,Human,Blood,CD4+ T cell,"['LRRN3', 'CCR7', 'SELL']"
32286271,Human,Blood,Central memory T cell,['PASK']
32286271,Human,Blood,Effector memory T cell,"['GZMK', 'KLRB1', 'IL7R', 'TNFSF13B']"
32286271,Human,Blood,Finally highly effector (TEMRA) memory T cell,"['GZMH', 'CST7', 'NKG7', 'GZMA', 'CCL5', 'CCL4', 'GNLY']"
32286271,Human,Blood,Naive T(Th0) cell,"['CCR7', 'LRRN3', 'SELL', 'NPM1']"
32286271,Human,Blood,Natural regulatory T cell,"['CTLA4', 'HLA-DPB1', 'CD74', 'ITGB1', 'ANXA2', 'HLA-DRB1.1', 'HLA-DRB1', 'LGALS3', 'IL2RA', 'VIM', 'LGALS1', 'FOXP3']"
32286626,Human,Blood,B cell,['CD19']
32286626,Human,Blood,Dendritic cell,['FCER1A']
32286626,Human,Blood,Monocyte,"['LYZ', 'FCGR3A', 'CD14']"
32286626,Human,Blood,Natural killer cell,['GNLY']
32286626,Human,Blood,T cell,['IL7R']
32341164,Human,Eye,Endothelial cell,"['CCL21', 'CD31', 'FLT4']"
32345613,Human,Gastrointestinal tract,Stem cell,['SOX9']
32345613,Human,Undefined,Cancer stem cell,"['CD133', 'CD49f', 'CD49f', 'CD133', 'HES1', 'ALDH1']"
32345613,Human,Undefined,Epithelial cell,['EpCAM']
32345613,Human,Undefined,Immune cell,['CD45']
32345613,Human,Undefined,Macrophage,['CD163']
32345613,Human,Undefined,Stromal cell,['vimentin']
32351504,Human,Umbilical cord blood,CD4+ T cell,"['TIGIT', 'TNFRSF9', 'IKZF2', 'FOXP3']"
32351704,Human,Blood,Central memory CD4+ T cell,"['CCR7', 'MAL', 'SELL', 'TSHZ2', 'LEF1', 'TCF7', 'MYC', 'NOSIP', 'SOCS3']"
32351704,Human,Blood,Central memory CD8+ T cell,"['MYC', 'SELL', 'MAL', 'SOCS3', 'LEF1', 'NOSIP', 'RCAN3', 'TCF7', 'TSHZ2', 'CCR7']"
32351704,Human,Blood,Conventional dendritic cell 2(cDC2),"['PPA1', 'FCER1A', 'HLA-DQA1', 'CD1C', 'HLA-DQB1']"
32351704,Human,Blood,Effector memory CD8+ T cell,"['CD8A', 'CD52', 'CXCR3', 'CD8B', 'ITGA1']"
32351704,Human,Blood,Effector memory T cell,"['TIMP1', 'LTB', 'TNFRSF4', 'CD52', 'AQP3', 'IL7R']"
32351704,Human,Blood,Megakaryocyte,"['SPARC', 'PPBP', 'ITGA2B', 'TUBB1', 'PF4', 'NRGN', 'PIG6B', 'GNG11', 'CAVIN2', 'MYL9']"
32351704,Human,Blood,Naive B cell,"['PLPP5', 'IGHD', 'APLP2', 'IGHM', 'CXCR4', 'TCL1A', 'IL4R', 'FCER2']"
32351704,Human,Blood,Naive CD4 T cell,"['TCF7', 'MAL', 'CCR7', 'MYC', 'TSHZ2', 'NOSIP', 'SOCS3', 'SELL', 'LEF1']"
32351704,Human,Blood,Naive CD8+ T cell,"['RCAN3', 'MAL', 'NOSIP', 'LEF1', 'SELL', 'TCF7', 'SOCS3', 'TSHZ2', 'MYC', 'CCR7']"
32351704,Human,Blood,Plasma cell,"['JCHAIN', 'DPEP1', 'IGKC', 'IGHA2']"
32351704,Human,Blood,Regulatory T(Treg) cell,"['CORO1B', 'FANK1', 'FOXP3', 'ARID5B', 'RTKN2', 'CTLA4', 'GBP2', 'IL2RA', 'ICA1']"
32351704,Human,Liver,Central memory CD4+ T cell,"['MAL', 'SELL', 'CCR7', 'MYC', 'NOSIP', 'TCF7', 'LEF1', 'TSHZ2', 'SOCS3']"
32351704,Human,Liver,Central memory CD8+ T cell,"['NOSIP', 'LEF1', 'SOCS3', 'MAL', 'TCF7', 'MYC', 'SELL', 'CCR7', 'RCAN3', 'TSHZ2']"
32351704,Human,Liver,Conventional dendritic cell 1(cDC1),"['HIST1H4C', 'CLEC9A', 'PTTG1']"
32351704,Human,Liver,Conventional dendritic cell 2(cDC2),"['PPA1', 'HLA-DQB1', 'HLA-DQA1', 'CD1C', 'FCER1A']"
32351704,Human,Liver,Effector memory CD8+ T cell,"['CD8A', 'ITGA1', 'CXCR3', 'CD8B', 'CD52']"
32351704,Human,Liver,Effector memory T cell,"['TNFRSF4', 'TIMP1', 'LTB', 'CD52', 'IL7R', 'AQP3']"
32351704,Human,Liver,Macrophage,"['FABP4', 'SLC40A1', 'APOC1', 'FTL', 'FABP5', 'CD5L', 'MRC1', 'LGMN', 'APOE', 'MARCO', 'NUPR1', 'HMOX1', 'SELENOP']"
32351704,Human,Liver,Naive B cell,"['PLPP5', 'CXCR4', 'TCL1A', 'IGHM', 'FCER2', 'APLP2', 'IL4R', 'IGHD']"
32351704,Human,Liver,Naive CD4 T cell,"['CCR7', 'TCF7', 'SOCS3', 'MAL', 'MYC', 'NOSIP', 'LEF1', 'TSHZ2', 'SELL']"
32351704,Human,Liver,Naive CD8+ T cell,"['SOCS3', 'LEF1', 'TSHZ2', 'RCAN3', 'NOSIP', 'SELL', 'MYC', 'CCR7', 'MAL', 'TCF7']"
32351704,Human,Liver,Plasma cell,"['IGHA2', 'DPEP1', 'IGKC', 'JCHAIN']"
32351704,Human,Liver,Plasmacytoid dendritic cell(pDC),"['BCL11A', 'IRF8', 'CCDC50', 'TCF4', 'SPIB', 'IRF7', 'ITM2C', 'C12orf75', 'LILRA4']"
32351704,Human,Liver,Regulatory T(Treg) cell,"['FOXP3', 'CTLA4', 'GBP2', 'FANK1', 'ICA1', 'ARID5B', 'RTKN2', 'IL2RA', 'CORO1B']"
32351704,Human,Liver,T follicular helper(Tfh) cell,"['CD40LG', 'GPR183', 'MALAT1', 'LTB', 'CXCR5']"
32351704,Human,Spleen,B cell,['CD19']
32351704,Human,Spleen,Central memory CD4+ T cell,"['CCR7', 'MYC', 'TSHZ2', 'LEF1', 'MAL', 'SOCS3', 'TCF7', 'NOSIP', 'SELL']"
32351704,Human,Spleen,Central memory CD8+ T cell,"['MAL', 'RCAN3', 'NOSIP', 'CCR7', 'TSHZ2', 'SOCS3', 'SELL', 'TCF7', 'MYC', 'LEF1']"
32351704,Human,Spleen,Conventional dendritic cell 1(cDC1),"['PTTG1', 'CLEC9A', 'HIST1H4C']"
32351704,Human,Spleen,Conventional dendritic cell 2(cDC2),"['HLA-DQA1', 'HLA-DQB1', 'PPA1', 'FCER1A', 'CD1C']"
32351704,Human,Spleen,Effector memory CD8+ T cell,"['ITGA1', 'CXCR3', 'CD8B', 'CD8A', 'CD52']"
32351704,Human,Spleen,Effector memory T cell,"['TNFRSF4', 'CD52', 'TIMP1', 'AQP3', 'LTB', 'IL7R']"
32351704,Human,Spleen,Macrophage,"['APOC1', 'NUPR1', 'FABP5', 'APOE', 'CD5L', 'MARCO', 'HMOX1', 'LGMN', 'SELENOP', 'MRC1', 'SLC40A1', 'FTL', 'FABP4']"
32351704,Human,Spleen,Megakaryocyte,"['GNG11', 'PIG6B', 'NRGN', 'PPBP', 'MYL9', 'SPARC', 'CAVIN2', 'PF4', 'TUBB1', 'ITGA2B']"
32351704,Human,Spleen,Monocyte,['CD14']
32351704,Human,Spleen,Naive B cell,"['APLP2', 'IGHD', 'CXCR4', 'PLPP5', 'IL4R', 'IGHM', 'FCER2', 'TCL1A']"
32351704,Human,Spleen,Naive CD4 T cell,"['NOSIP', 'SELL', 'MAL', 'MYC', 'CCR7', 'SOCS3', 'LEF1', 'TSHZ2', 'TCF7']"
32351704,Human,Spleen,Naive CD8 T cell,"['TCF7', 'CCR7', 'MAL', 'TSHZ2', 'SELL', 'RCAN3', 'SOCS3', 'MYC', 'LEF1', 'NOSIP']"
32351704,Human,Spleen,Natural killer cell,"['KLRF1', 'CXCR6', 'CXCR5', 'CXCR3', 'NCAM1', 'CCR7', 'CX3CR1']"
32351704,Human,Spleen,Plasma cell,"['IGKC', 'IGHA2', 'DPEP1', 'JCHAIN', 'SDC1']"
32351704,Human,Spleen,Plasmacytoid dendritic cell(pDC),"['LILRA4', 'CCDC50', 'BCL11A', 'ITM2C', 'IRF8', 'C12orf75', 'TCF4', 'IRF7', 'SPIB']"
32351704,Human,Spleen,Regulatory T (Treg) cell,"['CORO1B', 'ICA1', 'ARID5B', 'FANK1', 'RTKN2', 'IL2RA', 'FOXP3', 'CTLA4', 'GBP2']"
32351704,Human,Spleen,T cell,"['CXCR6', 'CXCR3', 'CX3CR1', 'CCR7', 'CD3D', 'CXCR5']"
32351704,Human,Spleen,T follicular helper(Tfh) cell,"['LTB', 'CD40LG', 'GPR183', 'MALAT1', 'CXCR5']"
32377375,Human,Blood,B cell,['CD19']
32377375,Human,Blood,Myeloid cell,"['CD1C', 'FCGR3A', 'CD14']"
