ori_tissue,ori_cell_type
valve tissue,endothelial cell
brain,microglia/macrophage
retina,rod photoreceptors
retina,rod photoreceptors
retina,rod photoreceptors
retina,cone photoreceptors
retina,cone photoreceptors
retina,cone photoreceptors
retina,müller glia
retina,retinal astrocytes
retina,microglia
retina,microglia
retina,microglia
retina,bipolar cells
retina,bipolar cells
retina,retinal ganglion cells
retina,retinal ganglion cells
retina,retinal ganglion cells
retina,amacrine cells
retina,amacrine cells
retina,amacrine cells
retina,horizontal cells
retina,horizontal cells
retina,off-bipolar cells
retina,on-bipolar cells (rod bipolar cells)
retina,on-bipolar cells (diffuse bipolar subtype db4)
retina,rod photoreceptors
retina,rod photoreceptors
retina,rod photoreceptors
retina,rod photoreceptors
retina,rod photoreceptors
retina,rod photoreceptors
retina,rod photoreceptors
retina,rod photoreceptor
retina,rod photoreceptor
retina,cone photoreceptor
retina,cone photoreceptor
retina,cone photoreceptor
retina,cone photoreceptor
retina,cone photoreceptor
retina,cone photoreceptor
retina,cone photoreceptor
retina,cone photoreceptor
retina,cone photoreceptor
retina,cone photoreceptor
retina,cone photoreceptor
retina,s-cone photoreceptor
retina,m-cone photoreceptor
retina,l-cone photoreceptor
retina,s-cone photoreceptor
retina,l/m-cone photoreceptor
retina,müller glia
retina,müller glia
retina,retinal astrocytes
retina,retinal astrocytes
retina,müller glia and retinal astrocytes
retina,müller glia and retinal astrocytes
retina,müller glia and retinal astrocytes
retina,cone photoreceptor (l/m-cones)
retina,cone photoreceptor (s-cones)
retina,rod photoreceptor (malat1-hi)
retina,rod photoreceptor (malat1-lo)
retinal organoid,retinal progenitor cell (rpc)
retinal organoid,retinal progenitor cell (rpc)
retinal organoid,retinal ganglion cell (rgc)
retinal organoid,photoreceptor precursor
retinal organoid,retinal ganglion cell (rgc)
retinal organoid,retinal ganglion cell (rgc)
retinal organoid,interneuron
retinal organoid,interneuron
retinal organoid,photoreceptor
retinal organoid,photoreceptor
retinal organoids,retinal progenitor cells (rpcs)
retinal organoids,retinal progenitor cells (rpcs)
retinal organoids,retinal progenitor cells (rpcs)
retinal organoids,retinal progenitor cells (rpcs)
retinal organoids,retinal progenitor cells (rpcs)
retinal organoids,retinal progenitor cells (rpcs)
retina,neuronal cell
retina,photoreceptor precursor
retina,retinal progenitor cell (rpc)
retina,neuronal cell
retina,photoreceptor precursor
retina,retinal progenitor cell (rpc)
retinal organoids,neurogenic retinal progenitor cells (rpcs)
retinal organoids,neurogenic retinal progenitor cells (rpcs)
retinal organoids,neurogenic retinal progenitor cells (rpcs)
retinal organoids,neurogenic retinal progenitor cells (rpcs)
retinal organoids,neurogenic retinal progenitor cells (rpcs)
retinal organoids,neurogenic retinal progenitor cells (rpcs)
retinal organoids,neurogenic retinal progenitor cells (rpcs)
retinal organoids,neurogenic retinal progenitor cells (rpcs)
retinal organoids,neurogenic retinal progenitor cells (rpcs)
retinal organoids,neurogenic retinal progenitor cells (rpcs)
retinal organoids,neurogenic retinal progenitor cells (rpcs)
retinal organoids,neurogenic retinal progenitor cells (rpcs)
retinal organoids,neurogenic retinal progenitor cells (rpcs)
retinal organoids,neurogenic retinal progenitor cells (rpcs)
retinal organoids,neurogenic retinal progenitor cells (rpcs)
retinal organoids,neurogenic retinal progenitor cells (rpcs)
retinal organoids,multipotent retinal progenitor cells (rpcs)
retinal organoids,multipotent retinal progenitor cells (rpcs)
retinal organoids,quiescent neural stem cells (nscs)
retinal organoids,quiescent neural stem cells (nscs)
retinal organoids,quiescent neural stem cells (nscs)
retinal organoids,quiescent neural stem cells (nscs)
retinal organoids,quiescent neural stem cells (nscs)
retinal organoids,retinal progenitor cells (rpcs)
retinal organoids,retinal progenitor cells (rpcs)
retinal organoids,retinal progenitor cells (rpcs)
retinal organoids,retinal progenitor cells (rpcs)
retinal organoids,retinal progenitor cells (rpcs)
retinal organoids,retinal progenitor cells (rpcs)
retina,multipotent rpcs
retina,multipotent rpcs
retina,neurogenic rpcs
retina,neurogenic rpcs
retina,müller glia
retina,müller glia
retina,müller glia
retina,müller cell
retina,müller cell
retina,cone photoreceptors
retina,cone photoreceptors
retina,cone photoreceptors
retina,cone photoreceptors
retina,photoreceptor cells
retina,photoreceptor cells
retina,photoreceptor cells
retina,retinal ganglion cells
retina,retinal ganglion cells
retina,bipolar cells
retina,bipolar cells
retina,bipolar cells
retina,bipolar cells
retina,amacrine cells
retina,amacrine cells
retina,horizontal cells
retina,horizontal cells
retina,horizontal cells
retina,müller glia and astrocytes
retina,müller glia and astrocytes
retina,müller glia and astrocytes
retina,resident microglia
retina,resident microglia
retina,resident microglia
retina,resident microglia
retina,cells lining the retinal vasculature
retina,cells lining the retinal vasculature
retina,cells lining the retinal vasculature
retina,cells lining the retinal vasculature
retina,astrocytes (subtype 1)
retina,astrocytes (subtype 1)
retina,astrocytes (subtype 1)
retina,astrocyte
retina,astrocyte
retina,astrocyte
retina,astrocyte
retina,astrocyte
retina,astrocyte
retina,astrocyte
retina,müller glia (subtype 2)
retina,müller glia (subtype 2)
retina,müller glia (subtype 2)
retina,müller glia (subtype 2)
retina,müller glia (subtype 2)
retina,müller glia (subtype 2)
retina,müller glia (subtype 2)
retina,müller glia (subtype 3)
retina,müller glia (subtype 3)
retina,müller glia (subtype 3)
retina,müller glia
retina,müller glia
retina,müller glia
retina,müller glia
retina,astrocytes
retina,astrocytes
retina,astrocytes
retina,astrocytes
retina,müller glia
retina,vascular cells
retina,müller glia
retina,vascular cells
retina,macroglia
retina,macroglia
retina,macroglia
retina,macroglia
retina,macroglia
retina,macroglia
retina,macroglia
retina,macroglia
retina,müller glia
retina,müller glia
retina,vascular endothelium
retina,müller glia
retina,müller glia
retina,vascular endothelium
retina,müller glia
retina,müller glia
retina,müller glia
retina,müller glia
retina,vascular endothelium
retina,vascular endothelium
rpe-choroid,choriocapillaris endothelial cell
choroid,endothelial cell
choroid,endothelial cell
choroid,endothelial cell
rpe/choroid,schwann cell
rpe/choroid,endothelial cell
rpe/choroid,endothelial cell
rpe/choroid,endothelial cell
rpe/choroid,smooth muscle cell
rpe/choroid,smooth muscle cell
rpe/choroid,fibroblast
rpe/choroid,rpe cell
rpe/choroid,rpe cell
rpe/choroid,leukocyte
rpe/choroid,b cell
rpe/choroid,t cell/nk cell
rpe/choroid,monocyte/macrophage
rpe/choroid,mast cell
retina,schwann cell (myelinating)
retina,schwann cell (myelinating)
retina,schwann cell (nonmyelinating)
retina,schwann cell (nonmyelinating)
retina,schwann cell (nonmyelinating)
retina,schwann cell (nonmyelinating)
retina,rpe (macular)
retina,rpe (macular)
retina,rpe (peripheral)
retina,rpe (peripheral)
retina,endothelial cell (venous)
retina,endothelial cell (venous)
retina,choriocapillaris endothelial cell
retina,choriocapillaris endothelial cell
retina,arterial endothelial cell
retina,arterial endothelial cell
retina,arterial endothelial cell
retina,arterial endothelial cell
retina,arterial endothelial cell
retina,venous endothelial cell
retina,venous endothelial cell
retina,venous endothelial cell
retina,choriocapillaris endothelial cell
retina,choriocapillaris endothelial cell
retina,choriocapillaris endothelial cell
retina/choroid,endothelial cell
vein endothelial cell,endothelial cell
vein endothelial cell,endothelial cell
choriocapillaris endothelial cell,endothelial cell
choriocapillaris endothelial cell,endothelial cell
arterial endothelial cell,endothelial cell
arterial endothelial cell,endothelial cell
choriocapillaris endothelial cell,endothelial cell
choroid,endothelial cell
choroid,endothelial cell
choroid,endothelial cell
choroid,endothelial cell
choroid,choriocapillaris endothelial cell
choroid,endothelial cell
choroid,endothelial cell
retina,rod cells
retina,bipolar cells
retina,müller glial cells
retina,amacrine cells
retina,horizontal cells
retina,cone cells
retina,retinal ganglion cells
retina,cone cell
retina,cone cell
retina,cone cell
retina,cone cell
retina,cone cell
retina,cone cell
retina,cone cell
retina,rod cell
retina,cone cell
retina,rod cell
retina,cone cell
retina,rod cell
uveal melanoma,cd8+ t cells
uveal melanoma,cd8+ t cells
uveal melanoma,cd8+ t cells
uveal melanoma,cd8+ t cells
uveal melanoma,cd8+ t cells
uveal melanoma,cd8+ t cells
uveal melanoma,cd8+ t cells
uveal melanoma,t regulatory cells
uveal melanoma,t regulatory cells
uveal melanoma,t regulatory cells
uveal melanoma,t regulatory cells
uveal melanoma,follicular t cells
uveal melanoma,follicular t cells
uveal melanoma,follicular t cells
uveal melanoma,follicular t cells
uveal melanoma,follicular t cells
uveal melanoma,follicular t cells
uveal melanoma,follicular t cells
uveal melanoma,naive t cells
uveal melanoma,cd8+ t effector memory cells
uveal melanoma,cd8+ t effector memory cells
uveal melanoma,cd8+ resident memory cells
uveal melanoma,cd8+ resident memory cells
uveal melanoma,cytotoxic cd8+ t cells
uveal melanoma,cytotoxic cd8+ t cells
uveal melanoma,cytotoxic cd8+ t cells
uveal melanoma,cytotoxic cd8+ t cells
retina,retinal progenitors
retina,retinal progenitors
retina,retinal ganglion cells
retina,amacrine cells
retina,horizontal cells
retina,photoreceptors
retina,progenitor cells (g2/m-phase)
retina,t1 population (intermediate developmental state)
retina,progenitor cells
retina,ganglion cells
retina,t1 transition cells
retina,t3 cells
retina,t2 cells
retina,t3 cells
retina,progenitor cells
retina,differentiating neurons
retina,differentiating neurons
retina,photoreceptors (prs)
retina,photoreceptors (prs)
retina,bipolar cells (bcs)
retina,bipolar cells (bcs)
retina,bipolar cells (bcs)
retina,amacrine cells (acs)
retina,amacrine cells (acs)
retina,t1-like cluster cells
retina,t1-like cluster cells
retina,t1-like cluster cells
retina,rgcs
retina,prs
retina,progenitors
retina,t1 population cells
retina,t1 population cells
retina,t1 cell
retina,progenitor cell
retina,progenitor cell
retina,rgc (retinal ganglion cell)
retina,rgc (retinal ganglion cell)
retina,photoreceptor (pr) cell
retina,amacrine cell (ac)
retina,t1 cell
retina,t3 cell
retina,müller glia
retina,müller glia
retina,müller glia
retina,bipolar cells (bcs)
retina,bipolar cells (bcs)
retina,bipolar cells (bcs)
retina,progenitor cells
retina,t1 cells
retina,progenitor cells
retina,progenitor cells
retina,progenitor cells
retina,progenitor cells
retina,progenitor cells
retina,progenitor cells
retina,progenitor cells
retina,later-stage progenitor cells
retina,later-stage progenitor cells
retina,late progenitor cells transitioning to immature müller glia
gastric tissue,epithelial cells
gastric tissue,epithelial cells
gastric tissue,epithelial cells
gastric tissue,epithelial cells
gastric tissue,epithelial cells
gastric tissue,epithelial cells
gastric tissue,fibroblasts
gastric tissue,fibroblasts
gastric tissue,fibroblasts
gastric tissue,fibroblasts
gastric tissue,endothelial cells
gastric tissue,endothelial cells
gastric tissue,endothelial cells
gastric tissue,endothelial cells
gastric tissue,immune cells
gastric tissue,cd4 t cells
gastric tissue,cd4 t cells
gastric tissue,cd4 t cells
gastric tissue,cytotoxic t cells
gastric tissue,cytotoxic t cells
gastric tissue,cytotoxic t cells
gastric tissue,regulatory t cells
gastric tissue,regulatory t cells
gastric tissue,nk cells
gastric tissue,nk cells
gastric tissue,b cells
gastric tissue,plasma cells
gastric tissue,mast cells
gastric tissue,macrophages
gastric tissue,macrophages
gastric tissue,macrophages
gastric tissue,epithelial cells (gc type 1)
gastric tissue,epithelial cells (gc type 1)
gastric tissue,epithelial cells (gc type 1)
gastric tissue,epithelial cells (gc type 1)
gastric tissue,epithelial cells (gc type 1)
gastric tissue,epithelial cells (gc type 2)
gastric tissue,epithelial cells (gc type 2)
gastric tissue,epithelial cells (gc type 2)
gastric tissue,epithelial cells (gc type 2)
gastric tme,cd4 helper t cell
gastric tme,cd8 t cell
gastric tme,treg cell
gastric tme,b cell
gastric tme,cytotoxic cd8 t lymphocyte (ctl)
gastric tme,cytotoxic cd8 t lymphocyte (ctl)
gastric tme,cytotoxic cd8 t lymphocyte (ctl)
gastric tme,cytotoxic cd8 t lymphocyte (ctl)
gastric tme,cytotoxic cd8 t lymphocyte (ctl)
gastric tme,exhausted t cell (tex)
gastric tme,exhausted t cell (tex)
gastric tme,exhausted t cell (tex)
gastric tme,exhausted t cell (tex)
gastric tme,exhausted t cell (tex)
gastric tme,exhausted t cell (tex)
gastric tme,exhausted t cell (tex)
gastric tme,exhausted t cell (tex)
gastric tme,exhausted t cell (tex)
gastric tme,exhausted t cell (tex)
gastric tme,exhausted t cell (tex)
gastric tme,exhausted t cell (tex)
gastric tme,exhausted t cell (tex)
gastric tme,exhausted t cell (tex)
gastric tme,exhausted t cell (tex)
tumor,effector ctls (subclass 2)
tumor,effector ctls (subclass 2)
tumor,effector ctls (subclass 2)
tumor,effector ctls (subclass 2)
tumor,memory t cells
tumor,t cells
tumor,exhausted effector t cells
tumor,tregs (subclass 1)
tumor,tregs (subclass 1)
tumor,naïve cd4 t cells
tumor,naïve cd4 t cells
tumor,effector cd4 t cells
tumor,effector cd4 t cells
tumor,effector cd4 t cells
tumor,effector cd4 t cells
tumor,effector cd4 t cells
peripheral blood mononuclear cells (pbmcs),t cells
peripheral blood mononuclear cells (pbmcs),t cells
peripheral blood mononuclear cells (pbmcs),t cells
peripheral blood mononuclear cells (pbmcs),t cells
peripheral blood mononuclear cells (pbmcs),t cells
peripheral blood mononuclear cells (pbmcs),t cells
peripheral blood mononuclear cells (pbmcs),t cells
peripheral blood mononuclear cells (pbmcs),t cells
peripheral blood mononuclear cells (pbmcs),myeloid cells
peripheral blood mononuclear cells (pbmcs),myeloid cells
peripheral blood mononuclear cells (pbmcs),myeloid cells
peripheral blood mononuclear cells (pbmcs),myeloid cells
peripheral blood mononuclear cells (pbmcs),myeloid cells
peripheral blood mononuclear cells (pbmcs),myeloid cells
peripheral blood mononuclear cells (pbmcs),myeloid cells
peripheral blood mononuclear cells (pbmcs),myeloid cells
peripheral blood mononuclear cells (pbmcs),myeloid cells
peripheral blood mononuclear cells (pbmcs),myeloid cells
peripheral blood mononuclear cells (pbmcs),myeloid cells
peripheral blood mononuclear cells (pbmcs),b cells
peripheral blood mononuclear cells (pbmcs),b cells
peripheral blood mononuclear cells (pbmcs),b cells
peripheral blood mononuclear cells (pbmcs),b cells
peripheral blood mononuclear cells (pbmcs),b cells
peripheral blood mononuclear cells (pbmcs),b cells
peripheral blood mononuclear cells (pbmcs),b cells
peripheral blood,cd3-cd7+gzmb+ cells
retina,retinal pigment epithelial cell
retina,retinal pigment epithelial cell
retina,retinal pigment epithelial cell
retina,retinal pigment epithelial cell
optic vesicle,rpe cells
optic vesicle,rpe cells
optic vesicle,alternative lineages
optic vesicle,alternative lineages
retina,hpsc-rpe cell
retina,hpsc-rpe cell
retina,hpsc-rpe cell
retina,hpsc-rpe cell
retina,hpsc-rpe cell
retina,hpsc-rpe cell
retina,hpsc-rpe cell
retina,hpsc-rpe cell
embryoid bodies,pigmented cells
embryoid bodies,pigmented cells
embryoid bodies,pigmented cells
hpsc-rpe,hpsc-rpe cells
hpsc-rpe,hpsc-rpe cells
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,rpe cell
retina,eye-field progenitors
retina,rpe (retinal pigment epithelium)
retina,rpe (retinal pigment epithelium)
retina,rpe (retinal pigment epithelium)
retina,rpe (retinal pigment epithelium)
retina,rpe (retinal pigment epithelium)
retina,rpe (retinal pigment epithelium)
retina,retinal pigment epithelial (rpe) cell
retina,retinal pigment epithelial (rpe) cell
retina,retinal pigment epithelial (rpe) cell
retina,retinal pigment epithelial (rpe) cell
pluripotent stem cell,undifferentiated cell
eye-field progenitor,progenitor cell
eye-field progenitor,progenitor cell
eye-field progenitor,progenitor cell
eye-field progenitor,progenitor cell
retina,hpsc-rpe (retinal pigment epithelium) cells
retina,hpsc-rpe (retinal pigment epithelium) cells
retina,hpsc-rpe (retinal pigment epithelium) cells
retina,hpsc-rpe (retinal pigment epithelium) cells
retina,hpsc-rpe (retinal pigment epithelium) cells
retina,hpsc-rpe (retinal pigment epithelium) cells
retina,eye-field progenitors
retina,eye-field progenitors
retina,eye-field progenitors
retina,eye-field progenitors
retina,eye-field progenitors
retina,eye-field progenitors
retina,eye-field progenitors
retina,eye-field progenitors
retina,myogenic lineage cells
retina,myogenic lineage cells
retina,myogenic lineage cells
retina,myogenic lineage cells
retina,hpsc-rpe (retinal pigment epithelium) cells
retina,hpsc-rpe (retinal pigment epithelium) cells
retina,hpsc-rpe (retinal pigment epithelium) cells
retina,hpsc-rpe (retinal pigment epithelium) cells
retina,hpsc-rpe (retinal pigment epithelium) cells
peripheral blood,cd4+ t cells
peripheral blood,tn (t naive) cells
peripheral blood,tcm (t central memory) cells
peripheral blood,tem (t effector memory) cells
peripheral blood,treg (regulatory t) cells
pbmcs,b cells
pbmcs,t cells
pbmcs,monocytes
pbmcs,monocytes
pbmcs,monocytes
pbmcs,dendritic cells
pbmcs,nk cells
trabecular meshwork and associated structures,beam a cells
trabecular meshwork and associated structures,beam b cells
trabecular meshwork and associated structures,junctional cells (jct)
trabecular meshwork and associated structures,junctional cells (jct)
trabecular meshwork and associated structures,schwalbe line cells
trabecular meshwork and associated structures,trabecular meshwork cells
trabecular meshwork and associated structures,trabecular meshwork cells
trabecular meshwork and associated structures,trabecular meshwork cells
trabecular meshwork and associated structures,trabecular meshwork cells
conventional outflow pathway,vascular endothelium
conventional outflow pathway,vascular endothelium
conventional outflow pathway,vascular endothelium
conventional outflow pathway,vascular endothelium
conventional outflow pathway,vascular endothelium
conventional outflow pathway,schlemm's canal (sc) endothelium
conventional outflow pathway,schlemm's canal (sc) endothelium
conventional outflow pathway,schlemm's canal (sc) endothelium
conventional outflow pathway,schlemm's canal (sc) endothelium
conventional outflow pathway,schlemm's canal (sc) endothelium
conventional outflow pathway,schlemm's canal (sc) endothelium
conventional outflow pathway,trabecular meshwork (tm) cells
conventional outflow pathway,trabecular meshwork (tm) cells
conventional outflow pathway,beam cells
conventional outflow pathway,beam cells
conventional outflow pathway,junctional cells of the tm (jct)
conventional outflow pathway,junctional cells of the tm (jct)
conventional outflow pathway,"corneoscleral rim, scleral fibroblasts"
conventional outflow pathway,schwalbe line cells
retina,rgcs
corneal endothelium,schwalbe line cells
trabecular meshwork,beam cells and jct
retina,rgcs
trabecular meshwork,"tm cell types (c3, c5, and c8)"
gastric cancer,cancer stem cells (cscs)
gastric cancer,cancer stem cells (cscs)
gastric cancer,cancer stem cells (cscs)
pancreatic cancer tissue,malignant pc cell
pancreatic cancer tissue,epithelial cell
pancreatic cancer tissue,epithelial cell
pancreatic cancer tissue,nonepithelial cell
pancreatic cancer tissue,t lymphocyte
pancreatic cancer tissue,epithelial tumor cell
pancreatic cancer tissue,immune cell
pancreatic cancer tissue,macrophage
pancreatic cancer tissue,stromal cell
pancreatic cancer tissue,malignant pc cell
pancreatic cancer tissue,epithelial cell
pancreatic cancer tissue,epithelial cell
pancreatic cancer tissue,nonepithelial cell
pancreatic cancer tissue,t lymphocyte
pancreatic cancer tissue,epithelial tumor cell
pancreatic cancer tissue,immune cell
pancreatic cancer tissue,macrophage
pancreatic cancer tissue,stromal cell
liver,b cell
liver,myeloid cell
liver,liver-derived lymphocytes
liver,liver-derived lymphocytes
liver,liver-derived lymphocytes
liver,liver-derived lymphocytes
liver,liver-derived lymphocytes
liver,liver-derived lymphocytes
liver,liver-derived lymphocytes
liver,tissue-resident nk (trnk) cells
liver,tissue-resident nk (trnk) cells
liver,cd8+ tissue-resident memory t (trm) cells
liver,cd8+ tissue-resident memory t (trm) cells
liver,mucosal-associated invariant t (mait) cells
liver,mucosal-associated invariant t (mait) cells
liver,γδ t cells
liver,γδ t cells
liver,immune cells
liver,trm cell
liver,trm cell
liver,trm cell
liver,trm cell
liver,trm cell
liver,trm cell
liver,trm cell
liver,trm cell
liver,mait cell
liver,mait cell
liver,mait cell
liver,mait cell
liver,mait cell
liver,mait cell
liver,trnk cell
liver,trnk cell
liver,trnk cell
liver,trnk cell
liver,trnk cell
liver,t and nk cells (cycling)
liver,c7-cycling subset (nk-like)
liver,c7-cycling subset (nk-like)
liver,c7-cycling subset (nk-like)
liver,c7-cycling subset (nk-like)
liver,c7-cycling subset (nk-like)
liver,c7-cycling subset (nk-like)
liver,c7-cycling subset (nk-like)
liver,trnk cell
liver,trnk cell
liver,lrt and lrnk cells
liver,"mait, cxcr6+ cd8+ trm cells, γδ t cells and cxcr6+ trnk cells"
liver,naive/cm t cells
liver,tc and nk cells
liver,trm and trnk cells
liver,classic cd14+ monocytes
liver,tissue-derived cd14+ monocyte subset
liver,cd16+ monocytes
liver,lrt and lrnk cells
liver,"mait, cxcr6+ cd8+ trm cells, γδ t cells and cxcr6+ trnk cells"
liver,naive/cm t cells
liver,tc and nk cells
liver,trm and trnk cells
liver,classic cd14+ monocytes
liver,tissue-derived cd14+ monocyte subset
liver,cd16+ monocytes
"blood, spleen, and lp","nk cell subsets (cxcr6+cd16−, cxcr6−cd16−, cxcr6−cd16+)"
spleen and lp,"cd16+ monocytes, especially mertk+, cd206+ (mrc1) monocyte and macrophage"
spleen and lp,"cd16+ monocytes, especially mertk+, cd206+ (mrc1) monocyte and macrophage"
"blood, spleen, and lp",classical memory b (cmbc) cells (c3)
"blood, spleen, and lp",classical memory b (cmbc) cells (c3)
"blood, spleen, and lp",classical memory b (cmbc) cells (c3)
"blood, spleen, and lp",age-associated b cells (abcs) (c4)
"blood, spleen, and lp",isg+ b cells (c6)
"blood, spleen, and lp",zbtb32+ b cells (c7)
"blood, spleen, and lp","nk cell subsets (cxcr6+cd16−, cxcr6−cd16−, cxcr6−cd16+)"
spleen and lp,"cd16+ monocytes, especially mertk+, cd206+ (mrc1) monocyte and macrophage"
spleen and lp,"cd16+ monocytes, especially mertk+, cd206+ (mrc1) monocyte and macrophage"
"blood, spleen, and lp",classical memory b (cmbc) cells (c3)
"blood, spleen, and lp",classical memory b (cmbc) cells (c3)
"blood, spleen, and lp",classical memory b (cmbc) cells (c3)
"blood, spleen, and lp",age-associated b cells (abcs) (c4)
"blood, spleen, and lp",isg+ b cells (c6)
"blood, spleen, and lp",zbtb32+ b cells (c7)
liver,t resident memory (trm) cells
liver,cytotoxic t cells (tc)
liver,liver-resident nk (lrnk) cells
liver,conventional nk (cnk) cells
liver and spleen,tissue-cd14+ monocytes
liver and spleen,cd16+ monocytes
"blood, spleen, liver",cd4 t naive/cm
"blood, spleen, liver",cd4 t naive/cm
"blood, spleen, liver",cd4 t naive/cm
"blood, spleen, liver",cd4 t naive/cm
"blood, spleen, liver",cd4 t naive/cm
"blood, spleen, liver",cd4 t naive/cm
"blood, spleen, liver",cd4 t naive/cm
"blood, spleen, liver",cd4 t naive/cm
"blood, spleen, liver",cd4 t naive/cm
"blood, spleen, liver",cd4 t tem
"blood, spleen, liver",cd4 t tem
"blood, spleen, liver",cd4 t tem
"blood, spleen, liver",cd4 t tem
"blood, spleen, liver",cd4 t tem
"blood, spleen, liver",cd4 t tem
"spleen, liver",cd4 t tfh
"spleen, liver",cd4 t tfh
"spleen, liver",cd4 t tfh
"spleen, liver",cd4 t tfh
"spleen, liver",cd4 t tfh
"blood, spleen, liver",cd4 t treg
"blood, spleen, liver",cd4 t treg
"blood, spleen, liver",cd4 t treg
"blood, spleen, liver",cd4 t treg
"blood, spleen, liver",cd4 t treg
"blood, spleen, liver",cd4 t treg
"blood, spleen, liver",cd4 t treg
"blood, spleen, liver",cd4 t treg
"blood, spleen, liver",cd4 t treg
"blood, spleen, liver",cd8 t naive/cm
"blood, spleen, liver",cd8 t naive/cm
"blood, spleen, liver",cd8 t naive/cm
"blood, spleen, liver",cd8 t naive/cm
"blood, spleen, liver",cd8 t naive/cm
"blood, spleen, liver",cd8 t naive/cm
"blood, spleen, liver",cd8 t naive/cm
"blood, spleen, liver",cd8 t naive/cm
"blood, spleen, liver",cd8 t naive/cm
"blood, spleen, liver",cd8 t naive/cm
"blood, spleen, liver",cd8 t tem
"blood, spleen, liver",cd8 t tem
"blood, spleen, liver",cd8 t tem
"blood, spleen, liver",cd8 t tem
"liver, spleen",cd8 t trm
"liver, spleen",cd8 t trm
"liver, spleen",cd8 t trm
"liver, spleen",cd8 t trm
"liver, spleen",cd8 t trm
"liver, spleen",cd8 t trm
"liver, spleen",cd8 t trm
"liver, spleen",cd8 t trm
"liver, spleen",cd8 t mait
"liver, spleen",cd8 t mait
"liver, spleen",cd8 t mait
"liver, spleen",cd8 t mait
"liver, spleen",cd8 t mait
"liver, spleen",cd8 t mait
"liver, spleen",cd8 t mait
"liver, spleen",cd8 t mait
"blood, spleen, liver",cd8 t tc
"blood, spleen, liver",cd8 t tc
"blood, spleen, liver",cd8 t tc
"blood, spleen, liver",cd8 t tc
"blood, spleen, liver",cd8 t tc
"blood, spleen, liver",cd8 t tc
"blood, spleen, liver",cd8 t tc
"blood, spleen, liver",cd8 t tc
"blood, spleen, liver",cd8 t tc
"blood, spleen, liver",cd8 t tc
"liver, spleen",γδ t
