species,tissue_type,cell_name,marker,pmid
Human,eye,"eye photoreceptor cell
```",GRK7,31436334
Human,eye,"eye photoreceptor cell
```",GUCA1C,31436334
Human,eye,"eye photoreceptor cell
```",PDE6C,31436334
Human,eye,"eye photoreceptor cell
```",PDE6H,31436334
Human,eye,"eye photoreceptor cell
```",OPN1LW,31436334
Human,eye,"eye photoreceptor cell
```",RXRG,31436334
Human,eye,"eye photoreceptor cell
```",THRB,31436334
Human,eye,"eye photoreceptor cell
```",OPN1SW,31436334
Human,eye,"eye photoreceptor cell
```",OPN1MW,31436334
Human,eye,"cell_ontology_class='eye photoreceptor cell', free_annotation='retina - photoreceptor cells'
```",OPN1LW,31436334
Human,eye,"eye photoreceptor cell
```",CCDC136,31436334
Human,retina,"eye photoreceptor cell
```",THRB,31436334
Human,eye,"muller cell
```",RLBP1,31436334
Human,eye,"muller cell
```",RGR,31436334
Human,eye,"cell_ontology_class='microglial cell', free_annotation='retina - microglia'
```",GFAP,31436334
Human,eye,"cell_ontology_class='microglial cell', free_annotation='retina - microglia'
```",S100B,31436334
Human,retina,"muller cell
```",VIM,31436334
Human,retina,"muller cell
```",GLUL,31436334
Human,retina,"muller cell
```",S100A1,31436334
Human,retina,"eye photoreceptor cell
```",OPN1LW/OPN1MW,31436334
Human,retina,"cone photoreceptor cell
```",OPN1SW,31436334
Human,eye,"eye photoreceptor cell
```",MALAT1,31436334
Human,retina,"photoreceptor cell
```",MALAT1,31436334
Human,eye,"radial glial cell
```",VSX2,31543471
Human,eye,"radial glial cell
```",PAX6,31543471
Human,eye,"retinal ganglion cell
```",ELAVL3,31543471
Human,eye,"cell_ontology_class='eye photoreceptor cell', free_annotation='retina - photoreceptor cells'
```",PRDM1,31543471
Human,eye,"retinal ganglion cell
```",ATOH7,31543471
Human,eye,"retinal ganglion cell
```",POU4F2,31543471
Human,eye,"retinal bipolar neuron
```",ONECUT1,31543471
Human,eye,"retinal bipolar neuron
```",PROX1,31543471
Human,eye,"cell_ontology_class='eye photoreceptor cell', free_annotation='retina - photoreceptor cells'
```",NEUROD1,31543471
Human,eye,"cell_ontology_class='eye photoreceptor cell', free_annotation='retina - photoreceptor cells'
```",PRDM1,31543471
Human,eye,"radial glial cell
```",ASCL1,31543471
Human,eye,"radial glial cell
```",NEUROG2,31543471
Human,eye,"radial glial cell
```",INSM1,31543471
Human,eye,"radial glial cell
```",BHLHE22,31543471
Human,eye,"radial glial cell
```",ISLR2,31543471
Human,eye,"radial glial cell
```",CCND1,31543471
Human,eye,"retinal ganglion cell
```",ISL1,31543471
Human,eye,"eye photoreceptor cell
```",PRDM1,31543471
Human,retina,"radial glial cell
```",ASCL1,31543471
Human,eye,"retinal ganglion cell
```",ISL1,31543471
Human,eye,"eye photoreceptor cell
```",PRDM1,31543471
Human,retina,"radial glial cell
```",ASCL1,31543471
Human,eye,"radial glial cell
```",ASCL1,31543471
Human,eye,"radial glial cell
```",RTN4,31543471
Human,eye,"radial glial cell
```",GPM6A,31543471
Human,eye,"radial glial cell
```",EFNB2,31543471
Human,eye,"radial glial cell
```",GPM6B,31543471
Human,eye,"radial glial cell
```",FZD3,31543471
Human,eye,"radial glial cell
```",RUFY3,31543471
Human,eye,"radial glial cell
```",ISLR2,31543471
Human,eye,"radial glial cell
```",DCX,31543471
Human,eye,"radial glial cell
```",ISL1,31543471
Human,eye,"radial glial cell
```",NEUROD1,31543471
Human,eye,"radial glial cell
```",PRDM1,31543471
Human,eye,"radial glial cell
```",DCLK1,31543471
Human,eye,"radial glial cell
```",SEMA5A,31543471
Human,eye,"radial glial cell
```",NRCAM,31543471
Human,eye,"radial glial cell
```",NEUROG2,31543471
Human,eye,"radial glial cell
```",JAG1,31543471
Human,eye,"radial glial cell
```",GJA1,31543471
Human,eye,"retinal ganglion cell
```",GJA1,31543471
Human,eye,"retinal ganglion cell
```",ATP1A2,31543471
Human,eye,"retinal ganglion cell
```",PCDH9,31543471
Human,eye,"retinal ganglion cell
```",PFN1,31543471
Human,eye,"retinal ganglion cell
```",TMSB10,31543471
Human,eye,"radial glial cell
```",LIN28A,31543471
Human,eye,"radial glial cell
```",LIN28B,31543471
Human,eye,"radial glial cell
```",JAG1,31543471
Human,eye,"radial glial cell
```",BMP7,31543471
Human,eye,"radial glial cell
```",TGFb2,31543471
Human,eye,"radial glial cell
```",IGFBP5,31543471
Human,retina,"multipotent retinal progenitor cell
```",JAG1,31543471
Human,retina,"multipotent retinal progenitor cell
```",GJA1,31543471
Human,eye,"neurogenic rpcs
```",DCX,31543471
Human,eye,"neurogenic rpcs
```",ASCL1,31543471
Human,eye,"muller cell
```",CLRN1,31625146
Human,eye,"muller cell
```",CLRN1,31625146
Human,eye,"muller cell
```",CLRN1,31625146
Human,retina,"müller cell (muller glia)
```",Clrn1,31625146
Human,retina,"müller cell (muller glia)
```",Clrn1,31625146
Human,eye,"cell_ontology_class='eye photoreceptor cell'
```",GNAT2,31653841
Human,eye,"cell_ontology_class='eye photoreceptor cell'
```",OPN1SW,31653841
Human,eye,"cell_ontology_class='eye photoreceptor cell'
```",OPN1MW,31653841
Human,eye,"cell_ontology_class='eye photoreceptor cell'
```",OPN1LW,31653841
Human,retina,"eye photoreceptor cell
```",PDE6A,31653841
Human,retina,"eye photoreceptor cell
```",PPEF2,31653841
Human,retina,"eye photoreceptor cell
```",NR2E3,31653841
Human,retina,"retinal ganglion cell
```",NEFM,31653841
Human,retina,"retinal ganglion cell
```",SLC17A6,31653841
Human,retina,"retinal bipolar neuron
```",CAMK2B,31653841
Human,retina,"retinal bipolar neuron
```",GRM6,31653841
Human,retina,"retinal bipolar neuron
```",TMEM215,31653841
Human,retina,"retinal bipolar neuron
```",TRPM1,31653841
Human,retina,"amacrine cells
```",GAD1,31653841
Human,retina,"amacrine cells
```",C1QL2,31653841
Human,retina,"cell_ontology_class='retina horizontal cell', free_annotation='retina - horizontal cells'
```",ONECUT1,31653841
Human,retina,"cell_ontology_class='retina horizontal cell', free_annotation='retina - horizontal cells'
```",ONECUT2,31653841
Human,retina,"cell_ontology_class='retina horizontal cell', free_annotation='retina - horizontal cells'
```",LHX1,31653841
Human,retina,"muller cell
```",GLUL,31653841
Human,retina,"muller cell
```",CLU,31653841
Human,retina,"muller cell
```",APOE,31653841
Human,eye,"cell_ontology_class='microglial cell', free_annotation='retina - microglia'
```",C1QA,31653841
Human,eye,"cell_ontology_class='microglial cell', free_annotation='retina - microglia'
```",TMEM119,31653841
Human,eye,"cell_ontology_class='microglial cell', free_annotation='retina - microglia'
```",AIF1,31653841
Human,eye,"cell_ontology_class='microglial cell', free_annotation='retina - microglia'
```",CD163,31653841
Human,eye,"retinal blood vessel endothelial cell
```",CD34,31653841
Human,eye,"retinal blood vessel endothelial cell
```",CDH5,31653841
Human,eye,"retinal blood vessel endothelial cell
```",RGS5,31653841
Human,eye,"retinal blood vessel endothelial cell
```",ADAMTS9,31653841
Human,retina,"microglial cell
```",FOS,31653841
Human,retina,"microglial cell
```",FTL,31653841
Human,retina,"microglial cell
```",COL4A3,31653841
Human,retina,"astrocyte
```",GFAP,31653841
Human,retina,"astrocyte
```",SPARCL1,31653841
Human,retina,"astrocyte
```",FOS,31653841
Human,retina,"astrocyte
```",FOSB,31653841
Human,retina,"astrocyte
```",JUN,31653841
Human,retina,"astrocyte
```",EGR1,31653841
Human,retina,"astrocyte
```",CD44,31653841
Human,retina,"müller cell
```",COL4A3,31653841
Human,retina,"müller cell
```",VEGFA,31653841
Human,retina,"müller cell
```",HTRA1,31653841
Human,retina,"müller cell
```",SLC2A1,31653841
Human,retina,"müller cell
```",SLC1A3,31653841
Human,retina,"müller cell
```",SHMT2,31653841
Human,retina,"müller cell
```",HIF1A,31653841
Human,retina,"Müller cell (subtype 3)
```",FTH1,31653841
Human,retina,"Müller cell (subtype 3)
```",FTL,31653841
Human,retina,"Müller cell (subtype 3)
```",DBI,31653841
Human,eye,"muller cell
```",GS,31653841
Human,eye,"muller cell
```",FOS,31653841
Human,eye,"muller cell
```",COL4A3,31653841
Human,eye,"muller cell
```",FTL,31653841
Human,eye,"microglial cell
```",GS,31653841
Human,eye,"microglial cell
```",FOS,31653841
Human,eye,"microglial cell
```",COL4A3,31653841
Human,eye,"microglial cell
```",FTL,31653841
Human,eye,"muller cell
```",APOE,31653841
Human,eye,"retinal blood vessel endothelial cell
```",TM4SF1,31653841
Human,eye,"muller cell
```",TIMP3,31653841
Human,eye,"retinal blood vessel endothelial cell
```",TIMP3,31653841
Human,retina,"macroglia
```",FTL,31653841
Human,retina,"macroglia
```",FOS,31653841
Human,retina,"macroglia
```",COL4A3,31653841
Human,retina,"macroglia
```",Glutamine synthetase,31653841
Human,retina,"macroglia
```",FTL,31653841
Human,retina,"macroglia
```",FOS,31653841
Human,retina,"macroglia
```",COL4A3,31653841
Human,retina,"macroglia
```",Glutamine synthetase,31653841
Human,eye,"muller cell
```",APOE,31653841
Human,eye,"muller cell
```",GS,31653841
Human,eye,"retinal blood vessel endothelial cell
```",TM4SF1,31653841
Human,eye,"muller cell
```",CFI,31653841
Human,eye,"muller cell
```",TIMP3,31653841
Human,eye,"retinal blood vessel endothelial cell
```",TIMP3,31653841
Human,eye,"muller cell
```",APOE,31653841
Human,eye,"muller cell
```",GS,31653841
Human,eye,"muller cell
```",CFI,31653841
Human,eye,"muller cell
```",TIMP3,31653841
Human,eye,"retinal blood vessel endothelial cell
```",TM4SF1,31653841
Human,eye,"retinal blood vessel endothelial cell
```",TIMP3,31653841
Human,rpe-choroid,"capillary endothelial cell
```",RGCC,31712411
Human,choroid,"endothelial cell
```",HLA class I self-peptides,31712411
Human,choroid,"endothelial cell
```",ICAM-1,31712411
Human,choroid,"endothelial cell
```",CA4,31712411
Human,tongue,"schwann cell
```",PLP1,31712411
Human,retina,"endothelial cell
```",VWF,31712411
Human,retina,"endothelial cell
```",CD34,31712411
Human,retina,"endothelial cell
```",ICAM2,31712411
Human,muscle,"smooth muscle cell
```",ACTA2,31712411
Human,muscle,"smooth muscle cell
```",RGS5,31712411
Human,rpe/choroid,"fibroblast
```",IGF2,31712411
Human,rpe/choroid,"retinal pigment epithelial cell
```",RPE65,31712411
Human,rpe/choroid,"retinal pigment epithelial cell
```",BEST1,31712411
Human,rpe/choroid,"leukocyte
```",PTPRC,31712411
Human,eye,"b cells
```",CD79A,31712411
Human,blood,"t cell
```",CD2,31712411
Human,blood,"macrophage
```",AIF1,31712411
Human,rpe/choroid,"mast cell
```",KIT,31712411
Human,eye,"retinal ganglion cell
```",MPZ,31712411
Human,eye,"retinal ganglion cell
```",MBP,31712411
Human,eye,"retina horizontal cell
```",SCN7A,31712411
Human,eye,"retina horizontal cell
```",NGFR,31712411
Human,eye,"retina horizontal cell
```",NCAM1,31712411
Human,eye,"retina horizontal cell
```",L1CAM,31712411
Human,eye,"retinal pigment epithelial cell
```",CXCL14,31712411
Human,eye,"retinal pigment epithelial cell
```",WFDC1,31712411
Human,eye,"retinal pigment epithelial cell
```",TFPI2,31712411
Human,eye,"retinal pigment epithelial cell
```",IGFBP5,31712411
Human,retina,"retinal blood vessel endothelial cell
```",ACKR1,31712411
Human,retina,"retinal blood vessel endothelial cell
```",MMRN1,31712411
Human,retina,"choriocapillaris endothelial cell
```",CA4,31712411
Human,retina,"choriocapillaris endothelial cell
```",PLVAP,31712411
Human,retina,"retinal blood vessel endothelial cell
```",FBLN2,31712411
Human,retina,"retinal blood vessel endothelial cell
```",SEMA3G,31712411
Human,retina,"retinal blood vessel endothelial cell
```",GJA4,31712411
Human,retina,"retinal blood vessel endothelial cell
```",GJA5,31712411
Human,retina,"retinal blood vessel endothelial cell
```",HEY1,31712411
Human,eye,"retinal blood vessel endothelial cell
```",SELE,31712411
Human,eye,"retinal blood vessel endothelial cell
```",VCAM1,31712411
Human,eye,"retinal blood vessel endothelial cell
```",CCL23,31712411
Human,retina,"choriocapillaris endothelial cell
```",SIPR3,31712411
Human,retina,"choriocapillaris endothelial cell
```",SPARC,31712411
Human,retina,"choriocapillaris endothelial cell
```",PCDH12,31712411
Human,eye,"endothelial cell
```",VWF,31712411
Human,lung,"vein endothelial cell
```",ACKR1,31712411
Human,lung,"vein endothelial cell
```",MMRN1,31712411
Human,choroid,"capillary endothelial cell
```",CA4,31712411
Human,choroid,"capillary endothelial cell
```",PLVAP,31712411
Human,vasculature,"artery endothelial cell
```",HEY1,31712411
Human,vasculature,"artery endothelial cell
```",SEMA3G,31712411
Human,choroid,"capillary endothelial cell
```",RGCC,31712411
Human,choroid,"endothelial cell
```",ICAM1,31712411
Human,choroid,"endothelial cell
```",PLVAP,31712411
Human,choroid,"endothelial cell
```",MHC class I antigens,31712411
Human,choroid,"endothelial cell
```",CA4,31712411
Human,choroid,"choriocapillaris endothelial cell
```",S1PR3,31712411
Human,choroid,"endothelial cell
```",CD34,31712411
Human,choroid,"endothelial cell
```",PECAM1,31712411
Human,retina,"eye photoreceptor cell
```",PDE6A,31848347
Human,retina,"retinal bipolar neuron
```",NETO1,31848347
Human,retina,"muller cell
```",SLC1A3,31848347
Human,retina,"amacrine cells
```",GAD1,31848347
Human,retina,"cell_ontology_class='retina horizontal cell', free_annotation='retina - horizontal cells'
```",SEPTIN4,31848347
Human,eye,"cell_ontology_class='eye photoreceptor cell', free_annotation='retina - photoreceptor cells'
```",ARR3,31848347
Human,retina,"retinal ganglion cell
```",RBPMS,31848347
Human,retina,"eye photoreceptor cell
```",AHI1,31848347
Human,retina,"eye photoreceptor cell
```",ATXN7,31848347
Human,retina,"eye photoreceptor cell
```",KCNV2,31848347
Human,retina,"eye photoreceptor cell
```",PROM1,31848347
Human,retina,"eye photoreceptor cell
```",RD3,31848347
Human,retina,"eye photoreceptor cell
```",RPGRIP1,31848347
Human,retina,"eye photoreceptor cell
```",RHO,31848347
Human,retina,"eye photoreceptor cell
```",RHO,31848347
Human,retina,"eye photoreceptor cell
```",RPGRIP1,31848347
Human,retina,"eye photoreceptor cell
```",RPGRIP1,31848347
Human,retina,"eye photoreceptor cell
```",RD3,31848347
Human,retina,"eye photoreceptor cell
```",RD3,31848347
Human,eye,"cd8-positive
```",LAG3,31980621
Human,eye,"cd8-positive
```",LAG3,31980621
Human,eye,"cd8-positive
```",TIGIT,31980621
Human,eye,"cd8-positive
```",PDCD1,31980621
Human,eye,"cd8-positive
```",CTLA4,31980621
Human,eye,"cd8-positive
```",HAVCR2,31980621
Human,eye,"cd8-positive
```",TNFRSF9,31980621
Human,uveal melanoma,"regulatory t cell
```",FOXP3,31980621
Human,uveal melanoma,"regulatory t cell
```",TNFRSF4,31980621
Human,uveal melanoma,"regulatory t cell
```",IKZF2,31980621
Human,uveal melanoma,"regulatory t cell
```",IL2RA,31980621
Human,eye,"melanocyte
```",CD200,31980621
Human,eye,"melanocyte
```",GNG4,31980621
Human,eye,"melanocyte
```",CHN1,31980621
Human,eye,"melanocyte
```",IGFL2,31980621
Human,eye,"melanocyte
```",ITM2A,31980621
Human,eye,"melanocyte
```",CPM,31980621
Human,eye,"melanocyte
```",NR3C1,31980621
Human,eye,"t cell
```",IL7R,31980621
Human,eye,"cd8-positive
```",CD8A,31980621
Human,eye,"cd8-positive
```",ZNF683,31980621
Human,eye,"cd8-positive resident memory T cells
```",KLRK1,31980621
Human,eye,"cd8-positive resident memory T cells
```",ITGAE [CD103],31980621
Human,eye,"cd8-positive
```",PRF1,31980621
Human,eye,"cd8-positive
```",GZMA,31980621
Human,eye,"cd8-positive
```",GZMK,31980621
Human,eye,"cd8-positive
```",NKG7,31980621
Human,retina,"radial glial cell
```",SOX2,32023475
Human,retina,"radial glial cell
```",PAX6,32023475
Human,retina,"retinal ganglion cell
```",HUC/D,32023475
Human,retina,"amacrine cells
```",TFAP2A,32023475
Human,retina,"cell_ontology_class='retina horizontal cell', free_annotation='retina - horizontal cells'
```",ONECUT2,32023475
Human,retina,"eye photoreceptor cell
```",OTX2,32023475
Human,eye,"radial glial cell
```",MKI67,32023475
Human,retina,"未定义（需进一步确认）
```",ATOH7,32023475
Human,eye,"radial glial cell
```",VSX2,32023475
Human,eye,"retinal ganglion cell
```",SNGC,32023475
Human,eye,"t1 transition cells
```",ATOH7,32023475
Human,eye,"t cell
```",FABP7,32023475
Human,eye,"t2 cells
```",PRDM13,32023475
Human,eye,"t cell
```",DLL3,32023475
Human,eye,"radial glial cell
```",SOX2,32023475
Human,retina,"differentiating neurons
```",AP2A,32023475
Human,retina,"differentiating neurons
```",OTX2,32023475
Human,retina,"eye photoreceptor cell
```",OTX2,32023475
Human,retina,"eye photoreceptor cell
```",RCVRN,32023475
Human,eye,"retinal bipolar neuron
```",OTX2,32023475
Human,eye,"retinal bipolar neuron
```",VSX2,32023475
Human,eye,"retinal bipolar neuron
```",RCVRN,32023475
Human,eye,"amacrine cells
```",AP2A,32023475
Human,eye,"amacrine cells
```",CALB1,32023475
Human,eye,"t cell
```",SOX11,32023475
Human,eye,"t cell
```",GAL,32023475
Human,eye,"t cell
```",ELAVL3,32023475
Human,eye,"cell_ontology_class='retinal ganglion cell', free_annotation='retina - ganglion cells'
```",BRN3,32023475
Human,retina,"eye photoreceptor cell
```",RCVRN,32023475
Human,retina,"radial glial cell
```",PAX6,32023475
Human,eye,"t cell
```",ATOH7,32023475
Human,eye,"t cell
```",HES6,32023475
Human,eye,"t cell
```",DLL3,32023475
Human,eye,"radial glial cell
```",SOX2,32023475
Human,eye,"radial glial cell
```",LHX2,32023475
Human,retina,"retinal ganglion cell
```",POU4F1,32023475
Human,retina,"retinal ganglion cell
```",NEFL,32023475
Human,retina,"eye photoreceptor cell
```",NRL,32023475
Human,retina,"amacrine cell
```",HUC/D,32023475
Human,eye,"t cell
```",ATOH7,32023475
Human,eye,"t cell
```",FABP7,32023475
Human,eye,"muller cell
```",RLBP1,32023475
Human,eye,"muller cell
```",AQP4,32023475
Human,eye,"muller cell
```",SLC1A3,32023475
Human,eye,"retinal bipolar neuron
```",VSX1,32023475
Human,eye,"retinal bipolar neuron
```",CABP5,32023475
Human,eye,"retinal bipolar neuron
```",GRM6,32023475
Human,eye,"radial glial cell
```",ASCL1,32023475
Human,eye,"t cell
```",ATOH7,32023475
Human,eye,"radial glial cell
```",MKI67,32023475
Human,eye,"radial glial cell
```",ATOH7,32023475
Human,eye,"radial glial cell
```",OTX2,32023475
Human,eye,"radial glial cell
```",NEUROD1,32023475
Human,eye,"radial glial cell
```",Gal,32023475
Human,eye,"radial glial cell
```",Sox11,32023475
Human,eye,"radial glial cell
```",Elavl3,32023475
Human,retina,"radial glial cell
```",Rgs16,32023475
Human,retina,"radial glial cell
```",Fabp7,32023475
Human,eye,"radial glial cell
```",NFI family genes,32023475
Human,uterus,"epithelial cell
```",PGC,32060101
Human,uterus,"epithelial cell
```",TFF1,32060101
Human,uterus,"epithelial cell
```",MUC5AC,32060101
Human,uterus,"epithelial cell
```",EPCAM,32060101
Human,uterus,"epithelial cell
```",CBLIF,32060101
Human,uterus,"epithelial cell
```",CHGA,32060101
Human,large_intestine,"fibroblast
```",THY1,32060101
Human,large_intestine,"fibroblast
```",DCN,32060101
Human,large_intestine,"fibroblast
```",COL4A1,32060101
Human,large_intestine,"fibroblast
```",FAP,32060101
Human,gastric tissue,"cell_ontology_class='endothelial cell', free_annotation='endothelial cells'
```",PECAM,32060101
Human,gastric tissue,"cell_ontology_class='endothelial cell', free_annotation='endothelial cells'
```",ENG,32060101
Human,gastric tissue,"cell_ontology_class='endothelial cell', free_annotation='endothelial cells'
```",VWF,32060101
