ori_tissue,ori_cell_type,corrected_tissue,corrected_cell_type,corrected
retinal organoid,photoreceptor precursor,,,False
retinal organoid,retinal ganglion cell (rgc),,,False
retinal organoid,retinal ganglion cell (rgc),,,False
retinal organoid,interneuron,,,False
retinal organoid,interneuron,,,False
retinal organoid,photoreceptor,,,False
retinal organoid,photoreceptor,,,False
retinal organoids,retinal progenitor cells (rpcs),,,False
retinal organoids,retinal progenitor cells (rpcs),,,False
retinal organoids,retinal progenitor cells (rpcs),,,False
retinal organoids,retinal progenitor cells (rpcs),,,False
retinal organoids,retinal progenitor cells (rpcs),,,False
retinal organoids,retinal progenitor cells (rpcs),,,False
retina,neuronal cell,,,False
retina,photoreceptor precursor,,,False
retina,retinal progenitor cell (rpc),,,False
retina,neuronal cell,,,False
retina,photoreceptor precursor,,,False
retina,retinal progenitor cell (rpc),,,False
retinal organoids,neurogenic retinal progenitor cells (rpcs),,,False
retinal organoids,neurogenic retinal progenitor cells (rpcs),,,False
retinal organoids,neurogenic retinal progenitor cells (rpcs),,,False
retinal organoids,neurogenic retinal progenitor cells (rpcs),,,False
retinal organoids,neurogenic retinal progenitor cells (rpcs),,,False
retinal organoids,neurogenic retinal progenitor cells (rpcs),,,False
retinal organoids,neurogenic retinal progenitor cells (rpcs),,,False
retinal organoids,neurogenic retinal progenitor cells (rpcs),,,False
retinal organoids,neurogenic retinal progenitor cells (rpcs),,,False
retinal organoids,neurogenic retinal progenitor cells (rpcs),,,False
retinal organoids,neurogenic retinal progenitor cells (rpcs),,,False
retinal organoids,neurogenic retinal progenitor cells (rpcs),,,False
retinal organoids,neurogenic retinal progenitor cells (rpcs),,,False
retinal organoids,neurogenic retinal progenitor cells (rpcs),,,False
retinal organoids,neurogenic retinal progenitor cells (rpcs),,,False
retinal organoids,neurogenic retinal progenitor cells (rpcs),,,False
retinal organoids,multipotent retinal progenitor cells (rpcs),,,False
retinal organoids,multipotent retinal progenitor cells (rpcs),,,False
retinal organoids,quiescent neural stem cells (nscs),,,False
retinal organoids,quiescent neural stem cells (nscs),,,False
retinal organoids,quiescent neural stem cells (nscs),,,False
retinal organoids,quiescent neural stem cells (nscs),,,False
retinal organoids,quiescent neural stem cells (nscs),,,False
retinal organoids,retinal progenitor cells (rpcs),,,False
retinal organoids,retinal progenitor cells (rpcs),,,False
retinal organoids,retinal progenitor cells (rpcs),,,False
retinal organoids,retinal progenitor cells (rpcs),,,False
retinal organoids,retinal progenitor cells (rpcs),,,False
retinal organoids,retinal progenitor cells (rpcs),,,False
retina,multipotent rpcs,,,False
retina,multipotent rpcs,,,False
retina,neurogenic rpcs,,,False
retina,neurogenic rpcs,,,False
retina,müller glia,,,False
retina,müller glia,,,False
retina,müller glia,,,False
retina,müller cell,,,False
retina,müller cell,,,False
retina,cone photoreceptors,,,False
retina,cone photoreceptors,,,False
retina,cone photoreceptors,,,False
retina,cone photoreceptors,,,False
retina,photoreceptor cells,,,False
retina,photoreceptor cells,,,False
retina,photoreceptor cells,,,False
retina,retinal ganglion cells,,,False
retina,retinal ganglion cells,,,False
retina,bipolar cells,,,False
retina,bipolar cells,,,False
retina,bipolar cells,,,False
retina,bipolar cells,,,False
retina,amacrine cells,,,False
retina,amacrine cells,,,False
retina,horizontal cells,,,False
retina,horizontal cells,,,False
retina,horizontal cells,,,False
retina,müller glia and astrocytes,,,False
retina,müller glia and astrocytes,,,False
retina,müller glia and astrocytes,,,False
retina,resident microglia,,,False
retina,resident microglia,,,False
retina,resident microglia,,,False
retina,resident microglia,,,False
retina,cells lining the retinal vasculature,,,False
retina,cells lining the retinal vasculature,,,False
retina,cells lining the retinal vasculature,,,False
retina,cells lining the retinal vasculature,,,False
retina,astrocytes (subtype 1),,,False
retina,astrocytes (subtype 1),,,False
retina,astrocytes (subtype 1),,,False
retina,astrocyte,,,False
retina,astrocyte,,,False
retina,astrocyte,,,False
retina,astrocyte,,,False
retina,astrocyte,,,False
retina,astrocyte,,,False
retina,astrocyte,,,False
retina,müller glia (subtype 2),,,False
retina,müller glia (subtype 2),,,False
retina,müller glia (subtype 2),,,False
retina,müller glia (subtype 2),,,False
retina,müller glia (subtype 2),,,False
retina,müller glia (subtype 2),,,False
retina,müller glia (subtype 2),,,False
retina,müller glia (subtype 3),,,False
retina,müller glia (subtype 3),,,False
retina,müller glia (subtype 3),,,False
retina,müller glia,,,False
retina,müller glia,,,False
retina,müller glia,,,False
retina,müller glia,,,False
retina,astrocytes,,,False
retina,astrocytes,,,False
retina,astrocytes,,,False
retina,astrocytes,,,False
retina,müller glia,,,False
retina,vascular cells,,,False
retina,müller glia,,,False
retina,vascular cells,,,False
retina,macroglia,,,False
retina,macroglia,,,False
retina,macroglia,,,False
retina,macroglia,,,False
retina,macroglia,,,False
retina,macroglia,,,False
retina,macroglia,,,False
retina,macroglia,,,False
retina,müller glia,,,False
retina,müller glia,,,False
retina,vascular endothelium,,,False
retina,müller glia,,,False
retina,müller glia,,,False
retina,vascular endothelium,,,False
retina,müller glia,,,False
retina,müller glia,,,False
retina,müller glia,,,False
retina,müller glia,,,False
retina,vascular endothelium,,,False
retina,vascular endothelium,,,False
rpe-choroid,choriocapillaris endothelial cell,,,False
choroid,endothelial cell,,,False
choroid,endothelial cell,,,False
choroid,endothelial cell,,,False
rpe/choroid,schwann cell,,,False
rpe/choroid,endothelial cell,,,False
rpe/choroid,endothelial cell,,,False
rpe/choroid,endothelial cell,,,False
rpe/choroid,smooth muscle cell,,,False
rpe/choroid,smooth muscle cell,,,False
rpe/choroid,fibroblast,,,False
rpe/choroid,rpe cell,,,False
rpe/choroid,rpe cell,,,False
rpe/choroid,leukocyte,,,False
rpe/choroid,b cell,,,False
rpe/choroid,t cell/nk cell,,,False
rpe/choroid,monocyte/macrophage,,,False
rpe/choroid,mast cell,,,False
retina,schwann cell (myelinating),,,False
retina,schwann cell (myelinating),,,False
retina,schwann cell (nonmyelinating),,,False
retina,schwann cell (nonmyelinating),,,False
retina,schwann cell (nonmyelinating),,,False
retina,schwann cell (nonmyelinating),,,False
retina,rpe (macular),,,False
retina,rpe (macular),,,False
retina,rpe (peripheral),,,False
retina,rpe (peripheral),,,False
retina,endothelial cell (venous),,,False
retina,endothelial cell (venous),,,False
retina,choriocapillaris endothelial cell,,,False
retina,choriocapillaris endothelial cell,,,False
retina,arterial endothelial cell,,,False
retina,arterial endothelial cell,,,False
retina,arterial endothelial cell,,,False
retina,arterial endothelial cell,,,False
retina,arterial endothelial cell,,,False
retina,venous endothelial cell,,,False
retina,venous endothelial cell,,,False
retina,venous endothelial cell,,,False
retina,choriocapillaris endothelial cell,,,False
retina,choriocapillaris endothelial cell,,,False
retina,choriocapillaris endothelial cell,,,False
retina/choroid,endothelial cell,,,False
vein endothelial cell,endothelial cell,,,False
vein endothelial cell,endothelial cell,,,False
choriocapillaris endothelial cell,endothelial cell,,,False
choriocapillaris endothelial cell,endothelial cell,,,False
arterial endothelial cell,endothelial cell,,,False
arterial endothelial cell,endothelial cell,,,False
choriocapillaris endothelial cell,endothelial cell,,,False
choroid,endothelial cell,,,False
choroid,endothelial cell,,,False
choroid,endothelial cell,,,False
choroid,endothelial cell,,,False
choroid,choriocapillaris endothelial cell,,,False
choroid,endothelial cell,,,False
choroid,endothelial cell,,,False
retina,rod cells,,,False
retina,bipolar cells,,,False
retina,müller glial cells,,,False
retina,amacrine cells,,,False
retina,horizontal cells,,,False
retina,cone cells,,,False
retina,retinal ganglion cells,,,False
retina,cone cell,,,False
retina,cone cell,,,False
retina,cone cell,,,False
retina,cone cell,,,False
retina,cone cell,,,False
retina,cone cell,,,False
retina,cone cell,,,False
retina,rod cell,,,False
retina,cone cell,,,False
retina,rod cell,,,False
retina,cone cell,,,False
retina,rod cell,,,False
uveal melanoma,cd8+ t cells,,,False
uveal melanoma,cd8+ t cells,,,False
uveal melanoma,cd8+ t cells,,,False
uveal melanoma,cd8+ t cells,,,False
uveal melanoma,cd8+ t cells,,,False
uveal melanoma,cd8+ t cells,,,False
uveal melanoma,cd8+ t cells,,,False
uveal melanoma,t regulatory cells,,,False
uveal melanoma,t regulatory cells,,,False
uveal melanoma,t regulatory cells,,,False
uveal melanoma,t regulatory cells,,,False
uveal melanoma,follicular t cells,,,False
uveal melanoma,follicular t cells,,,False
uveal melanoma,follicular t cells,,,False
uveal melanoma,follicular t cells,,,False
uveal melanoma,follicular t cells,,,False
uveal melanoma,follicular t cells,,,False
uveal melanoma,follicular t cells,,,False
uveal melanoma,naive t cells,,,False
uveal melanoma,cd8+ t effector memory cells,,,False
uveal melanoma,cd8+ t effector memory cells,,,False
uveal melanoma,cd8+ resident memory cells,,,False
uveal melanoma,cd8+ resident memory cells,,,False
uveal melanoma,cytotoxic cd8+ t cells,,,False
uveal melanoma,cytotoxic cd8+ t cells,,,False
uveal melanoma,cytotoxic cd8+ t cells,,,False
uveal melanoma,cytotoxic cd8+ t cells,,,False
retina,retinal progenitors,,,False
retina,retinal progenitors,,,False
retina,retinal ganglion cells,,,False
retina,amacrine cells,,,False
retina,horizontal cells,,,False
retina,photoreceptors,,,False
retina,progenitor cells (g2/m-phase),,,False
retina,t1 population (intermediate developmental state),,,False
retina,progenitor cells,,,False
retina,ganglion cells,,,False
retina,t1 transition cells,,,False
retina,t3 cells,,,False
retina,t2 cells,,,False
retina,t3 cells,,,False
retina,progenitor cells,,,False
retina,differentiating neurons,,,False
retina,differentiating neurons,,,False
retina,photoreceptors (prs),,,False
retina,photoreceptors (prs),,,False
retina,bipolar cells (bcs),,,False
retina,bipolar cells (bcs),,,False
retina,bipolar cells (bcs),,,False
retina,amacrine cells (acs),,,False
retina,amacrine cells (acs),,,False
retina,t1-like cluster cells,,,False
retina,t1-like cluster cells,,,False
retina,t1-like cluster cells,,,False
retina,rgcs,,,False
retina,prs,,,False
retina,progenitors,,,False
retina,t1 population cells,,,False
retina,t1 population cells,,,False
retina,t1 cell,,,False
retina,progenitor cell,,,False
retina,progenitor cell,,,False
retina,rgc (retinal ganglion cell),,,False
retina,rgc (retinal ganglion cell),,,False
retina,photoreceptor (pr) cell,,,False
retina,amacrine cell (ac),,,False
retina,t1 cell,,,False
retina,t3 cell,,,False
retina,müller glia,,,False
retina,müller glia,,,False
retina,müller glia,,,False
retina,bipolar cells (bcs),,,False
retina,bipolar cells (bcs),,,False
retina,bipolar cells (bcs),,,False
retina,progenitor cells,,,False
retina,t1 cells,,,False
retina,progenitor cells,,,False
retina,progenitor cells,,,False
retina,progenitor cells,,,False
retina,progenitor cells,,,False
retina,progenitor cells,,,False
retina,progenitor cells,,,False
retina,progenitor cells,,,False
retina,later-stage progenitor cells,,,False
retina,later-stage progenitor cells,,,False
retina,late progenitor cells transitioning to immature müller glia,,,False
gastric tissue,epithelial cells,,,False
gastric tissue,epithelial cells,,,False
gastric tissue,epithelial cells,,,False
gastric tissue,epithelial cells,,,False
gastric tissue,epithelial cells,,,False
gastric tissue,epithelial cells,,,False
gastric tissue,fibroblasts,,,False
gastric tissue,fibroblasts,,,False
gastric tissue,fibroblasts,,,False
gastric tissue,fibroblasts,,,False
gastric tissue,endothelial cells,,,False
gastric tissue,endothelial cells,,,False
gastric tissue,endothelial cells,,,False
gastric tissue,endothelial cells,,,False
gastric tissue,immune cells,,,False
gastric tissue,cd4 t cells,,,False
gastric tissue,cd4 t cells,,,False
gastric tissue,cd4 t cells,,,False
gastric tissue,cytotoxic t cells,,,False
gastric tissue,cytotoxic t cells,,,False
gastric tissue,cytotoxic t cells,,,False
gastric tissue,regulatory t cells,,,False
gastric tissue,regulatory t cells,,,False
gastric tissue,nk cells,,,False
gastric tissue,nk cells,,,False
gastric tissue,b cells,,,False
gastric tissue,plasma cells,,,False
gastric tissue,mast cells,,,False
gastric tissue,macrophages,,,False
gastric tissue,macrophages,,,False
gastric tissue,macrophages,,,False
gastric tissue,epithelial cells (gc type 1),,,False
gastric tissue,epithelial cells (gc type 1),,,False
gastric tissue,epithelial cells (gc type 1),,,False
gastric tissue,epithelial cells (gc type 1),,,False
gastric tissue,epithelial cells (gc type 1),,,False
gastric tissue,epithelial cells (gc type 2),,,False
gastric tissue,epithelial cells (gc type 2),,,False
gastric tissue,epithelial cells (gc type 2),,,False
gastric tissue,epithelial cells (gc type 2),,,False
gastric tme,cd4 helper t cell,,,False
gastric tme,cd8 t cell,,,False
gastric tme,treg cell,,,False
gastric tme,b cell,,,False
gastric tme,cytotoxic cd8 t lymphocyte (ctl),,,False
gastric tme,cytotoxic cd8 t lymphocyte (ctl),,,False
gastric tme,cytotoxic cd8 t lymphocyte (ctl),,,False
gastric tme,cytotoxic cd8 t lymphocyte (ctl),,,False
gastric tme,cytotoxic cd8 t lymphocyte (ctl),,,False
gastric tme,exhausted t cell (tex),,,False
gastric tme,exhausted t cell (tex),,,False
gastric tme,exhausted t cell (tex),,,False
gastric tme,exhausted t cell (tex),,,False
gastric tme,exhausted t cell (tex),,,False
gastric tme,exhausted t cell (tex),,,False
gastric tme,exhausted t cell (tex),,,False
gastric tme,exhausted t cell (tex),,,False
gastric tme,exhausted t cell (tex),,,False
gastric tme,exhausted t cell (tex),,,False
gastric tme,exhausted t cell (tex),,,False
gastric tme,exhausted t cell (tex),,,False
gastric tme,exhausted t cell (tex),,,False
gastric tme,exhausted t cell (tex),,,False
gastric tme,exhausted t cell (tex),,,False
tumor,effector ctls (subclass 2),,,False
tumor,effector ctls (subclass 2),,,False
tumor,effector ctls (subclass 2),,,False
tumor,effector ctls (subclass 2),,,False
tumor,memory t cells,,,False
tumor,t cells,,,False
tumor,exhausted effector t cells,,,False
tumor,tregs (subclass 1),,,False
tumor,tregs (subclass 1),,,False
tumor,naïve cd4 t cells,,,False
tumor,naïve cd4 t cells,,,False
tumor,effector cd4 t cells,,,False
tumor,effector cd4 t cells,,,False
tumor,effector cd4 t cells,,,False
tumor,effector cd4 t cells,,,False
tumor,effector cd4 t cells,,,False
blood,nk cell,blood,nk cell,True
peripheral blood mononuclear cells (pbmcs),t cells,,,False
peripheral blood mononuclear cells (pbmcs),t cells,,,False
peripheral blood mononuclear cells (pbmcs),t cells,,,False
peripheral blood mononuclear cells (pbmcs),t cells,,,False
peripheral blood mononuclear cells (pbmcs),t cells,,,False
peripheral blood mononuclear cells (pbmcs),t cells,,,False
peripheral blood mononuclear cells (pbmcs),t cells,,,False
peripheral blood mononuclear cells (pbmcs),t cells,,,False
peripheral blood mononuclear cells (pbmcs),myeloid cells,,,False
peripheral blood mononuclear cells (pbmcs),myeloid cells,,,False
peripheral blood mononuclear cells (pbmcs),myeloid cells,,,False
peripheral blood mononuclear cells (pbmcs),myeloid cells,,,False
peripheral blood mononuclear cells (pbmcs),myeloid cells,,,False
peripheral blood mononuclear cells (pbmcs),myeloid cells,,,False
peripheral blood mononuclear cells (pbmcs),myeloid cells,,,False
peripheral blood mononuclear cells (pbmcs),myeloid cells,,,False
peripheral blood mononuclear cells (pbmcs),myeloid cells,,,False
peripheral blood mononuclear cells (pbmcs),myeloid cells,,,False
peripheral blood mononuclear cells (pbmcs),myeloid cells,,,False
peripheral blood mononuclear cells (pbmcs),b cells,,,False
peripheral blood mononuclear cells (pbmcs),b cells,,,False
peripheral blood mononuclear cells (pbmcs),b cells,,,False
peripheral blood mononuclear cells (pbmcs),b cells,,,False
peripheral blood mononuclear cells (pbmcs),b cells,,,False
peripheral blood mononuclear cells (pbmcs),b cells,,,False
peripheral blood mononuclear cells (pbmcs),b cells,,,False
peripheral blood,cd3-cd7+gzmb+ cells,,,False
retina,retinal pigment epithelial cell,,,False
retina,retinal pigment epithelial cell,,,False
retina,retinal pigment epithelial cell,,,False
retina,retinal pigment epithelial cell,,,False
optic vesicle,rpe cells,,,False
optic vesicle,rpe cells,,,False
optic vesicle,alternative lineages,,,False
optic vesicle,alternative lineages,,,False
retina,hpsc-rpe cell,,,False
retina,hpsc-rpe cell,,,False
retina,hpsc-rpe cell,,,False
retina,hpsc-rpe cell,,,False
retina,hpsc-rpe cell,,,False
retina,hpsc-rpe cell,,,False
retina,hpsc-rpe cell,,,False
retina,hpsc-rpe cell,,,False
embryoid bodies,pigmented cells,,,False
embryoid bodies,pigmented cells,,,False
embryoid bodies,pigmented cells,,,False
hpsc-rpe,hpsc-rpe cells,,,False
hpsc-rpe,hpsc-rpe cells,,,False
retina,rpe cell,,,False
retina,rpe cell,,,False
retina,rpe cell,,,False
retina,rpe cell,,,False
retina,rpe cell,,,False
retina,eye-field progenitors,,,False
retina,rpe (retinal pigment epithelium),,,False
retina,rpe (retinal pigment epithelium),,,False
retina,rpe (retinal pigment epithelium),,,False
retina,rpe (retinal pigment epithelium),,,False
retina,rpe (retinal pigment epithelium),,,False
retina,rpe (retinal pigment epithelium),,,False
retina,retinal pigment epithelial (rpe) cell,,,False
retina,retinal pigment epithelial (rpe) cell,,,False
retina,retinal pigment epithelial (rpe) cell,,,False
retina,retinal pigment epithelial (rpe) cell,,,False
pluripotent stem cell,undifferentiated cell,,,False
eye-field progenitor,progenitor cell,,,False
eye-field progenitor,progenitor cell,,,False
eye-field progenitor,progenitor cell,,,False
eye-field progenitor,progenitor cell,,,False
retina,hpsc-rpe (retinal pigment epithelium) cells,,,False
retina,hpsc-rpe (retinal pigment epithelium) cells,,,False
retina,hpsc-rpe (retinal pigment epithelium) cells,,,False
retina,hpsc-rpe (retinal pigment epithelium) cells,,,False
retina,hpsc-rpe (retinal pigment epithelium) cells,,,False
retina,hpsc-rpe (retinal pigment epithelium) cells,,,False
retina,eye-field progenitors,,,False
retina,eye-field progenitors,,,False
retina,eye-field progenitors,,,False
retina,eye-field progenitors,,,False
retina,eye-field progenitors,,,False
retina,eye-field progenitors,,,False
retina,eye-field progenitors,,,False
retina,eye-field progenitors,,,False
retina,myogenic lineage cells,,,False
retina,myogenic lineage cells,,,False
retina,myogenic lineage cells,,,False
retina,myogenic lineage cells,,,False
retina,hpsc-rpe (retinal pigment epithelium) cells,,,False
retina,hpsc-rpe (retinal pigment epithelium) cells,,,False
retina,hpsc-rpe (retinal pigment epithelium) cells,,,False
retina,hpsc-rpe (retinal pigment epithelium) cells,,,False
retina,hpsc-rpe (retinal pigment epithelium) cells,,,False
peripheral blood,cd4+ t cells,,,False
peripheral blood,tn (t naive) cells,,,False
peripheral blood,tcm (t central memory) cells,,,False
peripheral blood,tem (t effector memory) cells,,,False
peripheral blood,treg (regulatory t) cells,,,False
pbmcs,b cells,,,False
pbmcs,t cells,,,False
pbmcs,monocytes,,,False
pbmcs,monocytes,,,False
pbmcs,monocytes,,,False
pbmcs,dendritic cells,,,False
pbmcs,nk cells,,,False
trabecular meshwork and associated structures,beam a cells,,,False
trabecular meshwork and associated structures,beam b cells,,,False
trabecular meshwork and associated structures,junctional cells (jct),,,False
trabecular meshwork and associated structures,junctional cells (jct),,,False
trabecular meshwork and associated structures,schwalbe line cells,,,False
trabecular meshwork and associated structures,trabecular meshwork cells,,,False
trabecular meshwork and associated structures,trabecular meshwork cells,,,False
trabecular meshwork and associated structures,trabecular meshwork cells,,,False
trabecular meshwork and associated structures,trabecular meshwork cells,,,False
conventional outflow pathway,vascular endothelium,,,False
conventional outflow pathway,vascular endothelium,,,False
conventional outflow pathway,vascular endothelium,,,False
conventional outflow pathway,vascular endothelium,,,False
conventional outflow pathway,vascular endothelium,,,False
conventional outflow pathway,schlemm's canal (sc) endothelium,,,False
conventional outflow pathway,schlemm's canal (sc) endothelium,,,False
conventional outflow pathway,schlemm's canal (sc) endothelium,,,False
conventional outflow pathway,schlemm's canal (sc) endothelium,,,False
conventional outflow pathway,schlemm's canal (sc) endothelium,,,False
conventional outflow pathway,schlemm's canal (sc) endothelium,,,False
conventional outflow pathway,trabecular meshwork (tm) cells,,,False
conventional outflow pathway,trabecular meshwork (tm) cells,,,False
conventional outflow pathway,beam cells,,,False
conventional outflow pathway,beam cells,,,False
conventional outflow pathway,junctional cells of the tm (jct),,,False
conventional outflow pathway,junctional cells of the tm (jct),,,False
conventional outflow pathway,"corneoscleral rim, scleral fibroblasts",,,False
conventional outflow pathway,schwalbe line cells,,,False
retina,rgcs,,,False
corneal endothelium,schwalbe line cells,,,False
trabecular meshwork,beam cells and jct,,,False
retina,rgcs,,,False
trabecular meshwork,"tm cell types (c3, c5, and c8)",,,False
gastric cancer,cancer stem cells (cscs),,,False
gastric cancer,cancer stem cells (cscs),,,False
gastric cancer,cancer stem cells (cscs),,,False
pancreatic cancer tissue,malignant pc cell,,,False
pancreatic cancer tissue,epithelial cell,,,False
pancreatic cancer tissue,epithelial cell,,,False
pancreatic cancer tissue,nonepithelial cell,,,False
pancreatic cancer tissue,t lymphocyte,,,False
pancreatic cancer tissue,epithelial tumor cell,,,False
pancreatic cancer tissue,immune cell,,,False
pancreatic cancer tissue,macrophage,,,False
pancreatic cancer tissue,stromal cell,,,False
pancreatic cancer tissue,malignant pc cell,,,False
pancreatic cancer tissue,epithelial cell,,,False
pancreatic cancer tissue,epithelial cell,,,False
pancreatic cancer tissue,nonepithelial cell,,,False
pancreatic cancer tissue,t lymphocyte,,,False
pancreatic cancer tissue,epithelial tumor cell,,,False
pancreatic cancer tissue,immune cell,,,False
pancreatic cancer tissue,macrophage,,,False
pancreatic cancer tissue,stromal cell,,,False
liver,t cell,liver,t cell,True
liver,nk cell,liver,nk cell,True
liver,b cell,,,False
liver,plasma cell,liver,plasma cell,True
liver,monocyte,liver,monocyte,True
liver,myeloid cell,,,False
liver,liver-derived lymphocytes,,,False
