species,tissue_class,tissue_type,cell_name,marker,pmid
Human,Eye,retina,"eye photoreceptor cell
```",THRB,31436334
Human,Eye,retina,"eye photoreceptor cell
```",GRK7,31436334
Human,Eye,retina,"retinal ganglion cell
```",SNCG,31436334
Human,Eye,retina,"müller glial cell
```",RLBP1,31436334
Human,Eye,retina,"eye photoreceptor cell
```",GNGT2,31436334
Human,Eye,eye,"cell_ontology_class='retina horizontal cell', free_annotation='retina - horizontal cells'
```",ONECUT2,31436334
Human,Eye,retina,"microglial cell
```",GFAP,31436334
Human,Eye,retina,"eye photoreceptor cell
```",CNGA1,31436334
Human,Eye,retina,"retinal ganglion cell
```",GAP43,31436334
Human,Eye,retina,"eye photoreceptor cell
```",PDE6A,31436334
Human,Eye,retina,"amacrine cell (cell_ontology_class='amacrine cell')
```",CALB1,31436334
Human,Eye,retina,"eye photoreceptor cell
```",RXRG,31436334
Human,Eye,retina,"retinal bipolar neuron
```",OTX2,31436334
Human,Eye,retina,"eye photoreceptor cell
```",RHO,31436334
Human,Eye,retina,"retinal bipolar neuron
```",VSX2,31436334
Human,Eye,retina,"microglial cell
```",HLA‐DRA,31436334
Human,Eye,retina,"amacrine cell (cell_ontology_class='amacrine cell')
```",CHAT,31436334
Human,Eye,retina,"amacrine cell (cell_ontology_class='amacrine cell')
```",GAD1,31436334
Human,Eye,retina,"eye photoreceptor cell
```",OPN1LW,31436334
Human,Eye,retina,"eye photoreceptor cell
```",ARR3,31436334
Human,Eye,retina,"microglial cell
```",HLA‐DPB1,31436334
Human,Eye,eye,"radial glial cell
```",NEUROG2,31543471
Human,Eye,eye,"radial glial cell
```",EFNB2,31543471
Human,Eye,retina,"radial glial cell
```",TGFβ2,31543471
Human,Eye,retina,"radial glial cell
```",LIN28B,31543471
Human,Eye,eye,"radial glial cell
```",ASCL1,31543471
Human,Eye,eye,"retinal ganglion cell
```",DCX,31543471
Human,Eye,eye,"radial glial cell
```",DCX,31543471
Human,Eye,eye,"radial glial cell
```",GPM6A,31543471
Human,Eye,retina,"radial glial cell
```",IGFBP5,31543471
Human,Eye,eye,"radial glial cell
```",RUFY3,31543471
Human,Eye,eye,"radial glial cell
```",RTN4,31543471
Human,Eye,eye,"radial glial cell
```",ISLR2,31543471
Human,Eye,retina,"radial glial cell
```",LIN28A,31543471
Human,Eye,retina,"radial glial cell
```",BMP7,31543471
Human,Eye,eye,"retinal ganglion cell
```",SEMA5A,31543471
Human,Eye,eye,"radial glial cell
```",GPM6B,31543471
Human,Eye,retina,"radial glial cell
```",PFN1,31543471
Human,Eye,retina,"radial glial cell
```",TMSB10,31543471
Human,Eye,eye,"retinal ganglion cell
```",NRCAM,31543471
Human,Eye,retina,"radial glial cell
```",GJA1,31543471
Human,Eye,retina,"radial glial cell
```",ATP1A2,31543471
Human,Eye,eye,"retinal ganglion cell
```",GJA1,31543471
Human,Eye,retina,"radial glial cell
```",JAG1,31543471
Human,Eye,eye,"retinal ganglion cell
```",ATP1A2,31543471
Human,Eye,eye,"radial glial cell
```",FZD3,31543471
Human,Eye,eye,"retinal ganglion cell
```",DCLK1,31543471
Human,Eye,retina,"microglial cell
```",CD163,31653841
Human,Eye,eye,"cell_ontology_class='retina horizontal cell', free_annotation='retina - horizontal cells'
```",ONECUT2,31653841
Human,Eye,retina,"microglial cell
```",TMEM119,31653841
Human,Eye,eye,"retinal blood vessel endothelial cell
```",RGS5,31653841
Human,Eye,retina,"retinal ganglion cell
```",NEFL,31653841
Human,Eye,eye,"retinal blood vessel endothelial cell
```",TM4SF1,31653841
Human,Eye,retina,"eye photoreceptor cell
```",PPEF2,31653841
Human,Eye,retina,"eye photoreceptor cell
```",OPN1SW,31653841
Human,Eye,retina,"retinal bipolar neuron
```",TMEM215,31653841
Human,Eye,retina,"amacrine cell (cell_ontology_class='amacrine cell')
```",GAD1,31653841
Human,Eye,retina,"retinal ganglion cell
```",NEFM,31653841
Human,Eye,eye,"retinal blood vessel endothelial cell
```",CD34,31653841
Human,Eye,eye,"retinal blood vessel endothelial cell
```",ADAMTS9,31653841
Human,Eye,retina,"eye photoreceptor cell
```",OPN1MW,31653841
Human,Eye,retina,"müller glial cell
```",GLUL,31653841
Human,Eye,retina,"eye photoreceptor cell
```",PDE6A,31653841
Human,Eye,retina,"amacrine cell (cell_ontology_class='amacrine cell')
```",C1QL2,31653841
Human,Eye,eye,"astrocyte
```",GLUL,31653841
Human,Eye,retina,"eye photoreceptor cell
```",NR2E3,31653841
Human,Eye,eye,"astrocyte
```",ΑΡΟΕ,31653841
Human,Eye,retina,"eye photoreceptor cell
```",GNAT2,31653841
Human,Eye,retina,"macroglial cell
```",COL4A3,31653841
Human,Eye,retina,"retinal ganglion cell
```",SLC17A6,31653841
Human,Eye,eye,"retinal blood vessel endothelial cell
```",CDH5,31653841
Human,Eye,retina,"microglial cell
```",C1QA,31653841
Human,Eye,retina,"eye photoreceptor cell
```",OPN1LW,31653841
Human,Eye,eye,"cell_ontology_class='retina horizontal cell', free_annotation='retina - horizontal cells'
```",ONECUT1,31653841
Human,Eye,retina,"macroglial cell
```",FOS,31653841
Human,Eye,retina,"müller glial cell
```",CLU,31653841
Human,Eye,retina,"müller glial cell
```",ΑΡΟΕ,31653841
Human,Eye,retina,"retinal bipolar neuron
```",TRPM1,31653841
Human,Eye,retina,"microglial cell
```",AIF1,31653841
Human,Eye,eye,"cell_ontology_class='retina horizontal cell', free_annotation='retina - horizontal cells'
```",LHX1,31653841
Human,Eye,retina,"macroglial cell
```",FTL,31653841
Human,Eye,retina,"retinal ganglion cell
```",SNCG,31653841
Human,Eye,retina,"retinal bipolar neuron
```",CAMK2B,31653841
Human,Eye,retina,"retinal bipolar neuron
```",GRM6,31653841
Human,Eye,eye,"astrocyte
```",GFAP,31653841
Human,Eye,eye,"astrocyte
```",CLU,31653841
Human,Eye,eye,"astrocyte
```",SPARCL1,31653841
Human,Eye,vasculature,"artery endothelial cell
```",SEMA3G,31712411
Human,Eye,choroid,"cell_ontology_class='macrophage'
```",AIF1,31712411
Human,Eye,eye,"retinal pigment epithelial cell
```",RPE65,31712411
Human,Eye,tongue,"Schwann cell
```",SCN7A,31712411
Human,Eye,lung,"fibroblast
```",FBLN1,31712411
Human,Eye,lung,"vein endothelial cell
```",MMRN1,31712411
Human,Eye,vasculature,"artery endothelial cell
```",HEY1,31712411
Human,Eye,skin,"mast cell
```",KIT,31712411
Human,Eye,tongue,"Schwann cell
```",NGFR,31712411
Human,Eye,choroid,"leukocyte
```",PTPRC,31712411
Human,Eye,lung,"vein endothelial cell
```",ACKR1,31712411
Human,Eye,choroid,"endothelial cell
```",VWF,31712411
Human,Eye,eye,"melanocyte
```",DCT,31712411
Human,Eye,tongue,"schwann cell
```",MBP,31712411
Human,Eye,muscle,"smooth muscle cell
```",RGS5,31712411
Human,Eye,eye,"melanocyte
```",MLANA,31712411
Human,Eye,eye,"melanocyte
```",PMEL,31712411
Human,Eye,tongue,"Schwann cell
```",L1CAM,31712411
Human,Eye,tongue,"schwann cell
```",MPZ,31712411
Human,Eye,choroid,"endothelial cell
```",CD34,31712411
Human,Eye,eye,"melanocyte
```",TYRP1,31712411
Human,Eye,eye,"capillary endothelial cell
```",PLVAP,31712411
Human,Eye,tongue,"schwann cell
```",PLP1,31712411
Human,Eye,blood,"t cell
```",CD2,31712411
Human,Eye,eye,"capillary endothelial cell
```",CA4,31712411
Human,Eye,choroid,"pericyte cell
```",RGS5,31712411
Human,Eye,tongue,"Schwann cell
```",NCAM1,31712411
Human,Eye,eye,"retinal pigment epithelial cell
```",BEST1,31712411
Human,Eye,blood,"cell_ontology_class='nk cell', free_annotation='natural killer cell'
```",CD2,31712411
Human,Eye,eye,"b cell
```",CD79A,31712411
Human,Eye,choroid,"endothelial cell
```",ICAM2,31712411
Human,Eye,eye,"retina horizontal cell
```",SEP4,31848347
Human,Eye,eye,"rod cell
```",PDE6A,31848347
Human,Eye,eye,"muller cell
```",SLC1A3,31848347
Human,Eye,eye,"retinal bipolar neuron
```",NETO1,31848347
Human,Eye,eye,"amacrine cell
```",GAD1,31848347
Human,Eye,Eye,Retinal ganglion cell,RBPMS,31848347
Human,Eye,eye,"cone cell
```",ARR3,31848347
Human,Esophagus,blood,"macrophage
```",VCAN,31892341
Human,Esophagus,esophagus,"macrophage
```",PTPRC,31892341
Human,Esophagus,esophagus,"cell_ontology_class='cytotoxic T cell', free_annotation='cytotoxic T cells'
```",GZMB,31892341
Human,Esophagus,blood,"cd8-positive
```",CD8A,31892341
Human,Esophagus,lung,"dendritic cell
```",CLEC10A,31892341
Human,Esophagus,fat,"endothelial cell
```",CLEC14A,31892341
Human,Esophagus,tongue,"keratinocyte
```",KRT4,31892341
Human,Esophagus,esophagus,"b cell
```",IGHD,31892341
Human,Esophagus,esophagus,"b cell
```",CD27,31892341
Human,Esophagus,esophagus,"b cell
```",TNFRSF13B,31892341
Human,Esophagus,esophagus,"cell_ontology_class='cytotoxic T cell', free_annotation='cytotoxic T cells'
```",PRF1,31892341
Human,Esophagus,blood,"cd4-positive
```",CD8A,31892341
Human,Esophagus,esophagus,"cell_ontology_class='cytotoxic T cell', free_annotation='cytotoxic T cells'
```",GNLY,31892341
Human,Esophagus,lung,"dendritic cell
```",CD1C,31892341
Human,Esophagus,vasculature,"vascular cell
```",VWF,31892341
Human,Esophagus,salivary_gland,"duct epithelial cell
```",KRT7,31892341
Human,Esophagus,esophagus,"gland cell
```",TFF3,31892341
Human,Esophagus,未确认,"natural killer cell
```",NCR1,31892341
Human,Esophagus,esophagus,"b cell
```",FCER2,31892341
Human,Esophagus,salivary_gland,"duct epithelial cell
```",KRT23,31892341
Human,Esophagus,esophagus,"b cell
```",CD19,31892341
Human,Esophagus,blood,"cd8-positive
```",CD3E,31892341
Human,Esophagus,esophagus,"stromal cell
```",COL1A2,31892341
Human,Esophagus,未确认,"natural killer cell
```",NCAM1,31892341
Human,Esophagus,esophagus,"mast cell
```",TPSB2,31892341
Human,Esophagus,blood,"cd8-positive
```",CD4,31892341
Human,Esophagus,blood,"macrophage
```",CD14,31892341
Human,Esophagus,lung,"macrophage
```",APOE,31892341
Human,Esophagus,esophagus,"dividing cell
```",MKI67,31892341
Human,Esophagus,blood,"cd4-positive
```",CD3E,31892341
Human,Esophagus,esophagus,"gland cell
```",MUC5B,31892341
Human,Esophagus,vasculature,"vascular cell
```",CCL21,31892341
Human,Esophagus,esophagus,"stromal cell
```",DCN,31892341
Human,Esophagus,esophagus,"b cell
```",TCL1A,31892341
Human,Esophagus,esophagus,"epithelial cell
```",ITGA6,31892341
Human,Esophagus,blood,"macrophage
```",FCN1,31892341
Human,Esophagus,esophagus,"epithelial cell
```",SCPEP1,31892341
Human,Esophagus,esophagus,"epithelial cell
```",KRT5,31892341
Human,Esophagus,esophagus,"stromal cell
```",FBLN1,31892341
Human,Esophagus,fat,"endothelial cell
```",PECAM1,31892341
Human,Esophagus,blood,"cd4-positive
```",CD4,31892341
Human,Esophagus,esophagus,"b cell
```",CD79A,31892341
Human,Lung,lung,"cytotoxic T cell
```",PRF1,31892341
Human,Lung,lung,"cd8-positive alpha-beta t cell
```",CD4,31892341
Human,Lung,lung,"alveolar cell type 1
```",AGER,31892341
Human,Lung,lung,"cytotoxic T cell
```",GNLY,31892341
Human,Lung,lung,"cytotoxic T cell
```",GZMB,31892341
Human,Lung,lung,"cd8-positive alpha-beta t cell
```",CD8A,31892341
Human,Lung,lung,"cd8-positive alpha-beta t cell
```",CD3E,31892341
Human,Lung,lung,"plasmacytoid dendritic cell
```",IL3RC,31892341
Human,Lung,lung,"lung ciliated cell
```",FOXJ1,31892341
Human,Lung,lung,"macrophage
```",FCN1,31892341
Human,Lung,lung,"cd4-positive alpha-beta t cell
```",CD8A,31892341
Human,Lung,lung,"basal cell
```",MKI67,31892341
Human,Lung,Lung,Natural killer cell,CD160,31892341
Human,Lung,lung,"plasmacytoid dendritic cell
```",CLEC4C,31892341
Human,Lung,lung,"lung ciliated cell
```",EPCAM,31892341
Human,Lung,lung,"alveolar cell type 1
```",SFTPC,31892341
Human,Lung,Lung,Macrophage,CD5L,31892341
Human,Lung,Lung,Macrophage,APOE,31892341
Human,Lung,lung,"vascular associated smooth muscle cell
```",VWF,31892341
Human,Lung,Lung,B cell,CD79A,31892341
Human,Lung,lung,"alveolar cell type 1
```",SLPI,31892341
Human,Lung,lung,"lung ciliated cell
```",CIMAP3,31892341
Human,Lung,lung,"dendritic cell
```",CD1C,31892341
Human,Lung,lung,"dendritic cell
```",CLEC9A,31892341
Human,Lung,Lung,Fibroblast,PDGFRA,31892341
Human,Lung,lung,"cd4-positive alpha-beta t cell
```",CD4,31892341
Human,Lung,lung,"macrophage
```",CD14,31892341
Human,Lung,lung,"macrophage
```",VCAN,31892341
Human,Lung,Lung,Macrophage,MARCO,31892341
Human,Lung,Lung,Natural killer cell,NCR1,31892341
Human,Lung,Lung,Fibroblast,VCAN,31892341
Human,Lung,spleen,"regulatory t cell
```",IL2RA,31892341
Human,Lung,lung,"dendritic cell
```",CCR7,31892341
Human,Lung,lung,"dendritic cell
```",XCR1,31892341
Human,Lung,lung,"type ii pneumocyte
```",AGER,31892341
Human,Lung,Lung,B cell,CD19,31892341
Human,Lung,lung,"dendritic cell
```",CLEC10A,31892341
Human,Lung,lung,"alveolar cell type 1
```",EPCAM,31892341
Human,Lung,Lung,Plasma cell,XBP1,31892341
Human,Lung,Lung,B cell,MS4A1,31892341
Human,Lung,Lung,Natural killer cell,NCAM1,31892341
Human,Lung,lung,"type ii pneumocyte
```",SLPI,31892341
Human,Lung,spleen,"regulatory t cell
```",FOXP3,31892341
Human,Lung,Lung,Plasma cell,SDC1,31892341
Human,Lung,lung,"smooth muscle cell
```",TAGLN,31892341
Human,Lung,lung,"smooth muscle cell
```",ACTA2,31892341
Human,Lung,lung,"basal cell
```",CDK1,31892341
Human,Lung,lung,"vascular associated smooth muscle cell
```",CCL21,31892341
Human,Lung,lung,"type ii pneumocyte
```",EPCAM,31892341
Human,Lung,lung,"type ii pneumocyte
```",SFTPC,31892341
Human,Lung,lung,"cd4-positive alpha-beta t cell
```",CD3E,31892341
Human,Lung,lung,"vascular associated smooth muscle cell
```",PECAM1,31892341
Human,Lung,lung,"mast cell
```",TPSB2,31892341
Human,Lung,Lung,Plasma cell,JCHAIN,31892341
Human,Spleen,spleen,"regulatory t cell
```",FOXP3,31892341
Human,Spleen,spleen,"regulatory t cell
```",IL2RA,31892341
Human,Spleen,spleen,"无法确定（需进一步验证原始数据）
```",CD34,31892341
Human,Spleen,spleen,"type i nk t cell
```",GZMB,31892341
Human,Spleen,spleen,"plasma cell
```",H2AZ1,31892341
Human,Spleen,spleen,"无法确定（需进一步验证原始数据）
```",HOXA9,31892341
Human,Spleen,spleen,"naive B cell
```",TCL1A,31892341
Human,Spleen,thymus,"t follicular helper cell
```",ICOS,31892341
Human,Spleen,Spleen,Macrophage,CD5L,31892341
Human,Spleen,spleen,"无法确定（需进一步验证原始数据）
```",PROM1,31892341
Human,Spleen,spleen,"naive B cell
```",FCER2,31892341
Human,Spleen,spleen,"cd4-positive
```",CD8A,31892341
Human,Spleen,spleen,"naive B cell
```",IL4R,31892341
Human,Spleen,spleen,"cell_ontology_class='macrophage', free_annotation='monocyte/macrophage'
```",FCN1,31892341
Human,Spleen,spleen,"memory b cell
```",AICDA,31892341
Human,Spleen,spleen,"cd1c-positive myeloid dendritic cell
```",CLEC10A,31892341
Human,Spleen,spleen,"cd4-positive
```",CD4,31892341
Human,Spleen,spleen,"naive B cell
```",IGHD,31892341
Human,Spleen,Spleen,Innate lymphoid cell,KLRB1,31892341
Human,Spleen,thymus,"t follicular helper cell
```",PDCD1,31892341
Human,Spleen,spleen,"cd4-positive
```",CD3E,31892341
Human,Spleen,Spleen,Natural killer cell,CD160,31892341
Human,Spleen,spleen,"cell_ontology_class='macrophage', free_annotation='monocyte/macrophage'
```",VCAN,31892341
Human,Spleen,Spleen,Natural killer cell,NCR1,31892341
Human,Spleen,spleen,"cd1c-positive myeloid dendritic cell
```",CD1C,31892341
Human,Spleen,spleen,"无法确定（需进一步确认）
```",KLRB1,31892341
Human,Spleen,Spleen,Platelet,PF4,31892341
Human,Spleen,Spleen,Platelet,GP9,31892341
Human,Spleen,spleen,"无法确定（需进一步确认）
```",SLC4A10,31892341
Human,Spleen,Spleen,Macrophage,APOE,31892341
Human,Spleen,thymus,"t follicular helper cell
```",CXCR5,31892341
Human,Spleen,Spleen,Plasmacytoid dendritic cell,CLEC4C,31892341
Human,Spleen,spleen,"plasma cell
```",TUBB,31892341
Human,Spleen,Spleen,Natural killer cell,NCAM1,31892341
Human,Spleen,spleen,"plasma cell
```",PTPRC,31892341
Human,Spleen,spleen,"γ δ t cell
```",TRGV2,31892341
Human,Spleen,Spleen,Plasma cell,IGHG1,31892341
Human,Spleen,Spleen,Plasmacytoid dendritic cell,IL3RC,31892341
Human,Spleen,spleen,"cell_ontology_class='macrophage', free_annotation='monocyte/macrophage'
```",CD14,31892341
Human,Spleen,spleen,"naive thymus-derived cd8-positive
```",CD4,31892341
Human,Spleen,Spleen,Innate lymphoid cell,TNFSF13B,31892341
Human,Spleen,spleen,"naive b cell
```",TNFRSF13B,31892341
Human,Spleen,spleen,"γ δ t cell
```",FCGR3A,31892341
Human,Spleen,spleen,"naive B cell
```",YBX3,31892341
Human,Spleen,Spleen,Plasma cell,IGHM,31892341
Human,Spleen,Spleen,Natural killer cell,FCGR3A,31892341
Human,Spleen,spleen,"plasma cell
```",MKI67,31892341
Human,Spleen,spleen,"cd141-positive myeloid dendritic cell
```",XCR1,31892341
Human,Spleen,spleen,"plasma cell
```",CDK1,31892341
Human,Spleen,spleen,"type i nk t cell
```",PRF1,31892341
Human,Spleen,spleen,"naive b cell
```",CD19,31892341
Human,Spleen,Spleen,Innate lymphoid cell,IL7R,31892341
Human,Spleen,Spleen,Innate lymphoid cell,AREG,31892341
Human,Spleen,spleen,"naive thymus-derived cd8-positive
```",CD8A,31892341
Human,Spleen,Spleen,Plasma cell,JCHAIN,31892341
Human,Spleen,spleen,"cd141-positive myeloid dendritic cell
```",CLEC9A,31892341
Human,Spleen,Spleen,Plasma cell,XBP1,31892341
Human,Spleen,spleen,"naive b cell
```",CD27,31892341
Human,Spleen,spleen,"type i nk t cell
```",GNLY,31892341
Human,Spleen,spleen,"cd1c-positive myeloid dendritic cell
```",CCR7,31892341
Human,Spleen,spleen,"naive b cell
```",MS4A1,31892341
Human,Spleen,spleen,"naive b cell
```",LEFTY1,31892341
Human,Spleen,spleen,"naive b cell
```",CD79A,31892341
Human,Spleen,spleen,"naive thymus-derived cd8-positive
```",CD3E,31892341
Human,Spleen,Spleen,Plasma cell,SDC1,31892341
Human,Eye,eye,"cd8-positive
```",LAG3,31980621
Human,Eye,retina,"eye photoreceptor cell
```",NRL,32023475
Human,Eye,eye,"retinal ganglion cell
```",OTX2,32023475
Human,Eye,retina,"radial glial cell
```",Rgs16,32023475
Human,Eye,retina,"muller cell
```",SLC1A3,32023475
Human,Eye,eye,"retinal ganglion cell
```",FOXG1,32023475
Human,Eye,retina,"muller cell
```",RLBP1,32023475
Human,Eye,eye,"retinal ganglion cell
```",AP2A,32023475
Human,Eye,eye,"retinal ganglion cell
```",SOX1,32023475
Human,Eye,eye,"radial glial cell
```",SOX2,32023475
Human,Eye,retina,"radial glial cell
```",Fabp7,32023475
Human,Eye,retina,"photoreceptor cell
```",OTX2,32023475
Human,Eye,retina,"retinal bipolar neuron
```",VSX1,32023475
Human,Eye,eye,"t cells
```",ATOH7,32023475
Human,Eye,retina,"retinal bipolar neuron
```",RCVRN,32023475
Human,Eye,retina,"retinal bipolar neuron
```",GRM6,32023475
Human,Eye,retina,"retinal bipolar neuron
```",OTX2,32023475
Human,Eye,eye,"retinal ganglion cell
```",NEFL,32023475
Human,Eye,eye,"retinal ganglion cell
```",ONECUT2,32023475
Human,Eye,eye,"radial glial cell
```",VSX2,32023475
Human,Eye,eye,"retinal ganglion cell
```",SNCG,32023475
Human,Eye,retina,"photoreceptor cell
```",RCVRN,32023475
Human,Gastrointestinal tract,stomach,"naïve or central memory t cell
```",CCR7,32060101
Human,Gastrointestinal tract,fat,"mast cell
```",NKG7,32060101
Human,Gastrointestinal tract,small_intestine,"cd8-positive
```",CD8B,32060101
Human,Gastrointestinal tract,large_intestine,"fibroblast
```",THY1,32060101
Human,Gastrointestinal tract,fat,"mast cell
```",GZMA,32060101
Human,Gastrointestinal tract,small_intestine,"cd8-positive
```",CD8A,32060101
Human,Gastrointestinal tract,stomach,"smooth muscle cell
```",ACTA2,32060101
Human,Gastrointestinal tract,small_intestine,"intestinal enteroendocrine cell
```",GAST,32060101
Human,Gastrointestinal tract,stomach,"endothelial cell (free_annotation='endothelial cell')
```",VWF,32060101
Human,Gastrointestinal tract,large_intestine,"fibroblast
```",DCN,32060101
Human,Gastrointestinal tract,stomach,"macrophage
```",CD14,32060101
Human,Gastrointestinal tract,fat,"mast cell
```",KLRD1,32060101
Human,Gastrointestinal tract,fat,"mast cell
```",PRF1,32060101
Human,Gastrointestinal tract,large_intestine,"intestinal enteroendocrine cell
```",MUC2,32060101
Human,Gastrointestinal tract,stomach,"pericyte cell
```",PDGFRB,32060101
Human,Gastrointestinal tract,bladder,"myofibroblast cell
```",ACTA2,32060101
Human,Gastrointestinal tract,liver,"natural killer cell
```",GNLY,32060101
Human,Gastrointestinal tract,liver,"natural killer cell
```",NCR1,32060101
Human,Gastrointestinal tract,fat,"mast cell
```",GZMB,32060101
Human,Gastrointestinal tract,stomach,"gastric epithelial cell
```",PDX1,32060101
Human,Gastrointestinal tract,large_intestine,"fibroblast
```",LUM,32060101
Human,Gastrointestinal tract,stomach,"macrophage
```",CD68,32060101
Human,Gastrointestinal tract,lung,"dendritic cell
```",CLEC4C,32060101
Human,Gastrointestinal tract,small_intestine,"intestinal enteroendocrine cell
```",CHGA,32060101
Human,Gastrointestinal tract,fat,"mast cell
```",GZMH,32060101
Human,Gastrointestinal tract,large_intestine,"fibroblast
```",COL1A1,32060101
Human,Gastrointestinal tract,small_intestine,"cell_ontology_class='mast cell'
```",CPA3,32060101
Human,Gastrointestinal tract,stomach,"naïve or central memory t cell
```",SELL,32060101
Human,Gastrointestinal tract,stomach,"endothelial cell (free_annotation='endothelial cell')
```",SELP,32060101
Human,Gastrointestinal tract,spleen,"regulatory t cell
```",IL2RA,32060101
Human,Gastrointestinal tract,stomach,"macrophage
```",CD163,32060101
Human,Gastrointestinal tract,bladder,"myofibroblast cell
```",THY1,32060101
Human,Gastrointestinal tract,stomach,"gastric parietal cell
```",CBLIF,32060101
Human,Gastrointestinal tract,stomach,"endothelial cell (free_annotation='endothelial cell')
```",PECAM1,32060101
Human,Gastrointestinal tract,fat,"mast cell
```",KLRK1,32060101
Human,Gastrointestinal tract,lung,"dendritic cell
```",CD83,32060101
Human,Gastrointestinal tract,lung,"dendritic cell
```",IRF4,32060101
Human,Gastrointestinal tract,bladder,"myofibroblast cell
```",CAV1,32060101
Human,Gastrointestinal tract,stomach,"t cell
```",CD3D,32060101
Human,Gastrointestinal tract,bladder,"myofibroblast cell
```",DCN,32060101
Human,Gastrointestinal tract,large_intestine,"fibroblast
```",COL14A1,32060101
Human,Gastrointestinal tract,stomach,"cell_ontology_class='t cell', free_annotation='t_cells'
```",CD69,32060101
Human,Gastrointestinal tract,bladder,"myofibroblast cell
```",COL14A1,32060101
Human,Gastrointestinal tract,small_intestine,"cell_ontology_class='mast cell'
```",TPSAB1,32060101
Human,Gastrointestinal tract,stomach,"gastric epithelial cell
```",GAST,32060101
Human,Gastrointestinal tract,small_intestine,"monocyte
```",FCGR3A,32060101
Human,Gastrointestinal tract,stomach,"gastric stem cell
```",LGR5,32060101
Human,Gastrointestinal tract,small_intestine,"b cell
```",CD79,32060101
Human,Gastrointestinal tract,small_intestine,"intestinal enteroendocrine cell
```",EPCAM,32060101
Human,Gastrointestinal tract,stomach,"t cell
```",CD3E,32060101
Human,Gastrointestinal tract,lung,"dendritic cell
```",ID2,32060101
Human,Gastrointestinal tract,stomach,"endothelial cell (free_annotation='endothelial cell')
```",SELE,32060101
Human,Gastrointestinal tract,stomach,"epithelial cell
```",MUC5AC,32060101
Human,Gastrointestinal tract,small_intestine,"intestinal enteroendocrine cell
```",SST,32060101
Human,Gastrointestinal tract,stomach,"t cell
```",CD3G,32060101
Human,Gastrointestinal tract,small_intestine,"monocyte
```",CD14,32060101
