ori_tissue,ori_cell_type,prompt,corrected_tissue,corrected_cell,reason,status
esophagus,effector th2-like cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: esophagus
    - 原始细胞类型: effector th2-like cell

    候选匹配:
候选组织 1: thymus
  候选细胞 1: cell_ontology_class='macrophage', free_annotation='macrophages'
  候选细胞 2: cell_ontology_class='macrophage', free_annotation='macrophage'

候选组织 2: fat
  候选细胞 1: cell_ontology_class='t cell', free_annotation='t cells'
  候选细胞 2: cell_ontology_class='t cell', free_annotation='t-cells'
  候选细胞 3: cell_ontology_class='macrophage', free_annotation='macrophages'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",esophagus,"t cell
```",原始数据中的组织类型为食管（esophagus），而候选匹配中没有直接与食管相关的组织，因此需要保留原始组织标注。关于细胞类型，原始数据标注为“effector th2-like cell”，这是一种效应T细胞亚型，属于T细胞的一种。在候选匹配中，“t cell”（T细胞）的标注最符合这一描述，尽管没有精确匹配“th2-like”的注释，但这是语义上最接近的选项。,found
esophagus,effector th2 cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: esophagus
    - 原始细胞类型: effector th2 cell

    候选匹配:
候选组织 1: thymus
  候选细胞 1: cell_ontology_class='macrophage', free_annotation='macrophages'
  候选细胞 2: cell_ontology_class='macrophage', free_annotation='macrophage'

候选组织 2: fat
  候选细胞 1: cell_ontology_class='t cell', free_annotation='t cells'
  候选细胞 2: cell_ontology_class='t cell', free_annotation='t-cells'
  候选细胞 3: cell_ontology_class='t cell', free_annotation='t_cells'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",fat,"t cell
```","原始数据中组织类型为'esophagus'，但候选匹配中没有与食管相关的组织选项。因此，我们无法直接修正为候选组织。原始细胞类型为'effector th2 cell'，属于T细胞的一种亚型，而候选匹配中的't cell'相关注释（如't cells', 't-cells', 't_cells'）均符合T细胞的描述。尽管组织不完全匹配，基于细胞类型的高相关性，选择包含T细胞注释的候选组织和细胞最为合理。",found
esophagus,regulatory t(treg) cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: esophagus
    - 原始细胞类型: regulatory t(treg) cell

    候选匹配:
候选组织 1: spleen
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'

候选组织 2: skin
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'

候选组织 3: fat
  候选细胞 1: cell_ontology_class='t cell', free_annotation='t cells'
  候选细胞 2: cell_ontology_class='t cell', free_annotation='t cell'

候选组织 4: lymph_node
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lymph_node,"regulatory t cell
```",原始数据中组织类型为'esophagus'，但候选匹配中没有直接与食管相关的选项。根据候选匹配的组织和细胞类型的关联性，'regulatory t cell'（调节性T细胞）通常在免疫相关组织中富集，例如脾脏（spleen）或淋巴结（lymph_node）。在这两个选项中，淋巴结（lymph_node）是调节性T细胞更典型的分布位置。因此，选择'lymph_node'作为修正组织，同时保留原始细胞类型'regulatory t cell'，因为它与候选匹配一致。,found
esophagus,regulatory t(treg) cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: esophagus
    - 原始细胞类型: regulatory t(treg) cell

    候选匹配:
候选组织 1: spleen
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'

候选组织 2: skin
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'

候选组织 3: fat
  候选细胞 1: cell_ontology_class='t cell', free_annotation='t cells'
  候选细胞 2: cell_ontology_class='t cell', free_annotation='t cell'

候选组织 4: lymph_node
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lymph_node,"regulatory t cell
```",原始数据中提到的组织类型是'esophagus'，但候选匹配中没有直接与'esophagus'相关的选项。根据候选匹配，'regulatory t cell'（调节性T细胞）通常在免疫相关组织中富集，例如脾脏（spleen）和淋巴结（lymph_node）。在这两个选项中，淋巴结（lymph_node）是调节性T细胞更典型的分布位置，且其标注信息与原始细胞类型完全一致。因此，选择'lymph_node'作为修正组织，'regulatory t cell'作为修正细胞类型。,found
esophagus,t helper 2(th2) cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: esophagus
    - 原始细胞类型: t helper 2(th2) cell

    候选匹配:
候选组织 1: fat
  候选细胞 1: cell_ontology_class='t cell', free_annotation='t cells'
  候选细胞 2: cell_ontology_class='t cell', free_annotation='t-cells'
  候选细胞 3: cell_ontology_class='t cell', free_annotation='t cell'
  候选细胞 4: cell_ontology_class='t cell', free_annotation='t_cells'

候选组织 2: liver
  候选细胞 1: cell_ontology_class='t cell', free_annotation='t cells'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",esophagus,"T helper 2 cell
```",原始组织为食管(esophagus)，而候选匹配中提供的脂肪(fat)和肝脏(liver)与原始组织不符，因此无法从候选组织中选择。原始细胞类型为T helper 2 (Th2) cell，这是一种特定的T细胞亚型，但候选细胞类型仅提供了通用的“T cell”描述，未具体到Th2亚型。基于此，修正结果应保留原始组织信息，并将细胞类型标注为更标准化的“T helper 2 cell”。,found
esophagus,t helper 2(th2) cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: esophagus
    - 原始细胞类型: t helper 2(th2) cell

    候选匹配:
候选组织 1: fat
  候选细胞 1: cell_ontology_class='t cell', free_annotation='t cells'
  候选细胞 2: cell_ontology_class='t cell', free_annotation='t-cells'
  候选细胞 3: cell_ontology_class='t cell', free_annotation='t cell'
  候选细胞 4: cell_ontology_class='t cell', free_annotation='t_cells'

候选组织 2: liver
  候选细胞 1: cell_ontology_class='t cell', free_annotation='t cells'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",esophagus,"t cell
```",原始数据中提供的组织类型为食管（esophagus），而候选匹配中的组织类型为脂肪（fat）和肝脏（liver），均与原始数据不符。因此，修正组织应保持为原始组织“esophagus”。对于细胞类型，原始数据标注为“t helper 2(th2) cell”，但候选匹配中仅提供了更宽泛的“t cell”类别，并未具体区分Th2亚型。由于缺乏更具体的匹配选项，选择最接近的“t cell”作为修正细胞类型。,found
esophagus,regulatory t(treg) cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: esophagus
    - 原始细胞类型: regulatory t(treg) cell

    候选匹配:
候选组织 1: spleen
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'

候选组织 2: skin
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'

候选组织 3: fat
  候选细胞 1: cell_ontology_class='t cell', free_annotation='t cells'
  候选细胞 2: cell_ontology_class='t cell', free_annotation='t cell'

候选组织 4: lymph_node
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lymph_node,"regulatory t cell
```",原始数据中的组织类型为'esophagus'，但候选匹配中没有直接与'esophagus'相关的组织选项。根据候选匹配，'regulatory t cell'（调节性T细胞）主要分布在免疫相关组织中，例如'spleen'（脾脏）和'lymph_node'（淋巴结）。在这些选项中，'lymph_node'是调节性T细胞更典型且常见的分布位置，因此选择'lymph_node'作为修正组织。对于细胞类型，原始数据中的'regulatory t(treg) cell'与候选匹配中的'cell_ontology_class='regulatory t cell''一致，因此无需进一步调整。,found
esophagus,t helper 2(th2) cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: esophagus
    - 原始细胞类型: t helper 2(th2) cell

    候选匹配:
候选组织 1: fat
  候选细胞 1: cell_ontology_class='t cell', free_annotation='t cells'
  候选细胞 2: cell_ontology_class='t cell', free_annotation='t-cells'
  候选细胞 3: cell_ontology_class='t cell', free_annotation='t cell'
  候选细胞 4: cell_ontology_class='t cell', free_annotation='t_cells'

候选组织 2: liver
  候选细胞 1: cell_ontology_class='t cell', free_annotation='t cells'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",esophagus,"t cell
```",原始数据中的组织类型为'esophagus'，而候选匹配中没有与之直接对应的组织类型。因此，修正组织应保留原始组织'esophagus'以确保准确性。对于细胞类型，原始数据标注为't helper 2(th2) cell'，但候选匹配中仅提供了更宽泛的't cell'类别，并未具体到'th2 cell'。考虑到标准化需求和候选匹配的限制，选择最接近的't cell'作为修正细胞类型。,found
esophagus,regulatory t(treg) cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: esophagus
    - 原始细胞类型: regulatory t(treg) cell

    候选匹配:
候选组织 1: spleen
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'

候选组织 2: skin
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'

候选组织 3: fat
  候选细胞 1: cell_ontology_class='t cell', free_annotation='t cells'
  候选细胞 2: cell_ontology_class='t cell', free_annotation='t cell'

候选组织 4: lymph_node
  候选细胞 1: cell_ontology_class='regulatory t cell', free_annotation='regulatory t cell'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lymph_node,"regulatory t cell
```",原始数据中提供的组织类型为'esophagus'，但候选匹配中没有直接与'esophagus'相关的组织选项。根据候选匹配的组织和细胞类型信息，'regulatory t cell'（调节性T细胞）通常在免疫相关组织中富集，例如'spleen'（脾脏）和'lymph_node'（淋巴结）。在这两个选项中，'lymph_node'是调节性T细胞更典型的功能场所，因此选择'lymph_node'作为修正组织。对于细胞类型，原始数据中的'regulatory t(treg) cell'与候选匹配中的'cell_ontology_class='regulatory t cell''完全一致，因此无需进一步修改。,found
heart,endothelial cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: endothelial cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells'

候选组织 2: lung
  候选细胞 1: cell_ontology_class='endothelial cell of artery', free_annotation='endothelial cell of artery'
  候选细胞 2: cell_ontology_class='endothelial cell of artery', free_annotation='vascular arterial endothelial cell'

候选组织 3: liver
  候选细胞 1: cell_ontology_class='endothelial cell', free_annotation='endothelial'
  候选细胞 2: cell_ontology_class='endothelial cell', free_annotation='endothelial cells'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac endothelial cell
```",原始数据中明确标注组织为 heart，细胞类型为 endothelial cell。在候选匹配中，候选组织 1 的 heart 和原始组织一致，且其候选细胞 1 的 cell_ontology_class='cardiac endothelial cell' 更具体地描述了心脏中的内皮细胞类型，符合原始数据的语义。其他候选组织（如 lung 和 liver）与原始组织 heart 不符，因此排除。,found
heart,hematopoietic cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: hematopoietic cell

    候选匹配:
候选组织 1: blood
  候选细胞 1: cell_ontology_class='hematopoietic stem cell', free_annotation='hematopoietic stem cell'

候选组织 2: heart
  候选细胞 1: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 2: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 3: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells'

候选组织 3: lymph_node
  候选细胞 1: cell_ontology_class='hematopoietic stem cell', free_annotation='hematopoietic stem cell'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",blood,"hematopoietic stem cell
```",原始数据中组织类型为 heart，而原始细胞类型为 hematopoietic cell。根据候选匹配，hematopoietic cell 更常与 blood 或 lymph_node 相关，而不是 heart。在 heart 的候选细胞类型中，没有一种直接对应于 hematopoietic cell。因此，最合理的修正是将组织类型改为 blood，同时将细胞类型明确为 hematopoietic stem cell，这是与原始标注最接近且符合生物学背景的匹配。,found
