pmid,marker_recall,marker_precision,tissue_cell_recall,tissue_cell_precision,standard_marker_count,test_marker_count,standard_tc_count,test_tc_count
34408142,1.0,0.30434782608695654,0.0,0.0,7,23,1,13
34416169,1.0,0.7352941176470589,0.0,0.0,25,34,1,12
34416429,1.0,0.5,0.0,0.0,8,16,4,15
34487375,0.9523809523809523,0.32786885245901637,0.0,0.0,21,61,9,41
34488842,0.6666666666666666,0.6666666666666666,0.0,0.0,3,3,3,3
34489433,1.0,0.3465346534653465,0.0,0.0,35,101,8,44
34552068,1.0,0.05,0.0,0.0,2,40,1,30
34584087,0.20588235294117646,0.15217391304347827,0.0,0.0,34,46,16,34
34783307,0.9166666666666666,0.4,0.0,0.0,24,55,13,28
34783308,1.0,0.18181818181818182,0.0,0.0,10,55,6,32
34912329,0.16666666666666666,0.14285714285714285,0.0,0.0,6,7,1,4
34928015,1.0,1.0,1.0,1.0,3,3,3,3
34938292,0.0,0.0,0.0,0.0,1,0,1,0
35020946,0.0,0.0,0.0,0.0,1,0,1,0
35030321,1.0,0.2727272727272727,0.0,0.0,6,22,1,13
35075189,0.5555555555555556,0.1,0.0,0.0,9,50,3,31
35108658,0.6666666666666666,0.14285714285714285,1.0,0.05263157894736842,3,14,1,19
35141048,1.0,0.3157894736842105,0.0,0.0,6,19,1,9
35191836,1.0,0.17857142857142858,0.0,0.0,10,56,5,33
35242144,0.0,0.0,0.0,0.0,6,6,1,4
35280984,1.0,0.05263157894736842,0.0,0.0,3,57,1,20
35303421,1.0,0.05555555555555555,0.0,0.0,3,54,1,34
35309305,0.7142857142857143,0.4,0.0,0.0,14,25,4,10
35361907,0.36363636363636365,0.3137254901960784,0.15384615384615385,0.047619047619047616,44,51,13,42
35443762,1.0,0.13636363636363635,1.0,0.125,3,22,1,8
Average,0.7498349036204169,0.23806547633195982,0.08418276168276169,0.023948846518008864,1320,4274,548,2319
Total,0.8712029161603888,0.3032994923857868,0.10232558139534884,0.02109300095877277,823,2364,430,2086
Global,0.8712029161603888,0.3032994923857868,0.10232558139534884,0.02109300095877277,823,2364,430,2086
