ori_tissue,ori_cell_type,prompt,corrected_tissue,corrected_cell,reason,status
heart,endothelial cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: endothelial cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.71)
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell' (相似度: 0.15)
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth_muscle_cells' (相似度: 0.12)
  候选细胞 4: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells' (相似度: 0.08)
  候选细胞 5: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.07)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac endothelial cell
```","原始细胞类型为 ""endothelial cell""，与候选细胞 1 的 free_annotation=""endothelial cells"" 高度匹配（相似度 0.71），且其对应的 cell_ontology_class=""cardiac endothelial cell"" 更具体地描述了心脏中的内皮细胞类型。因此，优先选择候选细胞 1 作为修正结果。原始组织 ""heart"" 与候选组织一致，无需修改。",found
heart,hematopoietic cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: hematopoietic cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell' (相似度: 0.38)
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth_muscle_cells' (相似度: 0.29)
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells' (相似度: 0.20)
  候选细胞 4: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.20)
  候选细胞 5: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.18)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"hematopoietic cell
```",原始细胞类型为 hematopoietic cell（造血细胞），而候选匹配中的细胞类型主要集中在平滑肌细胞、心肌细胞和心脏内皮细胞等，与原始细胞类型无直接匹配或包含关系。此外，候选匹配中没有涉及造血细胞或其相关发育关系的细胞类型，因此无法找到合适的匹配。,found
heart,hematopoietic cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: hematopoietic cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell' (相似度: 0.38)
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth_muscle_cells' (相似度: 0.29)
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells' (相似度: 0.20)
  候选细胞 4: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.20)
  候选细胞 5: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.18)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"hematopoietic cell
```","原始数据中的细胞类型为 ""hematopoietic cell""，而候选匹配中没有与此直接相关或具有包含、发育关系的细胞类型。候选匹配中的细胞类型主要集中在 ""smooth muscle cell""、""cardiac endothelial cell"" 和 ""cardiac muscle cell""，这些与造血细胞无直接关联。因此，没有合适的匹配选项。",found
heart,endothelial cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: endothelial cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.71)
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell' (相似度: 0.15)
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth_muscle_cells' (相似度: 0.12)
  候选细胞 4: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells' (相似度: 0.08)
  候选细胞 5: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.07)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac endothelial cell
```","原始细胞类型为 ""endothelial cell""，与候选细胞 1 的 free_annotation=""endothelial cells"" 高度匹配（相似度 0.71），且其对应的 cell_ontology_class=""cardiac endothelial cell"" 更具体地描述了心脏中的内皮细胞类型。因此，优先选择候选细胞 1 的 cell_ontology_class 作为修正结果。组织类型保持不变，因为原始组织和候选组织一致。",found
heart,endocardial cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: endocardial cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell' (相似度: 0.38)
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth_muscle_cells' (相似度: 0.29)
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells' (相似度: 0.20)
  候选细胞 4: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.20)
  候选细胞 5: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.18)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac endothelial cell
```","原始细胞类型为 ""endocardial cell""，与候选匹配中的 ""cardiac endothelial cell"" 在语义上最为接近。内皮细胞（endothelial cell）是心内膜（endocardium）的主要细胞类型之一，且候选细胞 4 的 ""cardiac endothelial cell"" 明确指出了其心脏来源，符合原始数据的上下文。其他候选细胞类型（如平滑肌细胞或心肌细胞）与原始细胞类型的语义差距较大，因此不予考虑。",found
heart,endothelial cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: endothelial cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.71)
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell' (相似度: 0.15)
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth_muscle_cells' (相似度: 0.12)
  候选细胞 4: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells' (相似度: 0.08)
  候选细胞 5: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.07)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac endothelial cell
```","原始细胞类型为 ""endothelial cell""，与候选匹配中的 ""cell_ontology_class='cardiac endothelial cell'"" 最为接近。虽然原始数据没有明确指出是心脏特异性的内皮细胞，但结合组织类型 ""heart"" 和相似度最高的候选细胞类型（相似度 0.71），可以合理推断其为心脏内皮细胞。此外，free_annotation 的 ""endothelial cells"" 也支持这一匹配。",found
heart,hematopoietic cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: hematopoietic cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell' (相似度: 0.38)
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth_muscle_cells' (相似度: 0.29)
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells' (相似度: 0.20)
  候选细胞 4: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.20)
  候选细胞 5: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.18)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"hematopoietic cell
```",原始细胞类型为 hematopoietic cell（造血细胞），而候选匹配中的细胞类型主要集中在平滑肌细胞、心肌细胞和心脏内皮细胞，与原始细胞类型无直接对应关系或包含关系。此外，候选匹配的相似度较低，且没有合适的发育或功能关联能够支持这些候选细胞类型的匹配。因此，没有合适的修正选项，保持原始数据不变。,found
heart,hematopoietic cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: hematopoietic cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell' (相似度: 0.38)
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth_muscle_cells' (相似度: 0.29)
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells' (相似度: 0.20)
  候选细胞 4: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.20)
  候选细胞 5: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.18)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"hematopoietic cell
```","原始细胞类型为 ""hematopoietic cell""，而候选匹配中没有与此直接相关或具有包含、发育关系的细胞类型。候选细胞类型主要集中在平滑肌细胞、心肌细胞和心脏内皮细胞，这些与造血细胞无明显关联。因此，没有合适的匹配选项。",found
heart,endothelial cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: endothelial cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.71)
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell' (相似度: 0.15)
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth_muscle_cells' (相似度: 0.12)
  候选细胞 4: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells' (相似度: 0.08)
  候选细胞 5: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.07)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac endothelial cell
```","原始细胞类型为 ""endothelial cell""，与候选细胞 1 的 free_annotation ""endothelial cells"" 高度匹配（相似度 0.71），且候选细胞 1 的 cell_ontology_class 为 ""cardiac endothelial cell""，更具体地描述了心脏中的内皮细胞类型。因此，优先选择候选细胞 1 的 cell_ontology_class 作为修正结果。组织类型保持不变，因为原始组织 ""heart"" 已与候选组织一致。",found
heart,hematopoietic cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: hematopoietic cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell' (相似度: 0.38)
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth_muscle_cells' (相似度: 0.29)
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells' (相似度: 0.20)
  候选细胞 4: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.20)
  候选细胞 5: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.18)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"hematopoietic cell
```",原始细胞类型为 hematopoietic cell，而候选匹配中的细胞类型主要集中在 smooth muscle cell、cardiac endothelial cell 和 cardiac muscle cell。这些细胞类型与原始细胞类型没有直接的包含关系或发育关系，且相似度评分较低（最高仅为 0.38）。因此，候选匹配中没有合适的细胞类型能够准确反映原始数据的含义，故保持原始数据不变。,found
heart,hematopoietic cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: hematopoietic cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell' (相似度: 0.38)
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth_muscle_cells' (相似度: 0.29)
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells' (相似度: 0.20)
  候选细胞 4: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.20)
  候选细胞 5: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.18)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"hematopoietic cell
```",原始细胞类型为 hematopoietic cell（造血细胞），而候选匹配中的细胞类型主要集中在平滑肌细胞、心肌细胞和内皮细胞等，与原始细胞类型无直接匹配或发育关系。此外，候选匹配中没有 free_annotation 与原始细胞类型相关联，因此无法通过 free_annotation 进行修正。最终判断为没有合适的匹配。,found
heart,endocardial cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: endocardial cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell' (相似度: 0.38)
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth_muscle_cells' (相似度: 0.29)
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells' (相似度: 0.20)
  候选细胞 4: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.20)
  候选细胞 5: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.18)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac endothelial cell
```","原始细胞类型为 ""endocardial cell""，与候选匹配中的 ""cardiac endothelial cell"" 最为接近。虽然相似度仅为 0.20，但根据生物医学知识，心内膜细胞（endocardial cell）属于心脏内皮细胞（cardiac endothelial cell）的一种，二者具有包含关系，因此认为其匹配。其他候选细胞类型（如平滑肌细胞和心肌细胞）与原始细胞类型无直接对应关系，因此不予考虑。",found
heart,endocardial cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: endocardial cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cell' (相似度: 0.38)
  候选细胞 2: cell_ontology_class='smooth muscle cell', free_annotation='smooth_muscle_cells' (相似度: 0.29)
  候选细胞 3: cell_ontology_class='smooth muscle cell', free_annotation='smooth muscle cells' (相似度: 0.20)
  候选细胞 4: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.20)
  候选细胞 5: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.18)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac endothelial cell
```","原始细胞类型为 ""endocardial cell""，与候选匹配中的 ""cardiac endothelial cell"" 在语义上最为接近。虽然原始数据未明确提到 ""endothelial""，但心内膜细胞（endocardial cell）属于心脏内皮细胞的一种，二者具有包含关系。因此，选择 ""cardiac endothelial cell"" 作为最合适的细胞类型修正结果。组织类型保持不变，因为原始组织 ""heart"" 已经与候选匹配一致。",found
