species,tissue_type,cell_name,marker,pmid
Human,Retina,Horizontal cells,ONECUT1,31436334
Human,Retina,Horizontal cells,ONECUT2,31436334
Human,Retina,OFF-bipolar cells,GRIK1,31436334
Human,Retina,ON-bipolar cells (Rod bipolar cells),PRKCA,31436334
Human,Retina,ON-bipolar cells (Diffuse bipolar subtype DB4),TTR,31436334
Human,Retina,Rod photoreceptors,RHO,31436334
Human,Retina,Rod photoreceptors,GNGT1,31436334
Human,Retina,Rod photoreceptors,SAG,31436334
Human,Retina,Rod photoreceptors,NRL,31436334
Human,Retina,Rod photoreceptors,ROM1,31436334
Human,Retina,Rod photoreceptors,GNAT1,31436334
Human,Retina,Rod photoreceptors,CNGA1,31436334
Human,Retina,Rod photoreceptor,MALAT1,31436334
Human,Retina,Rod photoreceptor,MALAT1,31436334
Human,Retina,Cone photoreceptor,ARR3,31436334
Human,Retina,Cone photoreceptor,CNBG3,31436334
Human,Retina,Cone photoreceptor,GNAT2,31436334
Human,Retina,Cone photoreceptor,GNGT2,31436334
Human,Retina,Cone photoreceptor,GRK7,31436334
Human,Retina,Cone photoreceptor,GUCA1C,31436334
Human,Retina,Cone photoreceptor,PDE6C,31436334
Human,Retina,Cone photoreceptor,PDE6H,31436334
Human,Retina,Cone photoreceptor,OPN1LW,31436334
Human,Retina,Cone photoreceptor,RXRG,31436334
Human,Retina,Cone photoreceptor,THRB,31436334
Human,Retina,S-cone photoreceptor,OPN1SW,31436334
Human,Retina,M-cone photoreceptor,OPN1MW,31436334
Human,Retina,L-cone photoreceptor,OPN1LW,31436334
Human,Retina,S-cone photoreceptor,CCDC136,31436334
Human,Retina,L/M-cone photoreceptor,THRB,31436334
Human,Retina,Müller glia,RLBP1,31436334
Human,Retina,Müller glia,RGR,31436334
Human,Retina,Retinal astrocytes,GFAP,31436334
Human,Retina,Retinal astrocytes,S100B,31436334
Human,Retina,Müller glia and retinal astrocytes,VIM,31436334
Human,Retina,Müller glia and retinal astrocytes,GLUL,31436334
Human,Retina,Müller glia and retinal astrocytes,S100A1,31436334
Human,Retina,Cone photoreceptor (L/M-cones),OPN1LW/OPN1MW,31436334
Human,Retina,Cone photoreceptor (S-cones),OPN1SW,31436334
Human,Retina,Rod photoreceptor (MALAT1-hi),MALAT1,31436334
Human,Retina,Rod photoreceptor (MALAT1-lo),MALAT1,31436334
Human,Retinal organoid,Retinal progenitor cell (RPC),VSX2,31543471
Human,Retinal organoid,Retinal progenitor cell (RPC),PAX6,31543471
Human,Retinal organoid,Retinal ganglion cell (RGC),ELAVL3,31543471
Human,Retinal organoid,Photoreceptor precursor,PRDM1,31543471
Human,Retinal organoid,Retinal ganglion cell (RGC),ATOH7,31543471
Human,Retinal organoid,Retinal ganglion cell (RGC),POU4F2,31543471
Human,Retinal organoid,Interneuron,ONECUT1,31543471
Human,Retinal organoid,Interneuron,PROX1,31543471
Human,Retinal organoid,Photoreceptor,NEUROD1,31543471
Human,Retinal organoid,Photoreceptor,PRDM1,31543471
Human,Retinal organoids,Retinal progenitor cells (RPCs),ASCL1,31543471
Human,Retinal organoids,Retinal progenitor cells (RPCs),NEUROG2,31543471
Human,Retinal organoids,Retinal progenitor cells (RPCs),INSM1,31543471
Human,Retinal organoids,Retinal progenitor cells (RPCs),BHLHE22,31543471
Human,Retinal organoids,Retinal progenitor cells (RPCs),ISLR2,31543471
Human,Retinal organoids,Retinal progenitor cells (RPCs),CCND1,31543471
Human,Retina,Neuronal cell,ISL1,31543471
Human,Retina,Photoreceptor precursor,PRDM1,31543471
Human,Retina,Retinal progenitor cell (RPC),ASCL1,31543471
Human,Retina,Neuronal cell,ISL1,31543471
Human,Retina,Photoreceptor precursor,PRDM1,31543471
Human,Retina,Retinal progenitor cell (RPC),ASCL1,31543471
Human,Retinal organoids,Neurogenic retinal progenitor cells (RPCs),ASCL1,31543471
Human,Retinal organoids,Neurogenic retinal progenitor cells (RPCs),RTN4,31543471
Human,Retinal organoids,Neurogenic retinal progenitor cells (RPCs),GPM6A,31543471
Human,Retinal organoids,Neurogenic retinal progenitor cells (RPCs),EFNB2,31543471
Human,Retinal organoids,Neurogenic retinal progenitor cells (RPCs),GPM6B,31543471
Human,Retinal organoids,Neurogenic retinal progenitor cells (RPCs),FZD3,31543471
Human,Retinal organoids,Neurogenic retinal progenitor cells (RPCs),RUFY3,31543471
Human,Retinal organoids,Neurogenic retinal progenitor cells (RPCs),ISLR2,31543471
Human,Retinal organoids,Neurogenic retinal progenitor cells (RPCs),DCX,31543471
Human,Retinal organoids,Neurogenic retinal progenitor cells (RPCs),ISL1,31543471
Human,Retinal organoids,Neurogenic retinal progenitor cells (RPCs),NEUROD1,31543471
Human,Retinal organoids,Neurogenic retinal progenitor cells (RPCs),PRDM1,31543471
Human,Retinal organoids,Neurogenic retinal progenitor cells (RPCs),DCLK1,31543471
Human,Retinal organoids,Neurogenic retinal progenitor cells (RPCs),SEMA5A,31543471
Human,Retinal organoids,Neurogenic retinal progenitor cells (RPCs),NRCAM,31543471
Human,Retinal organoids,Neurogenic retinal progenitor cells (RPCs),NEUROG2,31543471
Human,Retinal organoids,Multipotent retinal progenitor cells (RPCs),JAG1,31543471
Human,Retinal organoids,Multipotent retinal progenitor cells (RPCs),GJA1,31543471
Human,Retinal organoids,Quiescent neural stem cells (NSCs),GJA1,31543471
Human,Retinal organoids,Quiescent neural stem cells (NSCs),ATP1A2,31543471
Human,Retinal organoids,Quiescent neural stem cells (NSCs),PCDH9,31543471
Human,Retinal organoids,Quiescent neural stem cells (NSCs),PFN1,31543471
Human,Retinal organoids,Quiescent neural stem cells (NSCs),TMSB10,31543471
Human,Retinal organoids,Retinal progenitor cells (RPCs),LIN28A,31543471
Human,Retinal organoids,Retinal progenitor cells (RPCs),LIN28B,31543471
Human,Retinal organoids,Retinal progenitor cells (RPCs),JAG1,31543471
Human,Retinal organoids,Retinal progenitor cells (RPCs),BMP7,31543471
Human,Retinal organoids,Retinal progenitor cells (RPCs),TGFb2,31543471
Human,Retinal organoids,Retinal progenitor cells (RPCs),IGFBP5,31543471
Human,Retina,Multipotent RPCs,JAG1,31543471
Human,Retina,Multipotent RPCs,GJA1,31543471
Human,Retina,Neurogenic RPCs,DCX,31543471
Human,Retina,Neurogenic RPCs,ASCL1,31543471
Human,Retina,Müller glia,CLRN1,31625146
Human,Retina,Müller glia,CLRN1,31625146
Human,Retina,Müller glia,CLRN1,31625146
Human,Retina,Müller cell,Clrn1,31625146
Human,Retina,Müller cell,Clrn1,31625146
Human,Retina,Cone photoreceptors,GNAT2,31653841
Human,Retina,Cone photoreceptors,OPN1SW,31653841
Human,Retina,Cone photoreceptors,OPN1MW,31653841
Human,Retina,Cone photoreceptors,OPN1LW,31653841
Human,Retina,Photoreceptor cells,PDE6A,31653841
Human,Retina,Photoreceptor cells,PPEF2,31653841
Human,Retina,Photoreceptor cells,NR2E3,31653841
Human,Retina,Retinal ganglion cells,NEFM,31653841
Human,Retina,Retinal ganglion cells,SLC17A6,31653841
Human,Retina,Bipolar cells,CAMK2B,31653841
Human,Retina,Bipolar cells,GRM6,31653841
Human,Retina,Bipolar cells,TMEM215,31653841
Human,Retina,Bipolar cells,TRPM1,31653841
Human,Retina,Amacrine cells,GAD1,31653841
Human,Retina,Amacrine cells,C1QL2,31653841
Human,Retina,Horizontal cells,ONECUT1,31653841
Human,Retina,Horizontal cells,ONECUT2,31653841
Human,Retina,Horizontal cells,LHX1,31653841
Human,Retina,Müller glia and astrocytes,GLUL,31653841
Human,Retina,Müller glia and astrocytes,CLU,31653841
Human,Retina,Müller glia and astrocytes,APOE,31653841
Human,Retina,Resident microglia,C1QA,31653841
Human,Retina,Resident microglia,TMEM119,31653841
Human,Retina,Resident microglia,AIF1,31653841
Human,Retina,Resident microglia,CD163,31653841
Human,Retina,Cells lining the retinal vasculature,CD34,31653841
Human,Retina,Cells lining the retinal vasculature,CDH5,31653841
Human,Retina,Cells lining the retinal vasculature,RGS5,31653841
Human,Retina,Cells lining the retinal vasculature,ADAMTS9,31653841
Human,Retina,Astrocytes (subtype 1),FOS,31653841
Human,Retina,Astrocytes (subtype 1),FTL,31653841
Human,Retina,Astrocytes (subtype 1),COL4A3,31653841
Human,Retina,Astrocyte,GFAP,31653841
Human,Retina,Astrocyte,SPARCL1,31653841
Human,Retina,Astrocyte,FOS,31653841
Human,Retina,Astrocyte,FOSB,31653841
Human,Retina,Astrocyte,JUN,31653841
Human,Retina,Astrocyte,EGR1,31653841
Human,Retina,Astrocyte,CD44,31653841
Human,Retina,Müller glia (subtype 2),COL4A3,31653841
Human,Retina,Müller glia (subtype 2),VEGFA,31653841
Human,Retina,Müller glia (subtype 2),HTRA1,31653841
Human,Retina,Müller glia (subtype 2),SLC2A1,31653841
Human,Retina,Müller glia (subtype 2),SLC1A3,31653841
Human,Retina,Müller glia (subtype 2),SHMT2,31653841
Human,Retina,Müller glia (subtype 2),HIF1A,31653841
Human,Retina,Müller glia (subtype 3),FTH1,31653841
Human,Retina,Müller glia (subtype 3),FTL,31653841
Human,Retina,Müller glia (subtype 3),DBI,31653841
Human,Retina,Müller Glia,GS,31653841
Human,Retina,Müller Glia,FOS,31653841
Human,Retina,Müller Glia,COL4A3,31653841
Human,Retina,Müller Glia,FTL,31653841
Human,Retina,Astrocytes,GS,31653841
Human,Retina,Astrocytes,FOS,31653841
Human,Retina,Astrocytes,COL4A3,31653841
Human,Retina,Astrocytes,FTL,31653841
Human,Retina,Müller Glia,APOE,31653841
Human,Retina,Vascular cells,TM4SF1,31653841
Human,Retina,Müller Glia,TIMP3,31653841
Human,Retina,Vascular cells,TIMP3,31653841
Human,Retina,Macroglia,FTL,31653841
Human,Retina,Macroglia,FOS,31653841
Human,Retina,Macroglia,COL4A3,31653841
Human,Retina,Macroglia,Glutamine synthetase,31653841
Human,Retina,Macroglia,FTL,31653841
Human,Retina,Macroglia,FOS,31653841
Human,Retina,Macroglia,COL4A3,31653841
Human,Retina,Macroglia,Glutamine synthetase,31653841
Human,Retina,Müller glia,APOE,31653841
Human,Retina,Müller glia,GS,31653841
Human,Retina,Vascular endothelium,TM4SF1,31653841
Human,Retina,Müller glia,CFI,31653841
Human,Retina,Müller glia,TIMP3,31653841
Human,Retina,Vascular endothelium,TIMP3,31653841
Human,Retina,Müller glia,APOE,31653841
Human,Retina,Müller glia,GS,31653841
Human,Retina,Müller glia,CFI,31653841
Human,Retina,Müller glia,TIMP3,31653841
Human,Retina,Vascular endothelium,TM4SF1,31653841
Human,Retina,Vascular endothelium,TIMP3,31653841
Human,RPE-choroid,Choriocapillaris endothelial cell,RGCC,31712411
Human,Choroid,Endothelial cell,HLA class I self-peptides,31712411
Human,Choroid,Endothelial cell,ICAM-1,31712411
Human,Choroid,Endothelial cell,CA4,31712411
Human,RPE/choroid,Schwann cell,PLP1,31712411
Human,RPE/choroid,Endothelial cell,VWF,31712411
Human,RPE/choroid,Endothelial cell,CD34,31712411
Human,RPE/choroid,Endothelial cell,ICAM2,31712411
Human,RPE/choroid,Smooth muscle cell,ACTA2,31712411
Human,RPE/choroid,Smooth muscle cell,RGS5,31712411
Human,RPE/choroid,Fibroblast,IGF2,31712411
Human,RPE/choroid,RPE cell,RPE65,31712411
Human,RPE/choroid,RPE cell,BEST1,31712411
Human,RPE/choroid,Leukocyte,PTPRC,31712411
Human,RPE/choroid,B cell,CD79A,31712411
Human,RPE/choroid,T cell/NK cell,CD2,31712411
Human,RPE/choroid,Monocyte/Macrophage,AIF1,31712411
Human,RPE/choroid,Mast cell,KIT,31712411
Human,Retina,Schwann cell (myelinating),MPZ,31712411
Human,Retina,Schwann cell (myelinating),MBP,31712411
Human,Retina,Schwann cell (nonmyelinating),SCN7A,31712411
Human,Retina,Schwann cell (nonmyelinating),NGFR,31712411
Human,Retina,Schwann cell (nonmyelinating),NCAM1,31712411
Human,Retina,Schwann cell (nonmyelinating),L1CAM,31712411
Human,Retina,RPE (macular),CXCL14,31712411
Human,Retina,RPE (macular),WFDC1,31712411
Human,Retina,RPE (peripheral),TFPI2,31712411
Human,Retina,RPE (peripheral),IGFBP5,31712411
Human,Retina,Endothelial cell (venous),ACKR1,31712411
Human,Retina,Endothelial cell (venous),MMRN1,31712411
Human,Retina,Choriocapillaris endothelial cell,CA4,31712411
Human,Retina,Choriocapillaris endothelial cell,PLVAP,31712411
Human,Retina,Arterial endothelial cell,FBLN2,31712411
Human,Retina,Arterial endothelial cell,SEMA3G,31712411
Human,Retina,Arterial endothelial cell,GJA4,31712411
Human,Retina,Arterial endothelial cell,GJA5,31712411
Human,Retina,Arterial endothelial cell,HEY1,31712411
Human,Retina,Venous endothelial cell,SELE,31712411
Human,Retina,Venous endothelial cell,VCAM1,31712411
Human,Retina,Venous endothelial cell,CCL23,31712411
Human,Retina,Choriocapillaris endothelial cell,SIPR3,31712411
Human,Retina,Choriocapillaris endothelial cell,SPARC,31712411
Human,Retina,Choriocapillaris endothelial cell,PCDH12,31712411
Human,Retina/Choroid,Endothelial cell,VWF,31712411
Human,Vein endothelial cell,Endothelial cell,ACKR1,31712411
Human,Vein endothelial cell,Endothelial cell,MMRN1,31712411
Human,Choriocapillaris endothelial cell,Endothelial cell,CA4,31712411
Human,Choriocapillaris endothelial cell,Endothelial cell,PLVAP,31712411
Human,Arterial endothelial cell,Endothelial cell,HEY1,31712411
Human,Arterial endothelial cell,Endothelial cell,SEMA3G,31712411
Human,Choriocapillaris endothelial cell,Endothelial cell,RGCC,31712411
Human,Choroid,Endothelial cell,ICAM1,31712411
Human,Choroid,Endothelial cell,PLVAP,31712411
Human,Choroid,Endothelial cell,MHC class I antigens,31712411
Human,Choroid,Endothelial cell,CA4,31712411
Human,Choroid,Choriocapillaris endothelial cell,S1PR3,31712411
Human,Choroid,Endothelial cell,CD34,31712411
Human,Choroid,Endothelial cell,PECAM1,31712411
Human,Retina,Rod cells,PDE6A,31848347
Human,Retina,Bipolar cells,NETO1,31848347
Human,Retina,Müller glial cells,SLC1A3,31848347
Human,Retina,Amacrine cells,GAD1,31848347
Human,Retina,Horizontal cells,SEPTIN4,31848347
Human,Retina,Cone cells,ARR3,31848347
Human,Retina,Retinal ganglion cells,RBPMS,31848347
Human,Retina,Cone cell,AHI1,31848347
Human,Retina,Cone cell,ATXN7,31848347
Human,Retina,Cone cell,KCNV2,31848347
Human,Retina,Cone cell,PROM1,31848347
Human,Retina,Cone cell,RD3,31848347
Human,Retina,Cone cell,RPGRIP1,31848347
Human,Retina,Cone cell,RHO,31848347
Human,Retina,Rod cell,RHO,31848347
Human,Retina,Cone cell,RPGRIP1,31848347
Human,Retina,Rod cell,RPGRIP1,31848347
Human,Retina,Cone cell,RD3,31848347
Human,Retina,Rod cell,RD3,31848347
Human,Uveal melanoma,CD8+ T cells,LAG3,31980621
Human,Uveal melanoma,CD8+ T cells,LAG3,31980621
Human,Uveal melanoma,CD8+ T cells,TIGIT,31980621
Human,Uveal melanoma,CD8+ T cells,PDCD1,31980621
Human,Uveal melanoma,CD8+ T cells,CTLA4,31980621
Human,Uveal melanoma,CD8+ T cells,HAVCR2,31980621
Human,Uveal melanoma,CD8+ T cells,TNFRSF9,31980621
Human,Uveal melanoma,T regulatory cells,FOXP3,31980621
Human,Uveal melanoma,T regulatory cells,TNFRSF4,31980621
Human,Uveal melanoma,T regulatory cells,IKZF2,31980621
Human,Uveal melanoma,T regulatory cells,IL2RA,31980621
Human,Uveal melanoma,Follicular T cells,CD200,31980621
Human,Uveal melanoma,Follicular T cells,GNG4,31980621
Human,Uveal melanoma,Follicular T cells,CHN1,31980621
Human,Uveal melanoma,Follicular T cells,IGFL2,31980621
Human,Uveal melanoma,Follicular T cells,ITM2A,31980621
Human,Uveal melanoma,Follicular T cells,CPM,31980621
Human,Uveal melanoma,Follicular T cells,NR3C1,31980621
Human,Uveal melanoma,Naive T cells,IL7R,31980621
Human,Uveal melanoma,CD8+ T effector memory cells,CD8A,31980621
Human,Uveal melanoma,CD8+ T effector memory cells,ZNF683,31980621
Human,Uveal melanoma,CD8+ resident memory cells,KLRK1,31980621
Human,Uveal melanoma,CD8+ resident memory cells,ITGAE [CD103],31980621
Human,Uveal melanoma,Cytotoxic CD8+ T cells,PRF1,31980621
Human,Uveal melanoma,Cytotoxic CD8+ T cells,GZMA,31980621
Human,Uveal melanoma,Cytotoxic CD8+ T cells,GZMK,31980621
Human,Uveal melanoma,Cytotoxic CD8+ T cells,NKG7,31980621
Human,Retina,Retinal progenitors,SOX2,32023475
Human,Retina,Retinal progenitors,PAX6,32023475
Human,Retina,Retinal ganglion cells,HUC/D,32023475
Human,Retina,Amacrine cells,TFAP2A,32023475
Human,Retina,Horizontal cells,ONECUT2,32023475
Human,Retina,Photoreceptors,OTX2,32023475
Human,Retina,Progenitor cells (G2/M-phase),MKI67,32023475
Human,Retina,T1 population (intermediate developmental state),ATOH7,32023475
Human,Retina,Progenitor cells,VSX2,32023475
Human,Retina,Ganglion cells,SNGC,32023475
Human,Retina,T1 transition cells,ATOH7,32023475
Human,Retina,T3 cells,FABP7,32023475
Human,Retina,T2 cells,PRDM13,32023475
Human,Retina,T3 cells,DLL3,32023475
Human,Retina,Progenitor cells,SOX2,32023475
Human,Retina,Differentiating neurons,AP2A,32023475
Human,Retina,Differentiating neurons,OTX2,32023475
Human,Retina,Photoreceptors (PRs),OTX2,32023475
Human,Retina,Photoreceptors (PRs),RCVRN,32023475
Human,Retina,Bipolar cells (BCs),OTX2,32023475
Human,Retina,Bipolar cells (BCs),VSX2,32023475
Human,Retina,Bipolar cells (BCs),RCVRN,32023475
Human,Retina,Amacrine cells (ACs),AP2A,32023475
Human,Retina,Amacrine cells (ACs),CALB1,32023475
Human,Retina,T1-like cluster cells,SOX11,32023475
Human,Retina,T1-like cluster cells,GAL,32023475
Human,Retina,T1-like cluster cells,ELAVL3,32023475
Human,Retina,RGCs,BRN3,32023475
Human,Retina,PRs,RCVRN,32023475
Human,Retina,Progenitors,PAX6,32023475
Human,Retina,T1 population cells,ATOH7,32023475
Human,Retina,T1 population cells,HES6,32023475
Human,Retina,T1 cell,DLL3,32023475
Human,Retina,Progenitor cell,SOX2,32023475
Human,Retina,Progenitor cell,LHX2,32023475
Human,Retina,RGC (Retinal Ganglion Cell),POU4F1,32023475
Human,Retina,RGC (Retinal Ganglion Cell),NEFL,32023475
Human,Retina,Photoreceptor (PR) cell,NRL,32023475
Human,Retina,Amacrine cell (AC),HUC/D,32023475
Human,Retina,T1 cell,ATOH7,32023475
Human,Retina,T3 cell,FABP7,32023475
Human,Retina,Müller glia,RLBP1,32023475
Human,Retina,Müller glia,AQP4,32023475
Human,Retina,Müller glia,SLC1A3,32023475
Human,Retina,Bipolar cells (BCs),VSX1,32023475
Human,Retina,Bipolar cells (BCs),CABP5,32023475
Human,Retina,Bipolar cells (BCs),GRM6,32023475
Human,Retina,Progenitor cells,ASCL1,32023475
Human,Retina,T1 cells,ATOH7,32023475
Human,Retina,Progenitor cells,MKI67,32023475
Human,Retina,Progenitor cells,ATOH7,32023475
Human,Retina,Progenitor cells,OTX2,32023475
Human,Retina,Progenitor cells,NEUROD1,32023475
Human,Retina,Progenitor cells,Gal,32023475
Human,Retina,Progenitor cells,Sox11,32023475
Human,Retina,Progenitor cells,Elavl3,32023475
Human,Retina,Later-stage progenitor cells,Rgs16,32023475
Human,Retina,Later-stage progenitor cells,Fabp7,32023475
Human,Retina,Late progenitor cells transitioning to immature Müller glia,NFI family genes,32023475
Human,Gastric tissue,Epithelial cells,PGC,32060101
Human,Gastric tissue,Epithelial cells,TFF1,32060101
Human,Gastric tissue,Epithelial cells,MUC5AC,32060101
Human,Gastric tissue,Epithelial cells,EPCAM,32060101
Human,Gastric tissue,Epithelial cells,CBLIF,32060101
Human,Gastric tissue,Epithelial cells,CHGA,32060101
Human,Gastric tissue,Fibroblasts,THY1,32060101
Human,Gastric tissue,Fibroblasts,DCN,32060101
Human,Gastric tissue,Fibroblasts,COL4A1,32060101
Human,Gastric tissue,Fibroblasts,FAP,32060101
Human,Gastric tissue,Endothelial cells,PECAM,32060101
Human,Gastric tissue,Endothelial cells,ENG,32060101
Human,Gastric tissue,Endothelial cells,VWF,32060101
Human,Gastric tissue,Endothelial cells,SELE,32060101
Human,Gastric tissue,Immune cells,PTPRC,32060101
Human,Gastric tissue,CD4 T cells,CD3D,32060101
Human,Gastric tissue,CD4 T cells,CD4,32060101
Human,Gastric tissue,CD4 T cells,IL7R,32060101
Human,Gastric tissue,Cytotoxic T cells,CD3D,32060101
Human,Gastric tissue,Cytotoxic T cells,CD8A,32060101
Human,Gastric tissue,Cytotoxic T cells,CD8B,32060101
Human,Gastric tissue,Regulatory T cells,FOXP3,32060101
Human,Gastric tissue,Regulatory T cells,IL2RA,32060101
Human,Gastric tissue,NK cells,NKG7,32060101
