ori_tissue,ori_cell_type,prompt,corrected_tissue,corrected_cell,reason,status
lung,lyve1himhciilo hims,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: lung
    - 原始细胞类型: lyve1himhciilo hims

    候选匹配:
候选组织 1: lung
  候选细胞 1: cell_ontology_class='type i pneumocyte', free_annotation='type i pneumocyte'
  候选细胞 2: cell_ontology_class='endothelial cell of lymphatic vessel', free_annotation='lymphatic cells'
  候选细胞 3: cell_ontology_class='respiratory mucous cell', free_annotation='respiratory mucous cell'
  候选细胞 4: cell_ontology_class='endothelial cell of lymphatic vessel', free_annotation='lymphatic endothelium'
  候选细胞 5: cell_ontology_class='lung ciliated cell', free_annotation='lung ciliated cell'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lung,"endothelial cell of lymphatic vessel
```","原始细胞类型 ""lyve1himhciilo hims"" 看起来是一个非标准的标注，可能包含拼写错误或格式问题。根据候选匹配，""lymphatic cells"" 和 ""lymphatic endothelium"" 都与淋巴系统相关，而 LYVE1 是一个已知的淋巴内皮细胞标志物。因此，原始细胞类型的描述很可能指的是淋巴管内皮细胞。候选细胞 2 和候选细胞 4 都符合这一特征，但候选细胞 4 的标注更具体（endothelial cell of lymphatic vessel）。组织类型 ""lung"" 在所有候选中一致，无需修正。",found
lung,lyve1himhciilo hims,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: lung
    - 原始细胞类型: lyve1himhciilo hims

    候选匹配:
候选组织 1: lung
  候选细胞 1: cell_ontology_class='type i pneumocyte', free_annotation='type i pneumocyte'
  候选细胞 2: cell_ontology_class='endothelial cell of lymphatic vessel', free_annotation='lymphatic cells'
  候选细胞 3: cell_ontology_class='respiratory mucous cell', free_annotation='respiratory mucous cell'
  候选细胞 4: cell_ontology_class='endothelial cell of lymphatic vessel', free_annotation='lymphatic endothelium'
  候选细胞 5: cell_ontology_class='lung ciliated cell', free_annotation='lung ciliated cell'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lung,"endothelial cell of lymphatic vessel
```","原始细胞类型 ""lyve1himhciilo hims"" 看起来是一个不规范的标注，可能包含拼写错误或格式问题。根据候选匹配，""lymphatic cells"" 和 ""lymphatic endothelium"" 都与淋巴系统相关，而 LYVE1 是淋巴内皮细胞的标志性基因。结合原始组织为 lung，最合适的匹配是 ""endothelial cell of lymphatic vessel""，其自由注释为 ""lymphatic cells"" 或 ""lymphatic endothelium""。因此，修正后的细胞类型应为 ""endothelial cell of lymphatic vessel""。",found
lung,cd45+cd11b+cd14+cd16−human lung macrophages (cd64+),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: lung
    - 原始细胞类型: cd45+cd11b+cd14+cd16−human lung macrophages (cd64+)

    候选匹配:
候选组织 1: lung
  候选细胞 1: cell_ontology_class='macrophage', free_annotation='macrophages'
  候选细胞 2: cell_ontology_class='macrophage', free_annotation='macrophage'
  候选细胞 3: cell_ontology_class='cd4-positive', free_annotation=''
  候选细胞 4: cell_ontology_class='macrophage', free_annotation='monocyte/macrophage'
  候选细胞 5: cell_ontology_class='cd8-positive', free_annotation=''


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lung,"cell_ontology_class='macrophage', free_annotation='macrophages'
```",原始数据明确指出细胞来源于肺组织，且为CD45+CD11b+CD14+CD16−的人肺巨噬细胞（CD64+）。候选匹配中，候选组织1与原始组织一致，因此无需修改组织类型。在候选细胞中，候选细胞1和候选细胞2的cell_ontology_class均为“macrophage”，与原始数据中的“human lung macrophages”最为匹配。此外，候选细胞1的free_annotation为“macrophages”，更符合原始数据的具体描述，因此选择候选细胞1作为修正结果。,found
lung,cd45+cd11b+cd14+cd16−human lung macrophages (cd64+),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: lung
    - 原始细胞类型: cd45+cd11b+cd14+cd16−human lung macrophages (cd64+)

    候选匹配:
候选组织 1: lung
  候选细胞 1: cell_ontology_class='macrophage', free_annotation='macrophages'
  候选细胞 2: cell_ontology_class='macrophage', free_annotation='macrophage'
  候选细胞 3: cell_ontology_class='cd4-positive', free_annotation=''
  候选细胞 4: cell_ontology_class='macrophage', free_annotation='monocyte/macrophage'
  候选细胞 5: cell_ontology_class='cd8-positive', free_annotation=''


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lung,"macrophage
```","原始数据明确标注为“human lung macrophages”，并且通过表面标志物（cd45+cd11b+cd14+cd16−, cd64+）进一步确认这些细胞是巨噬细胞。候选匹配中，候选细胞 1 和候选细胞 2 的 cell_ontology_class='macrophage' 与原始数据一致，且 free_annotation='macrophages' 或 'macrophage' 是最精确的描述。候选组织 1 “lung” 也与原始组织一致，因此无需修改组织类型。",found
lung,cd45+cd11b+cd14+cd16−human lung macrophages (cd64+),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: lung
    - 原始细胞类型: cd45+cd11b+cd14+cd16−human lung macrophages (cd64+)

    候选匹配:
候选组织 1: lung
  候选细胞 1: cell_ontology_class='macrophage', free_annotation='macrophages'
  候选细胞 2: cell_ontology_class='macrophage', free_annotation='macrophage'
  候选细胞 3: cell_ontology_class='cd4-positive', free_annotation=''
  候选细胞 4: cell_ontology_class='macrophage', free_annotation='monocyte/macrophage'
  候选细胞 5: cell_ontology_class='cd8-positive', free_annotation=''


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lung,"macrophage
```",原始数据明确标注了细胞类型为“cd45+cd11b+cd14+cd16−human lung macrophages (cd64+)”，这些标记物组合表明该细胞是肺组织中的巨噬细胞。候选匹配中，候选细胞 1 和候选细胞 2 的 cell_ontology_class 均为 'macrophage'，且 free_annotation 分别为 'macrophages' 和 'macrophage'，与原始数据最为一致。候选细胞 4 虽然也标注为 'macrophage'，但其 free_annotation 包含 'monocyte/macrophage'，可能引入单核细胞的歧义，因此不选。最终选择候选细胞 2，因其表述更简洁准确。,found
lung,cd45+cd11b+cd14+cd16−human lung macrophages (cd64+),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: lung
    - 原始细胞类型: cd45+cd11b+cd14+cd16−human lung macrophages (cd64+)

    候选匹配:
候选组织 1: lung
  候选细胞 1: cell_ontology_class='macrophage', free_annotation='macrophages'
  候选细胞 2: cell_ontology_class='macrophage', free_annotation='macrophage'
  候选细胞 3: cell_ontology_class='cd4-positive', free_annotation=''
  候选细胞 4: cell_ontology_class='macrophage', free_annotation='monocyte/macrophage'
  候选细胞 5: cell_ontology_class='cd8-positive', free_annotation=''


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lung,"cell_ontology_class='macrophage', free_annotation='macrophages'
```",原始数据明确标注为“human lung macrophages”，并且提供了具体的标记物组合（cd45+cd11b+cd14+cd16− 和 cd64+），这些标记物与巨噬细胞的表型一致。候选匹配中，多个选项标注为“macrophage”，其中候选细胞 1 和候选细胞 2 的描述最为准确且无歧义。候选细胞 3 和候选细胞 5 提到的是 T 细胞亚群（CD4+ 和 CD8+），与原始数据不符；候选细胞 4 提到“monocyte/macrophage”，虽然相关，但不够精确，因为原始数据明确指向巨噬细胞而非单核细胞。,found
lung,lyve1+ cells,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: lung
    - 原始细胞类型: lyve1+ cells

    候选匹配:
候选组织 1: lung
  候选细胞 1: cell_ontology_class='respiratory mucous cell', free_annotation='respiratory mucous cell'
  候选细胞 2: cell_ontology_class='lung ciliated cell', free_annotation='lung ciliated cell'
  候选细胞 3: cell_ontology_class='basal cell', free_annotation='basal cells'
  候选细胞 4: cell_ontology_class='lung microvascular endothelial cell', free_annotation='lung microvascular endothelial cell'
  候选细胞 5: cell_ontology_class='endothelial cell of lymphatic vessel', free_annotation='lymphatic cells'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lung,"endothelial cell of lymphatic vessel
```","原始数据中提到的细胞类型为 ""lyve1+ cells""，LYVE1 是一种淋巴管内皮细胞的标志性蛋白，通常用于标记淋巴管内皮细胞。在候选匹配中，""endothelial cell of lymphatic vessel""（淋巴管内皮细胞）与 LYVE1 的表达最为一致，因此是最合适的匹配。原始组织 ""lung"" 与候选组织一致，无需修正。",found
lung,lyve1+ cells,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: lung
    - 原始细胞类型: lyve1+ cells

    候选匹配:
候选组织 1: lung
  候选细胞 1: cell_ontology_class='respiratory mucous cell', free_annotation='respiratory mucous cell'
  候选细胞 2: cell_ontology_class='lung ciliated cell', free_annotation='lung ciliated cell'
  候选细胞 3: cell_ontology_class='basal cell', free_annotation='basal cells'
  候选细胞 4: cell_ontology_class='lung microvascular endothelial cell', free_annotation='lung microvascular endothelial cell'
  候选细胞 5: cell_ontology_class='endothelial cell of lymphatic vessel', free_annotation='lymphatic cells'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",lung,"endothelial cell of lymphatic vessel
```","原始细胞类型 ""lyve1+ cells"" 是一种表达 LYVE1 标记的细胞，通常与淋巴管内皮细胞相关。在候选匹配中，""endothelial cell of lymphatic vessel""（淋巴管内皮细胞）明确对应于这一描述，因此是最合适的匹配。原始组织 ""lung"" 与候选组织一致，无需修正。",found
heart,cardiomyocyte (cm),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: cardiomyocyte (cm)

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 3: cell_ontology_class='macrophage', free_annotation='monocyte/macrophage'
  候选细胞 4: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始数据中明确标注了组织类型为 ""heart""，细胞类型为 ""cardiomyocyte (cm)""。在候选匹配中，候选组织 1 与原始组织一致（heart），而候选细胞 1 的描述 ""cardiac muscle cell"" 是 ""cardiomyocyte"" 的标准术语，符合原始数据的含义。其他候选细胞类型（如 hepatocyte、macrophage 和 fibroblast）与原始数据不符，因此排除。",found
heart,cardiomyocyte (cm),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: cardiomyocyte (cm)

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 3: cell_ontology_class='macrophage', free_annotation='monocyte/macrophage'
  候选细胞 4: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始数据中明确标注了组织类型为 ""heart""，细胞类型为 ""cardiomyocyte (cm)""。在候选匹配中，候选组织 1 与原始组织一致（heart），而候选细胞 1 的 cell_ontology_class='cardiac muscle cell' 和 free_annotation='cardiac muscle cells' 是对心肌细胞（cardiomyocyte）的标准化描述，符合原始数据的含义。其他候选细胞类型（如 hepatocyte、macrophage、fibroblast 等）与原始数据不符，因此排除。",found
