ori_tissue,ori_cell_type,search_result
heart,cardiac progenitor (cvp),"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
heart,cardiac progenitor (cvp),"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
heart,cardiac progenitor (cvp),"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
esophagus,treg (t regulatory) cell,"organ_tissue=skin, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=spleen, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=lymph_node, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cell"
esophagus,effector th2 cell,"organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells"
esophagus,effector th2 cell,"organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells"
esophagus,effector th2 cell,"organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells"
esophagus,effector th2 cell,"organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells"
esophagus,effector th2 cell,"organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells"
eoe tissue,t lymphocyte,"organ_tissue=lymph_node, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=blood, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=lymph_node, cell_ontology_class=t cell, free_annotation=t cell"
eoe tissue,cd3+ t cell,"organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=blood, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t_cells"
eoe tissue,cd3+ t cell,"organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=blood, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t_cells"
eoe tissue,cd3+ t cell,"organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=blood, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t_cells"
eoe tissue,tissue lymphocyte,"organ_tissue=lymph_node, cell_ontology_class=erythrocyte, free_annotation=erythrocyte; organ_tissue=lymph_node, cell_ontology_class=erythrocyte, free_annotation=erythrocytes; organ_tissue=lymph_node, cell_ontology_class=endothelial cell, free_annotation=enodthelial cell; organ_tissue=lymph_node, cell_ontology_class=endothelial cell, free_annotation=endothelial cell; organ_tissue=lymph_node, cell_ontology_class=t cell, free_annotation=t lymphocytes"
eoe tissue,tissue lymphocyte,"organ_tissue=lymph_node, cell_ontology_class=erythrocyte, free_annotation=erythrocyte; organ_tissue=lymph_node, cell_ontology_class=erythrocyte, free_annotation=erythrocytes; organ_tissue=lymph_node, cell_ontology_class=endothelial cell, free_annotation=enodthelial cell; organ_tissue=lymph_node, cell_ontology_class=endothelial cell, free_annotation=endothelial cell; organ_tissue=lymph_node, cell_ontology_class=t cell, free_annotation=t lymphocytes"
eoe tissue,th2 cell,"organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t_cells; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell"
eoe tissue,th2 cell,"organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t_cells; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell"
eoe tissue,th2 cell,"organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t_cells; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell"
eoe tissue,t lymphocyte,"organ_tissue=lymph_node, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=blood, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=lymph_node, cell_ontology_class=t cell, free_annotation=t cell"
esophageal tissue,th1 cell,"organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=trachea, cell_ontology_class=tracheal goblet cell, free_annotation=tracheal goblet cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=trachea, cell_ontology_class=endothelial cell, free_annotation=endothelial cells"
esophageal tissue,th2 cell,"organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=trachea, cell_ontology_class=tracheal goblet cell, free_annotation=tracheal goblet cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t_cells"
esophageal tissue,th2 cell,"organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=trachea, cell_ontology_class=tracheal goblet cell, free_annotation=tracheal goblet cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t_cells"
esophageal tissue,th2 cell,"organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=trachea, cell_ontology_class=tracheal goblet cell, free_annotation=tracheal goblet cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t_cells"
esophageal tissue,th1 cell,"organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=trachea, cell_ontology_class=tracheal goblet cell, free_annotation=tracheal goblet cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=trachea, cell_ontology_class=endothelial cell, free_annotation=endothelial cells"
esophageal tissue,th2 cell,"organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=trachea, cell_ontology_class=tracheal goblet cell, free_annotation=tracheal goblet cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t_cells"
esophageal tissue,th2 cell,"organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=trachea, cell_ontology_class=tracheal goblet cell, free_annotation=tracheal goblet cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t_cells"
esophageal tissue,th2 cell,"organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=trachea, cell_ontology_class=tracheal goblet cell, free_annotation=tracheal goblet cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t_cells"
eoe tissue,t cells (il5 producers),"organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=blood, cell_ontology_class=t cell, free_annotation=t cells"
eoe tissue,t cells (ffar3+),"organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t cells"
blood,cd4+ t cells,"organ_tissue=blood, cell_ontology_class=cd4-positive, alpha-beta t cell, free_annotation=cd4 t cell; organ_tissue=blood, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd4 t cell; organ_tissue=blood, cell_ontology_class=cd4-positive, alpha-beta memory t cell, free_annotation=cd4-positive memory t cell; organ_tissue=skin, cell_ontology_class=cd4-positive helper t cell, free_annotation=cd4 helper t cell; organ_tissue=blood, cell_ontology_class=naive thymus-derived cd4-positive, alpha-beta t cell, free_annotation=naive cd4-positive helper t cells"
liver metastasis (liv.mets),spp1+ tams,"organ_tissue=liver, cell_ontology_class=plasma cell, free_annotation=plasma cells; organ_tissue=liver, cell_ontology_class=plasma cell, free_annotation=plasma_cells; organ_tissue=liver, cell_ontology_class=plasma cell, free_annotation=plasma cell; organ_tissue=liver, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=liver, cell_ontology_class=plasma cell, free_annotation=plasma"
liver metastasis (liv.mets),spp1+ tams,"organ_tissue=liver, cell_ontology_class=plasma cell, free_annotation=plasma cells; organ_tissue=liver, cell_ontology_class=plasma cell, free_annotation=plasma_cells; organ_tissue=liver, cell_ontology_class=plasma cell, free_annotation=plasma cell; organ_tissue=liver, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=liver, cell_ontology_class=plasma cell, free_annotation=plasma"
liver metastasis (liv.mets),spp1+ tams,"organ_tissue=liver, cell_ontology_class=plasma cell, free_annotation=plasma cells; organ_tissue=liver, cell_ontology_class=plasma cell, free_annotation=plasma_cells; organ_tissue=liver, cell_ontology_class=plasma cell, free_annotation=plasma cell; organ_tissue=liver, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=liver, cell_ontology_class=plasma cell, free_annotation=plasma"
liver metastasis (liv.mets),c1qc+ tams,"organ_tissue=liver, cell_ontology_class=erythrocyte, free_annotation=erythrocyte; organ_tissue=liver, cell_ontology_class=erythrocyte, free_annotation=erythrocytes; organ_tissue=liver, cell_ontology_class=plasma cell, free_annotation=plasma cells; organ_tissue=liver, cell_ontology_class=plasma cell, free_annotation=plasma cell; organ_tissue=liver, cell_ontology_class=hepatocyte, free_annotation=hepatocyte"
liver metastasis (liv.mets),c1qc+ tams,"organ_tissue=liver, cell_ontology_class=erythrocyte, free_annotation=erythrocyte; organ_tissue=liver, cell_ontology_class=erythrocyte, free_annotation=erythrocytes; organ_tissue=liver, cell_ontology_class=plasma cell, free_annotation=plasma cells; organ_tissue=liver, cell_ontology_class=plasma cell, free_annotation=plasma cell; organ_tissue=liver, cell_ontology_class=hepatocyte, free_annotation=hepatocyte"
liver metastasis (liv.mets),c1qc+ tams,"organ_tissue=liver, cell_ontology_class=erythrocyte, free_annotation=erythrocyte; organ_tissue=liver, cell_ontology_class=erythrocyte, free_annotation=erythrocytes; organ_tissue=liver, cell_ontology_class=plasma cell, free_annotation=plasma cells; organ_tissue=liver, cell_ontology_class=plasma cell, free_annotation=plasma cell; organ_tissue=liver, cell_ontology_class=hepatocyte, free_annotation=hepatocyte"
liver metastasis (liv.mets),mki67+ tams,"organ_tissue=liver, cell_ontology_class=erythrocyte, free_annotation=erythrocyte; organ_tissue=liver, cell_ontology_class=erythrocyte, free_annotation=erythrocytes; organ_tissue=liver, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=liver, cell_ontology_class=nk cell, free_annotation=nk cell; organ_tissue=liver, cell_ontology_class=plasma cell, free_annotation=plasma_cells"
tumor microenvironment,tams (c1qc+),"organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=skin, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=tissue resident macrophage"
tumor microenvironment,tams (spp1+),"organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=skin, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=skin, cell_ontology_class=macrophage, free_annotation=macrophages"
tumor microenvironment,cdc2s (c1qc+),"organ_tissue=skin, cell_ontology_class=cd1c-positive myeloid dendritic cell, free_annotation=cd1c-positive myeloid dendritic cell; organ_tissue=lymph_node, cell_ontology_class=cd1c-positive myeloid dendritic cell, free_annotation=cd1c-positive myeloid dendritic cell; organ_tissue=skin, cell_ontology_class=cd8-positive, alpha-beta cytotoxic t cell, free_annotation=cd8-positive cytotoxic t cells; organ_tissue=skin, cell_ontology_class=cd4-positive helper t cell, free_annotation=cd4 helper t cell; organ_tissue=blood, cell_ontology_class=cd4-positive, alpha-beta t cell, free_annotation=cd4 t cell"
liver,nk cells (liver-resident),"organ_tissue=liver, cell_ontology_class=nk cell, free_annotation=nk cells; organ_tissue=liver, cell_ontology_class=nk cell, free_annotation=nk cell; organ_tissue=liver, cell_ontology_class=nk cell, free_annotation=proliferating nk cell; organ_tissue=liver, cell_ontology_class=nk cell, free_annotation=uterine nk cells; organ_tissue=liver, cell_ontology_class=nk cell, free_annotation=natural killer cells"
tumor,spp1+ tam,"organ_tissue=pancreas, cell_ontology_class=pancreatic pp cell, free_annotation=pancreatic pp cell; organ_tissue=blood, cell_ontology_class=plasma cell, free_annotation=plasma_cells; organ_tissue=blood, cell_ontology_class=hematopoietic stem cell, free_annotation=hematopoietic stem cell; organ_tissue=fat, cell_ontology_class=plasma cell, free_annotation=plasma_cells; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage"
tumor,spp1+ tam,"organ_tissue=pancreas, cell_ontology_class=pancreatic pp cell, free_annotation=pancreatic pp cell; organ_tissue=blood, cell_ontology_class=plasma cell, free_annotation=plasma_cells; organ_tissue=blood, cell_ontology_class=hematopoietic stem cell, free_annotation=hematopoietic stem cell; organ_tissue=fat, cell_ontology_class=plasma cell, free_annotation=plasma_cells; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage"
tumor,dc3,"organ_tissue=thymus, cell_ontology_class=dn3 thymocyte, free_annotation=double negative alpha beta t cell (dn1); organ_tissue=pancreas, cell_ontology_class=pancreatic ductal cell, free_annotation=pancreatic ductal cell; organ_tissue=skin, cell_ontology_class=muscle cell, free_annotation=muscle cells; organ_tissue=fat, cell_ontology_class=mast cell, free_annotation=mast cell; organ_tissue=fat, cell_ontology_class=leucocyte, free_annotation=leucocytes"
tumor,dc3,"organ_tissue=thymus, cell_ontology_class=dn3 thymocyte, free_annotation=double negative alpha beta t cell (dn1); organ_tissue=pancreas, cell_ontology_class=pancreatic ductal cell, free_annotation=pancreatic ductal cell; organ_tissue=skin, cell_ontology_class=muscle cell, free_annotation=muscle cells; organ_tissue=fat, cell_ontology_class=mast cell, free_annotation=mast cell; organ_tissue=fat, cell_ontology_class=leucocyte, free_annotation=leucocytes"
tumor,dc3,"organ_tissue=thymus, cell_ontology_class=dn3 thymocyte, free_annotation=double negative alpha beta t cell (dn1); organ_tissue=pancreas, cell_ontology_class=pancreatic ductal cell, free_annotation=pancreatic ductal cell; organ_tissue=skin, cell_ontology_class=muscle cell, free_annotation=muscle cells; organ_tissue=fat, cell_ontology_class=mast cell, free_annotation=mast cell; organ_tissue=fat, cell_ontology_class=leucocyte, free_annotation=leucocytes"
