ori_tissue,ori_cell_type,search_result
esophagus,effector th2-like cell,"organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=macrophage, free_annotation=macrophages"
esophagus,effector th2 cell,"organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells"
esophagus,regulatory t(treg) cell,"organ_tissue=spleen, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=skin, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=lymph_node, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cell"
esophagus,regulatory t(treg) cell,"organ_tissue=spleen, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=skin, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=lymph_node, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cell"
esophagus,t helper 2(th2) cell,"organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells; organ_tissue=liver, cell_ontology_class=t cell, free_annotation=t cells"
esophagus,t helper 2(th2) cell,"organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells; organ_tissue=liver, cell_ontology_class=t cell, free_annotation=t cells"
esophagus,regulatory t(treg) cell,"organ_tissue=spleen, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=skin, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=lymph_node, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cell"
esophagus,t helper 2(th2) cell,"organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells; organ_tissue=liver, cell_ontology_class=t cell, free_annotation=t cells"
esophagus,regulatory t(treg) cell,"organ_tissue=spleen, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=skin, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=lymph_node, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cell"
heart,endothelial cell,"organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=endothelial cell of artery; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=vascular arterial endothelial cell; organ_tissue=liver, cell_ontology_class=endothelial cell, free_annotation=endothelial; organ_tissue=liver, cell_ontology_class=endothelial cell, free_annotation=endothelial cells"
heart,hematopoietic cell,"organ_tissue=blood, cell_ontology_class=hematopoietic stem cell, free_annotation=hematopoietic stem cell; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=lymph_node, cell_ontology_class=hematopoietic stem cell, free_annotation=hematopoietic stem cell"
heart,hematopoietic cell,"organ_tissue=blood, cell_ontology_class=hematopoietic stem cell, free_annotation=hematopoietic stem cell; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=lymph_node, cell_ontology_class=hematopoietic stem cell, free_annotation=hematopoietic stem cell"
heart,myofibroblast,"organ_tissue=lung, cell_ontology_class=myofibroblast cell, free_annotation=myofibroblast cell; organ_tissue=lung, cell_ontology_class=myofibroblast cell, free_annotation=myofibroblasts; organ_tissue=fat, cell_ontology_class=myofibroblast cell, free_annotation=myofibroblast cell; organ_tissue=fat, cell_ontology_class=myofibroblast cell, free_annotation=myofibroblasts; organ_tissue=bladder, cell_ontology_class=myofibroblast cell, free_annotation=myofibroblast cell"
heart,endothelial cell,"organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=endothelial cell of artery; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=vascular arterial endothelial cell; organ_tissue=liver, cell_ontology_class=endothelial cell, free_annotation=endothelial; organ_tissue=liver, cell_ontology_class=endothelial cell, free_annotation=endothelial cells"
heart,hematopoietic cell,"organ_tissue=blood, cell_ontology_class=hematopoietic stem cell, free_annotation=hematopoietic stem cell; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=lymph_node, cell_ontology_class=hematopoietic stem cell, free_annotation=hematopoietic stem cell"
heart,hematopoietic cell,"organ_tissue=blood, cell_ontology_class=hematopoietic stem cell, free_annotation=hematopoietic stem cell; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=lymph_node, cell_ontology_class=hematopoietic stem cell, free_annotation=hematopoietic stem cell"
heart,endothelial cell,"organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=endothelial cell of artery; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=vascular arterial endothelial cell; organ_tissue=liver, cell_ontology_class=endothelial cell, free_annotation=endothelial; organ_tissue=liver, cell_ontology_class=endothelial cell, free_annotation=endothelial cells"
heart,endocardial cell,"organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=vascular arterial endothelial cell; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=artery cells (endothelial cells); organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=endothelial cell of artery"
heart,endothelial cell,"organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=endothelial cell of artery; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=vascular arterial endothelial cell; organ_tissue=liver, cell_ontology_class=endothelial cell, free_annotation=endothelial; organ_tissue=liver, cell_ontology_class=endothelial cell, free_annotation=endothelial cells"
heart,hematopoietic cell,"organ_tissue=blood, cell_ontology_class=hematopoietic stem cell, free_annotation=hematopoietic stem cell; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=lymph_node, cell_ontology_class=hematopoietic stem cell, free_annotation=hematopoietic stem cell"
heart,hematopoietic cell,"organ_tissue=blood, cell_ontology_class=hematopoietic stem cell, free_annotation=hematopoietic stem cell; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=lymph_node, cell_ontology_class=hematopoietic stem cell, free_annotation=hematopoietic stem cell"
heart,endothelial cell,"organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=endothelial cell of artery; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=vascular arterial endothelial cell; organ_tissue=liver, cell_ontology_class=endothelial cell, free_annotation=endothelial; organ_tissue=liver, cell_ontology_class=endothelial cell, free_annotation=endothelial cells"
heart,hematopoietic cell,"organ_tissue=blood, cell_ontology_class=hematopoietic stem cell, free_annotation=hematopoietic stem cell; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=lymph_node, cell_ontology_class=hematopoietic stem cell, free_annotation=hematopoietic stem cell"
heart,hematopoietic cell,"organ_tissue=blood, cell_ontology_class=hematopoietic stem cell, free_annotation=hematopoietic stem cell; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=lymph_node, cell_ontology_class=hematopoietic stem cell, free_annotation=hematopoietic stem cell"
heart,endocardial cell,"organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=vascular arterial endothelial cell; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=artery cells (endothelial cells); organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=endothelial cell of artery"
heart,endocardial cell,"organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=vascular arterial endothelial cell; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=artery cells (endothelial cells); organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=endothelial cell of artery"
heart,endocardial cell,"organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=vascular arterial endothelial cell; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=artery cells (endothelial cells); organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=endothelial cell of artery"
heart,endocardial cell,"organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=vascular arterial endothelial cell; organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=artery cells (endothelial cells); organ_tissue=lung, cell_ontology_class=endothelial cell of artery, free_annotation=endothelial cell of artery"
retina,cone photoreceptor cell,"organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia"
retina,horizontal cell,"organ_tissue=eye, cell_ontology_class=retina horizontal cell, free_annotation=retina - horizontal cells; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells"
retina,microglial cell,"organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=radial glial cell, free_annotation=radial glia progenitor cells"
retina,müller glial cell,"organ_tissue=eye, cell_ontology_class=muller cell, free_annotation=retina - muller glia; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=radial glial cell, free_annotation=radial glia progenitor cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells"
retina,cone photoreceptor cell,"organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia"
retina,cone photoreceptor cell,"organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia"
retina,cone photoreceptor cell,"organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia"
retina,retinal ganglion cell,"organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retina horizontal cell, free_annotation=retina - horizontal cells"
retina,cone photoreceptor cell,"organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia"
retina,cone photoreceptor cell,"organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia"
retina,cone photoreceptor cell,"organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia"
retina,retinal ganglion cell,"organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retina horizontal cell, free_annotation=retina - horizontal cells"
retina,müller glial cell,"organ_tissue=eye, cell_ontology_class=muller cell, free_annotation=retina - muller glia; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=radial glial cell, free_annotation=radial glia progenitor cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells"
retina,cone photoreceptor cell,"organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia"
retina,horizontal cell,"organ_tissue=eye, cell_ontology_class=retina horizontal cell, free_annotation=retina - horizontal cells; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells"
retina,retinal astrocyte,"organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=melanocyte, free_annotation=melanocytes"
retina,rod cell,"organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retina horizontal cell, free_annotation=retina - horizontal cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells"
retina,retinal ganglion cell,"organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retina horizontal cell, free_annotation=retina - horizontal cells"
retina,rod cell,"organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retina horizontal cell, free_annotation=retina - horizontal cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells"
retina,amacrine cell,"organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia; organ_tissue=eye, cell_ontology_class=melanocyte, free_annotation=melanocytes; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells"
retina,cone photoreceptor cell,"organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=microglial cell, free_annotation=retina - microglia"
retina,bipolar cell,"organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=b cell, free_annotation=b cells"
retina,rod cell,"organ_tissue=eye, cell_ontology_class=retinal ganglion cell, free_annotation=retina - ganglion cells; organ_tissue=eye, cell_ontology_class=eye photoreceptor cell, free_annotation=retina - photoreceptor cells; organ_tissue=eye, cell_ontology_class=retina horizontal cell, free_annotation=retina - horizontal cells; organ_tissue=eye, cell_ontology_class=retinal pigment epithelial cell, free_annotation=retina - retinal pigment epithelium; organ_tissue=eye, cell_ontology_class=retinal bipolar neuron, free_annotation=retina - bipolar cells"
