ori_tissue,ori_cell_type,search_result
eoe tissue,cd3+ t cell,"organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=blood, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t_cells"
eoe tissue,cd3+ t cell,"organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=blood, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t_cells"
eoe tissue,tissue lymphocyte,"organ_tissue=lymph_node, cell_ontology_class=erythrocyte, free_annotation=erythrocyte; organ_tissue=lymph_node, cell_ontology_class=erythrocyte, free_annotation=erythrocytes; organ_tissue=lymph_node, cell_ontology_class=endothelial cell, free_annotation=enodthelial cell; organ_tissue=lymph_node, cell_ontology_class=endothelial cell, free_annotation=endothelial cell; organ_tissue=lymph_node, cell_ontology_class=t cell, free_annotation=t lymphocytes"
eoe tissue,tissue lymphocyte,"organ_tissue=lymph_node, cell_ontology_class=erythrocyte, free_annotation=erythrocyte; organ_tissue=lymph_node, cell_ontology_class=erythrocyte, free_annotation=erythrocytes; organ_tissue=lymph_node, cell_ontology_class=endothelial cell, free_annotation=enodthelial cell; organ_tissue=lymph_node, cell_ontology_class=endothelial cell, free_annotation=endothelial cell; organ_tissue=lymph_node, cell_ontology_class=t cell, free_annotation=t lymphocytes"
eoe tissue,th2 cell,"organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t_cells; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell"
eoe tissue,th2 cell,"organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t_cells; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell"
eoe tissue,th2 cell,"organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t_cells; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell"
eoe tissue,t lymphocyte,"organ_tissue=lymph_node, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=blood, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=lymph_node, cell_ontology_class=t cell, free_annotation=t cell"
esophageal tissue,th1 cell,"organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=trachea, cell_ontology_class=tracheal goblet cell, free_annotation=tracheal goblet cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=trachea, cell_ontology_class=endothelial cell, free_annotation=endothelial cells"
esophageal tissue,th2 cell,"organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=trachea, cell_ontology_class=tracheal goblet cell, free_annotation=tracheal goblet cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t_cells"
esophageal tissue,th2 cell,"organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=trachea, cell_ontology_class=tracheal goblet cell, free_annotation=tracheal goblet cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t_cells"
esophageal tissue,th2 cell,"organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=trachea, cell_ontology_class=tracheal goblet cell, free_annotation=tracheal goblet cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t_cells"
esophageal tissue,th1 cell,"organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=trachea, cell_ontology_class=tracheal goblet cell, free_annotation=tracheal goblet cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=trachea, cell_ontology_class=endothelial cell, free_annotation=endothelial cells"
esophageal tissue,th2 cell,"organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=trachea, cell_ontology_class=tracheal goblet cell, free_annotation=tracheal goblet cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t_cells"
esophageal tissue,th2 cell,"organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=trachea, cell_ontology_class=tracheal goblet cell, free_annotation=tracheal goblet cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t_cells"
esophageal tissue,th2 cell,"organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=trachea, cell_ontology_class=tracheal goblet cell, free_annotation=tracheal goblet cell; organ_tissue=trachea, cell_ontology_class=t cell, free_annotation=t_cells"
eoe tissue,t cells (il5 producers),"organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=blood, cell_ontology_class=t cell, free_annotation=t cells"
eoe tissue,t cells (ffar3+),"organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t cells"
blood,cd4+ t cells,"organ_tissue=blood, cell_ontology_class=cd4-positive, alpha-beta t cell, free_annotation=cd4 t cell; organ_tissue=blood, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd4 t cell; organ_tissue=blood, cell_ontology_class=cd4-positive, alpha-beta memory t cell, free_annotation=cd4-positive memory t cell; organ_tissue=skin, cell_ontology_class=cd4-positive helper t cell, free_annotation=cd4 helper t cell; organ_tissue=blood, cell_ontology_class=naive thymus-derived cd4-positive, alpha-beta t cell, free_annotation=naive cd4-positive helper t cells"
heart,valve progenitor cell (hpvc),"organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=liver, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast"
heart,valve progenitor cell (hpvc),"organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=liver, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast"
heart,valve progenitor cell (hpvc),"organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=liver, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast"
heart,valve progenitor cell (hpvc),"organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=liver, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast"
heart,valve progenitor cell (hpvc),"organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=liver, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast"
heart,valve progenitor cell (hpvc),"organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=liver, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast"
