species,tissue_type,cell_name,marker,pmid
Human,Lung cancer,Macrophage,PPARG,33545035
Human,Lung cancer,Macrophage,MARCO,33545035
Human,Lung cancer,Macrophage,MRC1,33545035
Human,Lung cancer,Macrophage,MSR1,33545035
Human,Lacrimal gland,Epithelial cell,PAX6,33730555
Human,Lacrimal gland,Epithelial cell,FOXC1,33730555
Human,Lacrimal gland,Epithelial cell,AQP5,33730555
Human,Lacrimal gland,Myoepithelial cell,ACTA2,33730555
Human,Lacrimal gland,Myoepithelial cell,MYH11,33730555
Human,Lacrimal gland,Myoepithelial cell,MYLK,33730555
Human,Lacrimal gland,Myoepithelial cell,TPM2,33730555
Human,Lacrimal gland,Endothelial cell,CDH5,33730555
Human,Lacrimal gland,Endothelial cell,PECAM1,33730555
Human,Lacrimal gland,Lymphocyte,PTPRC,33730555
Human,Lacrimal gland,Lymphocyte,CD2,33730555
Human,Lacrimal gland,Basal cell,TP63,33730555
Human,Lacrimal gland,Acinar cell,LTF,33730555
Human,Lacrimal gland,Acinar cell,LCN1,33730555
Human,Lacrimal gland,Acinar cell,LYZ,33730555
Human,Lacrimal gland,Acinar cell,PRR27,33730555
Human,Lacrimal gland,Acinar cell,LACRT,33730555
Human,Lacrimal gland,Acinar cell,SCGB1D1,33730555
Human,Lacrimal gland,Acinar cell,SCGB2A1,33730555
Human,Lacrimal gland,Acinar cell,CST1,33730555
Human,Lacrimal gland,Acinar cell,CST4,33730555
Human,Lacrimal gland,Acinar cell,HTN1,33730555
Human,Lacrimal gland,Acinar cell,SMR3A,33730555
Human,Lacrimal gland,Acinar cell,SMR3B,33730555
Human,Lacrimal gland,Ductal cell,LCN2,33730555
Human,Lacrimal gland,Ductal cell,WFDC2,33730555
Human,Lacrimal gland,Ductal cell,C3,33730555
Human,Lacrimal gland tissue,Acinar cell,LTF,33730555
Human,Lacrimal gland tissue,Acinar cell,PRR27,33730555
Human,Lacrimal gland tissue,Acinar cell,SCGB2A1,33730555
Human,Lacrimal gland tissue,Acinar cell,HTN1,33730555
Human,Lacrimal gland tissue,Ductal cell,LCN2,33730555
Human,Lacrimal gland tissue,Ductal cell,WFDC2,33730555
Human,Lacrimal gland organoid,Basal cell,KRT5,33730555
Human,Lacrimal gland organoid,Basal cell,KRT14,33730555
Human,Lacrimal gland organoid,Basal cell,NGFR,33730555
Human,Lacrimal gland organoid,Basal cell,TP63,33730555
Human,Lacrimal gland organoid,Acinar cell,BPIFA1,33730555
Human,Lacrimal gland organoid,Differentiated cell,AQP5,33730555
Human,Lacrimal gland organoid,Differentiated cell,F3,33730555
Human,Lacrimal gland organoid,Differentiated cell,MUC16,33730555
Human,Lacrimal gland organoid,Differentiated cell,MUC5AC,33730555
Human,Lacrimal gland organoid,Differentiated cell,PIGR,33730555
Human,Lacrimal gland,Ductal cell,LCN2,33730555
Human,Lacrimal gland,Ductal cell,WFDC2,33730555
Human,Lacrimal gland,Acinar cell,CHRM1,33730555
Human,Lacrimal gland,Ductal and acinar cells,VIPR1,33730555
Human,Lacrimal gland,Acinar cell,LYZ,33730555
Human,Lacrimal gland,Acinar cell,LTF,33730555
Human,Lacrimal gland,Acinar cell,LCN1,33730555
Human,Lacrimal gland,Ductal cell,LCN2,33730555
Human,Lacrimal gland,Ductal cell,C3,33730555
Human,Lacrimal gland,Ductal cell,WFDC2,33730555
Human,Lacrimal gland,Ductal progenitor,KRT5,33730555
Human,Lacrimal gland,Acinar cell,BPIFA1,33730555
Human,LGE (Lateral Ganglionic Eminence),D1-MSNs (D1 medium spiny neurons),ISL1,33958447
Human,LGE (Lateral Ganglionic Eminence),D2-MSNs (D2 medium spiny neurons),SIX3,33958447
Human,LGE (Lateral Ganglionic Eminence),MGE interneurons,NKX2-1,33958447
Human,LGE (Lateral Ganglionic Eminence),MGE interneurons,LHX6,33958447
Human,LGE (Lateral Ganglionic Eminence),MGE interneurons,LHX8,33958447
Human,LGE (Lateral Ganglionic Eminence),dorsal LGE (dLGE) interneurons,SP8,33958447
Human,LGE (Lateral Ganglionic Eminence),dorsal LGE (dLGE) interneurons,COUP-TFII (NR2F2),33958447
Human,LGE (Lateral Ganglionic Eminence),dorsal LGE (dLGE) interneurons,PAX6,33958447
Human,Striatum,Pre-MSN,OCT6 (POU3F1),33958447
Human,Striatum,Pre-MSN,ISL1,33958447
Human,Striatum,Pre-MSN,SIX3,33958447
Human,Striatum,Pre-MSN,BCL11B,33958447
Human,Striatum,D1-MSNs (patch cells),PDYN,33958447
Human,Striatum,D1-MSNs (patch cells),TSHZ1,33958447
Human,Striatum,D2-MSNs (patch cells),PDYN,33958447
Human,Striatum,D2-MSNs (patch cells),TSHZ1,33958447
Human,LGE (Lateral Ganglionic Eminence),Apical Progenitors,SALL3,33958447
Human,LGE (Lateral Ganglionic Eminence),Apical Progenitors,LINC01896,33958447
Human,Striatum,D1-MSNs,ZNF467,33958447
Human,Striatum,D2-MSNs,ZNF467,33958447
Human,Striatum,D1-MSNs,POU3F1,33958447
Human,Striatum,D2-MSNs,POU3F1,33958447
Human,Striatum,D1-MSNs,IKZF1,33958447
Human,Striatum,D2-MSNs,MAFB,33958447
Human,Brain,Medium Spiny Neurons (MSNs),PDYN,33958447
Human,Brain,Medium Spiny Neurons (MSNs),TSHZ1,33958447
Human,Brain,D1 MSNs,ISL1,33958447
Human,Brain,D2 MSNs,SIX3,33958447
