marker,in_mygene
PERIOSTIN,FALSE
SLUG,FALSE
SCLERAXIS,FALSE
COLLAGEN1,FALSE
CALCITONIN,FALSE
FILAMIN A,FALSE
VERSICAN,FALSE
AGGRECAN,FALSE
smooth muscle actin (SMA),FALSE
LAMIN A/C,FALSE
PERIOSTIN,FALSE
FILAMIN A,FALSE
COLLAGEN I,FALSE
PERIOSTIN,FALSE
FILAMIN A,FALSE
COLLAGEN I,FALSE
4-Oct,FALSE
BRACHYURY (T),FALSE
NESTIN,FALSE
Msx,FALSE
NFATC,FALSE
TGF¦Â2,FALSE
Twist,FALSE
Thsd2,FALSE
Adora,FALSE
CD31,FALSE
VE-CADHERIN,FALSE
ENDOGLIN,FALSE
GALANIN,FALSE
RSPO,FALSE
FILAMIN,FALSE
PERIOSTIN,FALSE
VERSICAN,FALSE
AGGRECAN,FALSE
FILAMIN A,FALSE
COLLAGEN I,FALSE
SLUG,FALSE
PERIOSTIN,FALSE
PECAM,FALSE
PSTN,FALSE
NKX2.5,FALSE
CD15 (SSEA-1),FALSE
CD31,FALSE
4-Oct,FALSE
PRC2 subunits,FALSE
H3K27me3,FALSE
Iba1,FALSE
F4/80,FALSE
Calretinin,FALSE
S100¦Â,FALSE
Ccl6,FALSE
Tnfrsfr1a,FALSE
Tnfrsfr1a,FALSE
Tnfrsfr1a,FALSE
Tnfrsfr1a,FALSE
Tnfsfr12a,FALSE
Tnfrsfr1a,FALSE
Tnfsfr12a,FALSE
Tnfrsfr21,FALSE
Tnfrsfr21,FALSE
Tnfrsfr1b,FALSE
Tnfrsfr11a,FALSE
Tnfrsfr13b,FALSE
Tlr13,FALSE
CD31,FALSE
S100¦Â,FALSE
Iba1,FALSE
F4/80,FALSE
Iba1,FALSE
Calretinin,FALSE
F4/80,FALSE
Ki67,FALSE
Iba1,FALSE
F4/80,FALSE
CD31,FALSE
S100¦Â,FALSE
IL-1R1,FALSE
F4/80,FALSE
Iba1,FALSE
Tnf¦Á,FALSE
Tnf¦Á,FALSE
Iba1,FALSE
IL-1R1,FALSE
Tlr13,FALSE
Lys6c,FALSE
ZO-1,FALSE
E-Cadherin,FALSE
E-Cadherin,FALSE
Tdgf1,FALSE
Hbb-y,FALSE
3632451O06Rik,FALSE
Troy,FALSE
Mist1 (Bhlha15),FALSE
Mist1,FALSE
Ki67,FALSE
GS-II,FALSE
Ki67,FALSE
Ki67,FALSE
Ki67,FALSE
Troy,FALSE
Ki67,FALSE
RLBP1/CRALBP,FALSE
CNBG3,FALSE
OPN1LW/OPN1MW,FALSE
ELAVL3/4,FALSE
BLIMP1,FALSE
NGN2,FALSE
ISLET1,FALSE
BLIMP1,FALSE
ISLET1,FALSE
BLIMP1,FALSE
ISLET1,FALSE
BLIMP1,FALSE
NGN2,FALSE
NGN2,FALSE
SLC2A1/GLUT1,FALSE
SLC1A3/GLAST1,FALSE
GS,FALSE
GS,FALSE
Glutamine synthetase,FALSE
Glutamine synthetase,FALSE
GS,FALSE
GS,FALSE
HLA class I self-peptides,FALSE
ICAM-1,FALSE
DARC,FALSE
SIPR3,FALSE
DARC,FALSE
MHC class I antigens,FALSE
CD31,FALSE
c4,FALSE
c5-c9,FALSE
C1q,FALSE
C5a-receptor,FALSE
C1q,FALSE
C5a-receptor,FALSE
CD11b,FALSE
CD31,FALSE
CD29,FALSE
Iba1,FALSE
Iba1,FALSE
SEPT4,FALSE
PD1,FALSE
HAVCR2 (TIM3),FALSE
PD1,FALSE
PD1,FALSE
PD1,FALSE
TIM3,FALSE
ITGAE [CD103],FALSE
HAVCR2 [TIM3],FALSE
TNFRSF9 [4-1BB],FALSE
TRDG2,FALSE
HUC/D,FALSE
SNGC,FALSE
OTX2/RCVRN,FALSE
OTX2/RCVRN,FALSE
AP2A/HUC/D,FALSE
AP2A,FALSE
AP2A,FALSE
BRN3,FALSE
NRL-GFP,FALSE
HUC/D,FALSE
NFI family genes,FALSE
NFI family genes,FALSE
BRN3,FALSE
AP2A,FALSE
SWS-OPN,FALSE
HUC/D,FALSE
HUC/D,FALSE
GIF,FALSE
PECAM,FALSE
Immunoglobulin genes,FALSE
IL3RA (CD123),FALSE
CLEC4C (CD303),FALSE
CD8,FALSE
Treg,FALSE
B,FALSE
HAVCR2 (TIM3),FALSE
TNFRSF18 (GITR),FALSE
CD45RO,FALSE
CD3,FALSE
PD-1,FALSE
HLA genes,FALSE
PECAM,FALSE
RSG5,FALSE
Pou4f1/Brn3a,FALSE
Calretinin,FALSE
GAD65,FALSE
Chx10,FALSE
Cone opsin,FALSE
Arrestin,FALSE
Protein kinase C¦Á,FALSE
Bassoon,FALSE
Ribeye,FALSE
Synaptophysin,FALSE
Calretinin,FALSE
GAD65,FALSE
Calbindin,FALSE
Calbindin,FALSE
Chx10,FALSE
Cone opsins (M and S opsins),FALSE
Cone arrestin,FALSE
CD3-CD7+GZMB+,FALSE
IL8,FALSE
CD14+CD16+,FALSE
CD14+CD16+,FALSE
IGJ,FALSE
low TCL1A,FALSE
low PMAIP1,FALSE
Exhausted B cell marker,FALSE
LTb (TNFSF3),FALSE
LYAR4,FALSE
KLRC2 (NKG2),FALSE
CD3-CD7+GZMB+,FALSE
CD3-CD7+GZMB+,FALSE
NKG2,FALSE
CD3-CD7+GZMB+,FALSE
CD161 (KLRB1),FALSE
c-Kit,FALSE
CD31,FALSE
CD31,FALSE
CD31,FALSE
c-Kit,FALSE
Sca-1,FALSE
CD45,FALSE
tdTomato,FALSE
CD144,FALSE
CD31,FALSE
e-NOS,FALSE
c-Kit-PE,FALSE
Sca-1-PE,FALSE
CD31-PE/Cy7,FALSE
CD34-AF647,FALSE
CD29-FITC,FALSE
CD45-PerCP/Cy5.5,FALSE
CD105-PE,FALSE
CD140a-PE,FALSE
¦Á-SMA-AF488,FALSE
c-Kit,FALSE
CD31,FALSE
CD144,FALSE
Fcgr3,FALSE
Fcgr3,FALSE
Ly6a,FALSE
Ly6a,FALSE
c-Kit,FALSE
Ly6a,FALSE
c-Kit,FALSE
c-Kit,FALSE
c-Kit,FALSE
c-Kit,FALSE
Sca-1,FALSE
Ly6a,FALSE
CD45,FALSE
CD31,FALSE
CD31,FALSE
c-Kit,FALSE
CD144,FALSE
Ly6a,FALSE
CD31,FALSE
CD144,FALSE
e-NOS,FALSE
Sca-1,FALSE
CD140a (PDGFRa),FALSE
CD105,FALSE
c-Kit,FALSE
CD31,FALSE
CD144,FALSE
CD31,FALSE
CD144,FALSE
CD31,FALSE
CD144,FALSE
c-Kit,FALSE
CD31hiEmcnhi,FALSE
CD157,FALSE
CD34+CD31loVEGFR2?,FALSE
CD45,FALSE
CD140b,FALSE
CD56,FALSE
GD2,FALSE
CD184,FALSE
CD140b,FALSE
CD104,FALSE
GD2,FALSE
CD184,FALSE
CD140b,FALSE
BEST-1,FALSE
CD140b,FALSE
GD2,FALSE
CD184,FALSE
BEST-1,FALSE
CD140b,FALSE
CD140b,FALSE
BEST-1,FALSE
CRALBP,FALSE
NCAM1/CD56,FALSE
CRALBP,FALSE
BEST-1,FALSE
CD140b,FALSE
CD56,FALSE
TRA-1-60,FALSE
GD2,FALSE
CD184,FALSE
BEST-1,FALSE
CD104,FALSE
CD140b,FALSE
BEST-1,FALSE
CRALBP,FALSE
TRA-1-60,FALSE
SIX3/6,FALSE
NCAM1/CD56,FALSE
CD140b,FALSE
BEST-1,FALSE
BEST-1,FALSE
CD56 (NCAM1),FALSE
CD140b,FALSE
CD104,FALSE
CD184,FALSE
GD2,FALSE
CD140b,FALSE
CD56,FALSE
TRA-1-60,FALSE
CD184,FALSE
GD2,FALSE
CD104,FALSE
BEST-1,FALSE
ZO-1,FALSE
CRALBP,FALSE
CD56,FALSE
ganglioside GD2,FALSE
NuMA,FALSE
CD140b/PDGFRB,FALSE
CD56/NCAM1,FALSE
CD140b/PDGFRB,FALSE
CD184,FALSE
BEST-1,FALSE
CD56/NCAM1,FALSE
HIST1H4C,FALSE
CD16 (FCRG3A),FALSE
CD3 (CD3D,FALSE
CD3G),FALSE
CD16,FALSE
CD31,FALSE
activation markers and matricellular proteins,FALSE
genes involved in fenestration and VEGF signaling,FALSE
genes involved in fenestration and VEGF signaling,FALSE
markers of large caliber vessels,FALSE
shear stress,FALSE
CEC signature of resident endothelial stem cells (ESCs),FALSE
Lyve-1,FALSE
Lyve-1,FALSE
VEGFR2,FALSE
PlGF,FALSE
CD31,FALSE
von Willebrand factor,FALSE
Fli-1,FALSE
DARC/ACKR1,FALSE
CD157,FALSE
CD31,FALSE
CD102,FALSE
CD105,FALSE
CCR7+CD45RA+,FALSE
CCR7+CD45RA-,FALSE
CCR7-CD45RA-,FALSE
PECAM-1 (CD31),FALSE
ACKR1 (DARC),FALSE
ATP2A1/SERCA1,FALSE
PECAM-1 (CD31),FALSE
ACKR1 (DARC),FALSE
ATP2A1/SERCA1,FALSE
Chil1,FALSE
Chil1,FALSE
FLT4/VEGFR3,FALSE
CD45,FALSE
Vimentin,FALSE
Cytokeratin,FALSE
ITGA6 (CD49f),FALSE
PROM1 (CD133),FALSE
ALDH1,FALSE
ALDH1,FALSE
Cytokeratin,FALSE
Vimentin,FALSE
CD3,FALSE
CD45,FALSE
Vimentin,FALSE
Cytokeratin,FALSE
Vimentin,FALSE
CD3,FALSE
CD45,FALSE
Vimentin,FALSE
CD133,FALSE
CD49f,FALSE
ALDH1,FALSE
CD25hi,FALSE
CD127lo,FALSE
CD127+,FALSE
KLRB1 (CD161),FALSE
CD73,FALSE
CD95L,FALSE
HLA-DR,FALSE
HLA-DR,FALSE
CD95,FALSE
CD95,FALSE
CD197,FALSE
CD197,FALSE
CD194,FALSE
CD194,FALSE
PD-1,FALSE
HLA-DR,FALSE
CD73,FALSE
CD95L,FALSE
CD16,FALSE
CD16,FALSE
ki67,FALSE
CD206 (MRC1),FALSE
Interferon stimulated genes (ISG),FALSE
ki67,FALSE
CD206 (MRC1),FALSE
Interferon stimulated genes (ISG),FALSE
CD14highCD16?,FALSE
CD14highCD16+,FALSE
CD14lowCD16+,FALSE
CD14+,FALSE
CD16+,FALSE
CD8A/CD8B,FALSE
CD8A/B-,FALSE
TRDC/TRGC2+,FALSE
HIST1H4C,FALSE
SMIM25,FALSE
PIG6B,FALSE
HIST1H4C,FALSE
MPP6,FALSE
CELC2D,FALSE
HIST1H4C,FALSE
WARS,FALSE
CD16,FALSE
CD16,FALSE
CD123,FALSE
IL1¦Â,FALSE
CD56,FALSE
CD16,FALSE
CD16,FALSE
CD56,FALSE
CD20 (MS4A1),FALSE
IGHG,FALSE
CD20 (MS4A1),FALSE
IL-1¦Â,FALSE
CD14+IL1¦Â,FALSE
CD56,FALSE
CD16,FALSE
IL-1¦Â,FALSE
CD11c,FALSE
MHC class II,FALSE
CD11c,FALSE
HLA-DR,FALSE
CD11c,FALSE
CD11c,FALSE
HLA-DR,FALSE
ITGAX (CD11c),FALSE
CD206,FALSE
CD208,FALSE
cathepsin C,FALSE
Fc epsilon receptor,FALSE
CD11c,FALSE
CD11c,FALSE
FCGR3A (CD16),FALSE
PDPN (D2-40),FALSE
Tek (Tie2),FALSE
Myocilin,FALSE
PECAM1 (CD31),FALSE
R-spondin-2,FALSE
Major histocompatibility complex class II,FALSE
CD326,FALSE
ICAM2/CD9,FALSE
CD18,FALSE
CD235a CD43-,FALSE
PRNT3,FALSE
ITGB2/CD18,FALSE
CD44+ CD18-,FALSE
CD44+ CD18+,FALSE
CD44- CD18-,FALSE
CD235a,FALSE
CD41,FALSE
25F9,FALSE
RUNX1C-GFP,FALSE
CD144,FALSE
CD45,FALSE
CD45,FALSE
CD144,FALSE
CD326,FALSE
CD235a,FALSE
ITGA2B (CD41),FALSE
ITGB2/CD18,FALSE
CD132,FALSE
HLA genes,FALSE
CD45,FALSE
CD45,FALSE
CD45,FALSE
CD45,FALSE
CD45,FALSE
CD45,FALSE
CD45,FALSE
CD45,FALSE
Iftm1,FALSE
Iftm2,FALSE
Uncertain marker genes mentioned,FALSE
but not specified,FALSE
Icosl,FALSE
HVEM,FALSE
CD8,FALSE
T7 (implied by regulatory T cell¨Cassociated phenotype),FALSE
LIGHT,FALSE
IFNG (implied by interferon gamma¨Cexpressing),FALSE
CD90,FALSE
Vimentin,FALSE
¦Á-SMA,FALSE
ICAM-1,FALSE
VCAM-1,FALSE
VCAM-1,FALSE
a-SMA,FALSE
CD3,FALSE
LIGHT,FALSE
¦Á-SMA,FALSE
ICAM-1,FALSE
VCAM-1,FALSE
CD90,FALSE
Vimentin,FALSE
Foxa1/2,FALSE
Uroplakin,FALSE
MSX1/2,FALSE
Foxa1/2,FALSE
Foxa1/2,FALSE
MHCII-,FALSE
MHCII+CD11c-,FALSE
MHCII+CD11c+,FALSE
MHCII-,FALSE
MHCII+CD11C-,FALSE
MHCII+CD11C+,FALSE
MHCII,FALSE
MHCII,FALSE
MHCII,FALSE
CD11c,FALSE
CD11c,FALSE
MHCII,FALSE
MHCII,FALSE
CD11C,FALSE
CD11C,FALSE
IBA1,FALSE
CD11c,FALSE
Ly6G,FALSE
NK1.1,FALSE
Siglec F,FALSE
B220,FALSE
CD8,FALSE
MHC II,FALSE
CD11b,FALSE
CD45,FALSE
CD45dim,FALSE
CD45high,FALSE
CD64+MHCIIlow,FALSE
MHCII-,FALSE
MHCII+CD11c-,FALSE
MHCII+CD11c+,FALSE
MHCII+CD11c+,FALSE
MHCII+CD11c-,FALSE
GFP+MHCII-,FALSE
GFP-MHCII-,FALSE
GFP+MHCII+CD11c-,FALSE
GFP-MHCII+CD11c-,FALSE
GFP+MHCII+CD11c+,FALSE
CD64+MHCII-,FALSE
CD64+MHCII+CD11c-,FALSE
CD64+MHCII+CD11c+,FALSE
CD45DimCD64+MHCIILow,FALSE
AIF1 (IBA1),FALSE
ITGAX (CD11C),FALSE
Tie2,FALSE
CD45dimCD64+,FALSE
CD45highCD64+MHCII+,FALSE
MHCII+CD11c+,FALSE
MHCII?,FALSE
MHCII?,FALSE
Cx3cr1low or Cx3cr1+,FALSE
MHCII,FALSE
CD11c,FALSE
CYR61,FALSE
HLA.DMA,FALSE
MHCII-,FALSE
MHCII+CD11c-,FALSE
MHCII+CD11c+,FALSE
MHCII+CD11C-,FALSE
MHCII+CD11C+,FALSE
IL1RA4,FALSE
CTLA-4,FALSE
CTLA-4,FALSE
LAG-3,FALSE
CD39,FALSE
PD1,FALSE
CD266,FALSE
PDL1,FALSE
PD1,FALSE
NKG2A,FALSE
TNFSF1B,FALSE
PDL1,FALSE
NKG2A,FALSE
CD49d,FALSE
PDL1,FALSE
CD11C,FALSE
ABHD2/RLBP1,FALSE
RLBP1/CRALBP,FALSE
RBP1/CRBP1,FALSE
PLA2G16,FALSE
CSTV,FALSE
CPODXL,FALSE
MT-CYB,FALSE
PD-1,FALSE
CD39,FALSE
CTLA-4,FALSE
TIM-3,FALSE
TIM-3,FALSE
PD-1,FALSE
CTLA-4,FALSE
CD39,FALSE
TIM-3,FALSE
PD-1,FALSE
CTLA-4,FALSE
CD39,FALSE
PD-1,FALSE
CD39,FALSE
TIM-3,FALSE
CTLA-4,FALSE
ENTPD1 (CD39),FALSE
HAVCR2 (TIM-3),FALSE
PD-1,FALSE
MHC class II presentation pathway genes,FALSE
Metabolic pathway genes,FALSE
TCF7 (TCF-1),FALSE
S1PR1 (downmodulated),FALSE
PD-1,FALSE
CD39,FALSE
PD-1,FALSE
CD39,FALSE
PD-1,FALSE
TIM-3,FALSE
CTLA-4,FALSE
PD-1,FALSE
CD39,FALSE
TIM-3,FALSE
PD-1,FALSE
CD39,FALSE
TIM-3,FALSE
SOX-4,FALSE
SOX-4,FALSE
CD103,FALSE
CD49a,FALSE
CD8,FALSE
CD3,FALSE
CD45RA,FALSE
PD-1,FALSE
TIM-3,FALSE
CD103,FALSE
CD49a,FALSE
CD39,FALSE
CTLA-4,FALSE
CD25,FALSE
CD127,FALSE
Rhodopsin (RHO),FALSE
S Opsin,FALSE
L/M Opsin (OPN1MW),FALSE
Peripherin2,FALSE
Recoverin,FALSE
Rhodopsin,FALSE
L/M Opsin,FALSE
S Opsin,FALSE
Recoverin,FALSE
Rhodopsin,FALSE
L/M Opsin,FALSE
CD16,FALSE
CD172A,FALSE
MP3,FALSE
HLA/FCER1A,FALSE
CD68/CD163,FALSE
CD14hiCD16-,FALSE
CD14+CD16hi,FALSE
CD14hiCD16+,FALSE
PD-L1,FALSE
TRL3,FALSE
CD207 (langerin),FALSE
not EPCAM,FALSE
CD16,FALSE
CD8,FALSE
DC_LAMP,FALSE
Brn3a (Pou4f1),FALSE
Brn3b (Pou4f2),FALSE
Brn3a,FALSE
Brn3b,FALSE
Melanopsin,FALSE
Brn3a,FALSE
Brn3b,FALSE
BRN3A,FALSE
BRN3B,FALSE
Pou4f2 (Brn3b),FALSE
Pou4f1 (Brn3a),FALSE
Atoh7-bound and down-regulated in Atoh7 mutants,FALSE
Galanin,FALSE
Cone arrestin,FALSE
Calbindin,FALSE
Brn3a,FALSE
CD171(L1CAM),FALSE
BRN3B,FALSE
KI67,FALSE
Siglech,FALSE
Siglech,FALSE
Rip3,FALSE
Iba-1,FALSE
RIP1,FALSE
RIP3,FALSE
RIP1,FALSE
RIP3,FALSE
CD31,FALSE
RIP3,FALSE
Iba-1,FALSE
Iba-1,FALSE
Trp63,FALSE
Trp63,FALSE
p63,FALSE
CyclinD1,FALSE
K8,FALSE
A33,FALSE
KI67,FALSE
Tead1/4,FALSE
Ctgf,FALSE
Cyr61,FALSE
YAP/TAZ,FALSE
ECAD,FALSE
NKX2.1,FALSE
COUP-TFII (NR2F2),FALSE
OCT6 (POU3F1),FALSE
CTIP2,FALSE
6-Oct,FALSE
6-Oct,FALSE
6-Oct,FALSE
6-Oct,FALSE
6-Oct,FALSE
YAP,FALSE
Cyr61,FALSE
Ctgf,FALSE
Cdnk1a,FALSE
Ly6a,FALSE
Mt2,FALSE
Cyr61,FALSE
Ctgf,FALSE
Ep-Cam,FALSE
CD45,FALSE
Cld4,FALSE
Dsg1a,FALSE
Mt1-2,FALSE
Krt6,FALSE
Cd45,FALSE
Cd3,FALSE
Cd25,FALSE
Cd8,FALSE
Ptgs,FALSE
Melana,FALSE
G2mb,FALSE
Gpha2/K15-GFP,FALSE
Cd31,FALSE
Lyve-1,FALSE
Cd3¦Å,FALSE
FoxP3-GFP,FALSE
Ki67,FALSE
Cd25,FALSE
IL-26,FALSE
CD11b,FALSE
CD206,FALSE
CD11b,FALSE
CD206,FALSE
CD206,FALSE
CD11b,FALSE
CD4+CD25+CD127low,FALSE
PD-1,FALSE
CD3,FALSE
PD-L1,FALSE
PD-L2,FALSE
CD3,FALSE
CD20,FALSE
¦Ã¦ÄTCR,FALSE
V¦Ä2-TCR,FALSE
V¦Á7.2 TCR,FALSE
V¦Á24-J¦Á18,FALSE
CD56,FALSE
PD-1,FALSE
CD16,FALSE
HLA-DR,FALSE
CD56,FALSE
CD3,FALSE
CD8,FALSE
CD4-CD8-,FALSE
CD4+CD25+CD127lo,FALSE
CCR7+CD45RO-CD45RA+,FALSE
CD45RO+CD45RA-,FALSE
CD45,FALSE
BTAF,FALSE
SA100A9,FALSE
CD45RA+CCR7+,FALSE
CD45RA-CCR7+,FALSE
CD45RA-CCR7-,FALSE
CD45RA+CCR7-,FALSE
CD27-IgD+,FALSE
CD27+IgD+,FALSE
CD27+IgD-,FALSE
CD24lowCD38high,FALSE
CD14+,FALSE
MCSP,FALSE
LNGFR,FALSE
BRAFV600E,FALSE
MCSP,FALSE
LNGFR,FALSE
MCSP,FALSE
LNGFR,FALSE
MCSP,FALSE
LNGFR,FALSE
VEGFR2,FALSE
Ptgisi,FALSE
Tgf¦Â1,FALSE
Tgf¦Â2,FALSE
Tgf¦Â3,FALSE
Tgf¦Âr2,FALSE
Alk5,FALSE
¦Á-SMA (Acta2),FALSE
pMLC2,FALSE
CD8,FALSE
VLA-4,FALSE
LFA-1,FALSE
Mac-1,FALSE
VLA-4,FALSE
LFA-1,FALSE
Mac-1,FALSE
CD3,FALSE
CD8,FALSE
HBE (¦Å-globin),FALSE
HBG1 (¦Ã-globin),FALSE
HBG2 (¦Ã-globin),FALSE
HBB (¦Â-globin),FALSE
CD45,FALSE
CD45,FALSE
CD71,FALSE
CD235a,FALSE
PTPRC/CD45,FALSE
CD45,FALSE
CD71,FALSE
CD235a,FALSE
CD23A,FALSE
TACI,FALSE
Granzyme A,FALSE
Granzyme K,FALSE
HSBP90,FALSE
High SHM levels,FALSE
Low SHM levels,FALSE
High-SHM outliers,FALSE
Downregulation of MHC class II genes (CD74,FALSE
HLA-DR,FALSE
0,FALSE
-DRB1),FALSE
CD4+CD25+CD127lo/¨C,FALSE
CD4+CD25loCD127hi CD45RO+,FALSE
CD45RO+CD62Llo,FALSE
CD45RO+CD62Lhi,FALSE
CTLA-4,FALSE
HLA-DR,FALSE
CTLA-4,FALSE
HLA-DR,FALSE
CTLA-4,FALSE
HLA-DR,FALSE
HLA-DR,FALSE
CD25,FALSE
Killer cell lectin like receptor B1,FALSE
TCR¦Á,FALSE
TCR¦Â,FALSE
CD8,FALSE
CD25,FALSE
GITR,FALSE
GARP,FALSE
CD25,FALSE
CD45RA,FALSE
HLA-DR,FALSE
CD8,FALSE
CD127,FALSE
CRO,FALSE
CD56,FALSE
CD3,FALSE
CD45,FALSE
FCGR3A-,FALSE
KLRC2/NKG2C,FALSE
FGFBP2/Ksp37,FALSE
P63,FALSE
P63,FALSE
P63,FALSE
c-MYC,FALSE
P63,FALSE
CRTH2,FALSE
CRTH2,FALSE
CD161,FALSE
CRTH2,FALSE
CRTH2,FALSE
CD161,FALSE
CD154,FALSE
CD161,FALSE
IL-25R,FALSE
IL-33R,FALSE
PPAR-¦Ã,FALSE
CD3,FALSE
CD45RA,FALSE
CRTH2,FALSE
CD161,FALSE
OCT3/4,FALSE
OCT3/4,FALSE
C1q13,FALSE
Pea15a,FALSE
VIL,FALSE
Tctex1d4,FALSE
Cd24a,FALSE
Cytokeratins,FALSE
CD45,FALSE
CD45-,FALSE
CD45-,FALSE
CD45-,FALSE
CD45-,FALSE
CD45+,FALSE
CD45+,FALSE
CD45+,FALSE
HLA-DRA/B1/B5,FALSE
KRT6,FALSE
CD39 (ENTPD1),FALSE
CD103 (ITGAE),FALSE
PD-L1,FALSE
PD-L2,FALSE
CCL2/11,FALSE
CXCL5/8,FALSE
