marker,in_mygene
CD4+ FOXP3+ IL-10+ CTLA4+ IL-2A(CD25)+ IL-1R1/R2+,False
CD4+ GATA3+ IL-4+ IL-5+ IL-13+ HPGDS+ CRTH2+ IL-17RB+ CD40LG (CD154)+ NFAT1+ NFκ-B1+ AHR+ NR3C1+ PPARG+,False
GS-lectin,False
Aquaporin-4,False
PKC-alpha,False
Neurofilament-H,False
Calbindin,False
Neurofilament-H,False
Calretinin,False
Calretinin,False
Vesicular glutamate transporter-1,False
Postsynaptic density protein 95,False
Bnip3,True
Bsg,True
Bsg,True
Bnip3,True
Bsg,True
Bsg,True
Vegfa,True
Ndufa4l2,True
Bsg,True
Mt1,False
Hes1,True
Nupr1,True
Vim,True
Gfap,True
Pecam1,True
Apln,True
Angpt2,True
Fbln5,True
Nrp2,True
Ddc,True
TBX2,True
TBX20,True
GATA5,True
MSX1,True
SMAD6,True
PITX2,True
HES1,True
NFATc,False
ADORA,False
GALANIN,False
TGFβ1,False
TGFβ2,False
THROMBOSPONDIN,False
ERBB4,True
ADAM19,True
CAV1,True
PDGFRα,False
LMCD1,True
GATA6,True
KDR,True
FLT1,True
FLI1,True
TIE2,False
CD31,False
KDR,True
VE-cadherin,False
GATA5,True
TBX3,True
TBX20,True
NFATc,False
MSX1,True
CDH5,True
ENG,True
PECAM1,True
KLF2,True
NOTCH4,True
SOX17,True
SOX18,True
ETS1,True
TWIST1,True
THSD1,True
HEY1,True
CDH5,True
PECAM1,True
GATA5,True
TBX2,True
TBX3,True
MSX1,True
ETS1,True
EGFL7,True
HOPX,True
SCL/TAL1,False
SOX18,True
LATEXIN,False
FICOLIN3,False
HOXP1,False
CARBONIC-ANYDRASE,False
CD40,True
CD55,True
CX37,False
BAMBI,True
TGFβ1,False
PDGFRα,False
WNT2B,True
APOE,True
LUM,True
POSTN,True
ACTA2,True
TGLN,False
COL1A1,True
COL1A2,True
COL4A1,True
COL6A2,True
COL3A1,True
BGN,True
TDGF1,False
CD9,True
VCAN,True
ALDH2,True
PERIOSTIN,False
SLUG,False
MSX1,True
SCLERAXIS,False
COLLAGEN1,False
SOX9,True
CALCITONIN,False
AXIN2,True
KLF2,True
SMAD6,True
FILAMIN A,False
VERSICAN,False
AGGRECAN,False
smooth muscle actin (SMA),False
LAMIN A/C,False
SOX9,True
PERIOSTIN,False
FILAMIN A,False
COLLAGEN I,False
SOX9,True
PERIOSTIN,False
FILAMIN A,False
COLLAGEN I,False
DCHS1,True
OCT4,False
SOX2,True
NANOG,True
SOX17,True
FOXA2,True
BRACHYURY (T),False
MIXL1,True
NESTIN,False
PAX6,True
TBX2,True
TBX20,True
PITX2,True
GATA5,True
SMAD6,True
MSX1,True
PECAM1,True
CDH5,True
ENG,True
SOX17,True
SOX18,True
DLL4,True
CD34,True
KDR,True
Tbx3,True
Tbx2,True
Tbx20,True
Msx,False
Id2,True
GATA5,True
NFATC,False
TGFβ2,False
HEY1,True
Smad6,True
Twist,False
Slc6a4,True
Cav1,True
Thsd2,False
Rspo3,True
Adora,False
Gal,True
ENG,True
CDH5,True
KDR,True
PECAM1,True
THSD1,True
CD31,False
VE-CADHERIN,False
ENDOGLIN,False
GATA5,True
TBX2,True
GALANIN,False
RSPO,False
SMAD6,True
MSX1,True
FILAMIN,False
PERIOSTIN,False
VERSICAN,False
AGGRECAN,False
FILAMIN A,False
SOX9,True
COLLAGEN I,False
SLUG,False
SMAD6,True
PERIOSTIN,False
SOX9,True
MSX1,True
PECAM,False
ENG,True
CDH5,True
COL1A1,True
PSTN,False
MESP1,True
MEF2C,True
NKX2.5,False
ISL1,True
CD15 (SSEA-1),False
CD31,False
OCT4,False
SOX2,True
NANOG,True
Bcl11b,True
Rorb,True
Pou3f2,True
Nrn1,True
Rorb,True
PRC2 subunits,False
H3K27me3,False
Pou4f2,True
Thy1,True
Nefl,True
Tfap2a,True
Pax6,True
Gad1,True
Vsx2,True
Grm6,True
Grik1,True
Calb1,True
Lhx1,True
Rho,True
Nrl,True
Nr2e3,True
Opn1mw,True
Arr3,True
Pax2,True
S100b,True
Vim,True
Slc3a2,True
Glul,True
Rlbp1,True
Tagln,True
Acta2,True
Tie1,True
Cldn5,True
Iba1,False
F4/80,False
TSPO,True
TSPO,True
Dbi,True
Pax6,True
Calretinin,False
Vim,True
Lhx2,True
Sox9,True
Rlbp1,True
Slc1a3,True
S100β,False
Pax2,True
Vsx2,True
Otx2,True
Lhx3,True
Grm6,True
Grik1,True
Tie1,True
Cldn5,True
Rgs1,True
Ccl3,True
Ccl6,False
C1qa,True
C1qb,True
C1qc,True
Trem2,True
Csf1r,True
Tnfrsfr1a,False
Tnfrsfr1a,False
Tnfrsfr1a,False
Tnfrsfr1a,False
Tnfsfr12a,False
Tnfrsfr1a,False
Tnfsfr12a,False
Tnfrsfr21,False
Tnfrsfr21,False
Tnfrsfr1b,False
Tnfrsfr11a,False
Tnfrsfr13b,False
Il1r1,True
Il1r1,True
Il1r1,True
Il1r1,True
Tlr2,True
Tlr3,True
Tlr1,True
Tlr2,True
Tlr3,True
Tlr4,True
Tlr7,True
Tlr13,False
CD31,False
Sox9,True
S100β,False
Sox9,True
Vsx2,True
Otx2,True
Iba1,False
F4/80,False
Iba1,False
Pax6,True
Calretinin,False
F4/80,False
Ki67,False
Iba1,False
F4/80,False
Rgs1,True
Trem2,True
Ccl3,True
Ccl4,True
C1qa,True
C1qb,True
C1qc,True
Csf1r,True
Lhx2,True
Sox9,True
Rlbp1,True
Slc1a3,True
CD31,False
S100β,False
Otx2,True
Sox9,True
Vsx2,True
IL-1R1,False
F4/80,False
Iba1,False
Tnfα,False
Tnfα,False
Iba1,False
IL-1R1,False
Rgs1,True
Trem2,True
Ccl3,True
Ccl4,True
C1qa,True
C1qb,True
C1qc,True
Tlr1,True
Tlr4,True
Tlr7,True
Tlr13,False
Tlr2,True
Tlr3,True
Tspo,True
Dbi,True
Tnnt2,True
Col1a1,True
Wt1,True
Lys6c,False
Bnc1,True
Gata6,True
Hand2,True
Tbx18,True
Tcf21,True
Wt1,True
Anxa8,True
Gata5,True
Gpm6a,True
Krt8,True
Krt19,True
Upk1b,True
Spp1,True
Cenpp,True
Gata5,True
Upk1b,True
Myrf,True
Wt1,True
Bnc1,True
Gpm6a,True
Upk1b,True
Sox6,True
Gata5,True
Upk1b,True
Gpm6a,True
Krt19,True
ZO-1,False
UPK1B,True
E-Cadherin,False
Hnf1b,True
Hnf4a,True
Pax8,True
MyoD1,True
Myf5,True
Pax7,True
Gata4,True
Hand2,True
Tbx5,True
Irx3,True
Rarb,True
Smad6,True
Tbx3,True
Ets1,True
Prox1,True
Upk1b,True
Gpm6a,True
Krt19,True
Krt19,True
E-Cadherin,False
MyoD1,True
Atf3,True
Gata6,True
Hand2,True
Pln,True
Cck,True
Nodal,True
Lefty2,True
Pitx2,True
Isl1,True
Rgs5,True
Smyd1,True
Crabp1,True
Crabp2,True
Hoxa1,True
Hoxb1,True
Upp1,True
Sema3c,True
Tdgf1,False
Irx4,True
Nppa,True
Nppb,True
Irx4,True
Cck,True
Sema3c,True
Wnt5a,True
Tbx2,True
Hand1,True
Epcam,True
Sox2,True
Hbb-y,False
Flt4,True
Upp1,True
Rrad,True
Ank3,True
Prkaa2,True
Tbx1,True
Tbx1,True
3632451O06Rik,False
Rgs5,True
Isl1,True
Hand2,True
Tbx18,True
Hand1,True
Pln,True
Cck,True
Fgf8,True
Bmp4,True
Bmp2,True
Wnt5a,True
Nppa,True
Fgf8,True
Smyd1,True
Sema3c,True
Hoxb1,True
Nppa,True
Nppb,True
Irx4,True
Cck,True
Hand1,True
Hand2,True
Cck,True
Irx4,True
Sema3c,True
Troy,False
Lgr5,True
Sox2,True
Runx1,True
Lrig1,True
Mist1 (Bhlha15),False
Bmi1,True
Sox2,True
Mist1,False
Runx1,True
Ki67,False
Lrig1,True
Stmn1,True
Muc6,True
Muc6,True
Mki67,True
Stmn1,True
Atp4b,True
Muc5ac,True
GS-II,False
Stmn1,True
Stmn1,True
Ki67,False
Cdt1,True
Ccnb1,True
Muc5ac,True
Muc6,True
Stmn1,True
Mki67,True
Cdt1,True
Ccnb1,True
Muc5ac,True
Muc6,True
Muc5ac,True
Muc5ac,True
Muc6,True
Muc6,True
Cib1,True
Ndufb8,True
Psma7,True
Ki67,False
Pgc,True
Stmn1,True
Ki67,False
Muc5ac,True
Muc6,True
Troy,False
Lgr5,True
Stmn1,True
Ki67,False
PDE6A,True
CNGA1,True
RHO,True
ARR3,True
GNGT2,True
GUCA1C,True
RLBP1/CRALBP,False
GFAP,True
HLA-DPA1,True
HLA-DPB1,True
HLA-DRA,True
VSX2,True
OTX2,True
NEFL,True
GAP43,True
SNCG,True
GAD1,True
CALB1,True
CHAT,True
ONECUT1,True
ONECUT2,True
GRIK1,True
PRKCA,True
TTR,True
RHO,True
GNGT1,True
SAG,True
NRL,True
ROM1,True
GNAT1,True
CNGA1,True
MALAT1,True
MALAT1,True
ARR3,True
CNBG3,False
GNAT2,True
GNGT2,True
GRK7,True
GUCA1C,True
PDE6C,True
PDE6H,True
OPN1LW,True
RXRG,True
THRB,True
OPN1SW,True
OPN1MW,True
OPN1LW,True
CCDC136,True
THRB,True
RLBP1,True
RGR,True
GFAP,True
S100B,True
VIM,True
GLUL,True
S100A1,True
OPN1LW/OPN1MW,False
OPN1SW,True
MALAT1,True
MALAT1,True
VSX2,True
PAX6,True
ELAVL3/4,False
BLIMP1,False
ATOH7,True
POU4F2,True
ONECUT1,True
PROX1,True
NEUROD1,True
PRDM1,True
ASCL1,True
NGN2,False
INSM1,True
BHLHE22,True
ISLR2,True
CCND1,True
ISLET1,False
BLIMP1,False
ASCL1,True
ISLET1,False
BLIMP1,False
ASCL1,True
ASCL1,True
RTN4,True
GPM6A,True
EFNB2,True
GPM6B,True
FZD3,True
RUFY3,True
ISLR2,True
DCX,True
ISLET1,False
NEUROD1,True
BLIMP1,False
DCLK1,True
SEMA5A,True
NRCAM,True
NGN2,False
JAG1,True
GJA1,True
GJA1,True
ATP1A2,True
PCDH9,True
PFN1,True
TMSB10,True
LIN28A,True
LIN28B,True
JAG1,True
BMP7,True
TGFb2,True
IGFBP5,True
JAG1,True
GJA1,True
DCX,True
ASCL1,True
GJA1,True
JAG1,True
ASCL1,True
NGN2,False
DCX,True
HES1,True
HES5,True
HES6,True
ASCL1,True
CCND1,True
LHX2,True
NR2E1,True
Clrn1,True
CLRN1,True
Clrn1,True
CLRN1,True
Clrn1,True
CLRN1,True
Clrn1,True
Clrn1,True
Clrn1,True
Clrn1,True
GNAT2,True
OPN1SW,True
OPN1MW,True
OPN1LW,True
PDE6A,True
PPEF2,True
NR2E3,True
NEFM,True
SLC17A6,True
CAMK2B,True
GRM6,True
TMEM215,True
TRPM1,True
GAD1,True
C1QL2,True
ONECUT1,True
ONECUT2,True
LHX1,True
GLUL,True
CLU,True
APOE,True
C1QA,True
TMEM119,True
AIF1,True
CD163,True
CD34,True
CDH5,True
RGS5,True
ADAMTS9,True
FOS,True
FTL,True
COL4A3,True
GFAP,True
SPARCL1,True
FOS,True
FOSB,True
JUN,True
EGR1,True
CD44,True
COL4A3,True
VEGFA,True
HTRA1,True
SLC2A1/GLUT1,False
SLC1A3/GLAST1,False
SHMT2,True
HIF1A,True
FTH1,True
FTL,True
DBI,True
GS,False
FOS,True
COL4A3,True
FTL,True
GS,False
FOS,True
COL4A3,True
FTL,True
APOE,True
TM4SF1,True
TIMP3,True
TIMP3,True
FTL,True
FOS,True
COL4A3,True
Glutamine synthetase,False
FTL,True
FOS,True
COL4A3,True
Glutamine synthetase,False
APOE,True
GS,False
TM4SF1,True
CFI,True
TIMP3,True
TIMP3,True
APOE,True
GS,False
CFI,True
TIMP3,True
TM4SF1,True
TIMP3,True
RGCC,True
HLA class I self-peptides,False
ICAM-1,False
CA4,True
PLP1,True
VWF,True
CD34,True
ICAM2,True
ACTA2,True
RGS5,True
IGF2,True
RPE65,True
BEST1,True
PTPRC,True
CD79A,True
CD2,True
AIF1,True
KIT,True
MPZ,True
MBP,True
SCN7A,True
NGFR,True
NCAM1,True
L1CAM,True
CXCL14,True
WFDC1,True
TFPI2,True
IGFBP5,True
CLDN5,True
SLC2A1,True
VCAM1,True
CCL2,True
SELP,True
ICAM1,True
CLU,True
DARC,False
MMRN1,True
CA4,True
PLVAP,True
FBLN2,True
SEMA3G,True
GJA4,True
GJA5,True
HEY1,True
SELE,True
VCAM1,True
CCL23,True
SIPR3,False
SPARC,True
PCDH12,True
VWF,True
DARC,False
MMRN1,True
CA4,True
PLVAP,True
HEY1,True
SEMA3G,True
RGCC,True
ICAM1,True
PLVAP,True
MHC class I antigens,False
CA4,True
S1PR3,True
CD34,True
CD31,False
c1s,True
c3,True
c4,False
cfb,True
cfh,True
cfi,True
cfp,True
gfap,True
cfi,True
tmem119,True
C1s,True
CFB,True
CFP,True
CFD,True
CFI,True
C6,True
C7,True
C1s,True
CFB,True
CFP,True
C3,True
CFH,True
CFI,True
C6,True
C7,True
C1s,True
CFB,True
CFP,True
C3,True
CFH,True
CFI,True
CFD,True
C1s,True
CFB,True
CFP,True
CFH,True
CFI,True
C1s,True
CFB,True
CFP,True
cfh,True
cfi,True
cfi,True
cfh,True
cfi,True
c1s,True
c3,True
cfb,True
cfp,True
c1s,True
c3,True
cfp,True
cfp,True
cfd,True
c5-c9,False
cfh,True
rpe65,True
c3,True
cfb,True
C1q,False
C5a-receptor,False
cfi,True
cfh,True
cfh,True
c3,True
cfb,True
C1q,False
C5a-receptor,False
cfi,True
cfh,True
cfh,True
CD11b,False
CD31,False
CD29,False
Iba1,False
gfap,True
gsg1,True
Glul,True
Rpe65,True
Iba1,False
GLUL,True
PDE6A,True
NETO1,True
SLC1A3,True
GAD1,True
SEPT4,False
ARR3,True
RBPMS,True
AHI1,True
ATXN7,True
KCNV2,True
PROM1,True
RD3,True
RPGRIP1,True
GUCA1A,True
RHO,True
RHO,True
RPGRIP1,True
RPGRIP1,True
RD3,True
RD3,True
SLC24A2,True
OPN1MW,True
FLNA,True
MYH11,True
KRT4,True
KRT5,True
APOE,True
CD5L,True
VCAM1,True
HMOX1,True
C1QA,True
C1QC,True
JCHAIN,True
IGHA1,True
IGLC3,True
LAG3,True
CD163,True
CD14,True
CSF1R,True
CLEC10A,True
MMP9,True
IL10,True
TNF,True
MARCO,True
S100A12,True
IGHG1,True
MZB1,True
PD1,False
CTLA4,True
HAVCR2 (TIM3),False
TNFRSF9,True
LAG3,True
PD1,False
CTLA4,True
LAG3,True
PD1,False
CTLA4,True
LAG3,True
LAG3,True
LAG3,True
FOXP3,True
LAG3,True
LAG3,True
TIGIT,True
PD1,False
CTLA4,True
TIM3,False
TNFRSF9,True
FOXP3,True
TNFRSF4,True
IKZF2,True
IL2RA,True
CD200,True
GNG4,True
CHN1,True
IGFL2,True
ITM2A,True
CPM,True
NR3C1,True
IL7R,True
CD8A,True
ZNF683,True
KLRK1,True
ITGAE [CD103],False
PRF1,True
GZMA,True
GZMK,True
NKG7,True
CTLA4,True
TIGIT,True
HAVCR2 [TIM3],False
TNFRSF9 [4-1BB],False
TRDC,True
TRDG2,False
MKI67,True
STMN1,True
HMGB2,True
TUBB,True
TUBA1B,True
CD1C,True
S100A12,True
CLEC10A,True
CD163,True
C1QA,True
C1QB,True
C1QC,True
IL10,True
C1QA,True
C1QB,True
C1QC,True
MKI67,True
SOX2,True
PAX6,True
HUC/D,False
TFAP2A,True
ONECUT2,True
OTX2,True
MKI67,True
ATOH7,True
VSX2,True
SNGC,False
OTX2/RCVRN,False
OTX2/RCVRN,False
SOX2,True
AP2A/HUC/D,False
TFAP2A,True
ONECUT2,True
TFAP2A,True
ONECUT2,True
ATOH7,True
PRDM13,True
PTF1A,True
HSPB1,True
FABP7,True
OTX2,True
DLL3,True
ATOH7,True
FABP7,True
PRDM13,True
DLL3,True
SOX2,True
AP2A,False
OTX2,True
OTX2,True
RCVRN,True
OTX2,True
VSX2,True
RCVRN,True
AP2A,False
CALB1,True
SOX11,True
GAL,True
ELAVL3,True
BRN3,False
RCVRN,True
PAX6,True
ATOH7,True
HES6,True
DLL3,True
SOX2,True
LHX2,True
POU4F1,True
NEFL,True
NRL-GFP,False
HUC/D,False
ATOH7,True
FABP7,True
RLBP1,True
AQP4,True
SLC1A3,True
VSX1,True
CABP5,True
GRM6,True
ASCL1,True
ATOH7,True
PRDM13,True
PTF1A,True
FABP7,True
OTX2,True
DLL3,True
HES6,True
DLL3,True
MKI67,True
ATOH7,True
OTX2,True
NEUROD1,True
Gal,True
Sox11,True
Elavl3,True
Rgs16,True
Fabp7,True
NFI family genes,False
NFI family genes,False
ATOH7,True
PRDM13,True
FABP7,True
VSX2,True
SOX2,True
OTX2,True
OTX2,True
BRN3,False
PAX6,True
RCVRN,True
VSX1,True
GRM6,True
RLBP1,True
SLC1A3,True
NRL,True
AP2A,False
SWS-OPN,False
HUC/D,False
HUC/D,False
OTX2,True
NR2E3,True
PGC,True
TFF1,True
MUC5AC,True
EPCAM,True
GIF,False
CHGA,True
THY1,True
DCN,True
COL4A1,True
FAP,True
PECAM,False
ENG,True
VWF,True
SELE,True
PTPRC,True
CD3D,True
CD4,True
IL7R,True
CD3D,True
CD8A,True
CD8B,True
FOXP3,True
IL2RA,True
NKG7,True
GNLY,True
MS4A1,True
Immunoglobulin genes,False
TPSAB1,True
CD68,True
CD14,True
FCGR3A,True
TFF3,True
FABP1,True
SPINK4,True
MUC13,True
REG4,True
KRT7,True
KRT17,True
SOX4,True
HES1,True
CD14,True
FCGR3A,True
CD68,True
CLEC4C,True
ID2,True
IRF4,True
CD83,True
CCL19,True
TNF,True
CCL5,True
MRC1,True
CCL18,True
CCL13,True
CD163,True
IL3RA (CD123),False
CLEC4C (CD303),False
CD83,True
CCR7,True
IL7R,True
ID2,True
CD4,True
CD8,False
Treg,False
B,False
GZMB,True
GZMA,True
PRF1,True
IFNG,True
NKG7,True
PDCD1,True
TIGIT,True
CD96,True
HAVCR2 (TIM3),False
LAG3,True
CTLA4,True
VSIR,True
ICOS,True
TNFRSF18 (GITR),False
CD27,True
TNFRSF9,True
CD40,True
CD226,True
TNFRSF4,True
CXCL13,True
CXCL13,True
RBPJ,True
NR3C1,True
BATF,True
CD45RO,False
CD3,False
PD-1,False
MKI67,True
TYMS,True
CCR7,True
SELL,True
GZMA,True
GZMB,True
CXCL13,True
BATF,True
HLA genes,False
PECAM,False
ENG,True
VWF,True
SELE,True
THY1,True
DCN,True
COL4A1,True
FAP,True
RSG5,False
PDGFRB,True
ESM1,True
ANGPT2,True
COL4A1,True
COL4A2,True
DLL4,True
MARCKSL1,True
ACKR1,True
CD36,True
SELP,True
ACTA2,True
SOX18,True
SOX7,True
EGR2,True
FOXF2,True
KDR,True
FLT1,True
FLT4,True
PDGFB,True
TEK,True
Ptf1a,True
Tfap2a,True
Tfap2b,True
Prox1,True
Lhx9,True
Otx2,True
Crx,True
Nrl,True
Prdm1,True
Rxrg,True
Pdc,True
Gnat2,True
Gnb3,True
Abca4,True
Ikzf1,True
Casz1,True
Rxrg,True
Nr2e3,True
Pou4f3,True
Ebf3,True
Irx2,True
Tfap2d,True
Gap43,True
Nell2,True
Rbpms2,True
Nefm,True
Irx3,True
Zic1,True
Mapt,True
Pou4f1/Brn3a,False
Rxrg,True
Lhx1,True
Foxn4,True
Pax6,True
Calretinin,False
GAD65,False
Chx10,False
Pou4f1,True
Sox9,True
Cone opsin,False
Arrestin,False
Protein kinase Cα,False
Bassoon,False
Ribeye,False
Synaptophysin,False
Pou4f1,True
Lhx1,True
Otx2,True
Crx,True
Nrl,True
Nr2e3,True
Thrb,True
Prdm1,True
Rxrg,True
Foxn4,True
Ptf1a,True
Ikzf1,True
Casz1,True
Pax6,True
Calretinin,False
GAD65,False
Calbindin,False
Lhx1,True
Calbindin,False
Chx10,False
Sox9,True
Pou4f1,True
Cone opsins (M and S opsins),False
Cone arrestin,False
CD3-CD7+GZMB+,False
CD3D,True
CD3E,True
IL32,True
CD2,True
IFITM1,True
GIMAP7,True
CD247,True
LCK,True
Lyz,True
S100A9,True
S100A8,True
S100A12,True
CD14,True
FCN1,True
CST4,True
SERPINA1,True
MNDA,True
LST1,True
MS4A6A,True
CD79A,True
CD79B,True
MS4A1,True
BANK1,True
VPREB3,True
FCER2,True
ADAM28,True
S100A9,True
S100A12,True
RETN,True
S100A8,True
IL1B,True
CCL3,True
IL8,False
PPBP,True
PF4,True
HLA-DPB1,True
HLA-DPA1,True
CCL3,True
CDKN1C,True
RHOC,True
LYPD2,True
CLEC10A,True
LILRA4,True
MZB1,True
ITM2C,True
CLEC4C,True
COL1A1,True
IGFBP7,True
COL1A2,True
SERPINH1,True
PPBP,True
PF4,True
GNG11,True
CD14+CD16+,False
CD14+CD16+,False
TCL1A,True
CD79A,True
CD79B,True
MS4A1,True
PMAIP1,True
ABCA6,True
TCF4,True
MS4A1,True
CD79A,True
CRIP1,True
IGJ,False
low TCL1A,False
low PMAIP1,False
Exhausted B cell marker,False
CCR7,True
LTb (TNFSF3),False
AQP3,True
GPR183,True
LDHB,True
CCR7,True
