species,tissue_type,cell_name,marker,pmid
Mouse,"Multiple tissues (heart, fat, dermis, etc.)",MRTMs (Lyve1hiMHCIIlo),MHCII,30872492
Human,Lung and omental and subcutaneous fat tissues,MRTMs (Lyve1loMHCIIhiCX3CR1hi),Lyve1,30872492
Human,Lung and omental and subcutaneous fat tissues,MRTMs (Lyve1loMHCIIhiCX3CR1hi),MHCII,30872492
Human,Lung and omental and subcutaneous fat tissues,MRTMs (Lyve1loMHCIIhiCX3CR1hi),CX3CR1,30872492
Human,Lung and omental and subcutaneous fat tissues,MRTMs (Lyve1hiMHCIIlo),Lyve1,30872492
Human,Lung and omental and subcutaneous fat tissues,MRTMs (Lyve1hiMHCIIlo),MHCII,30872492
Mouse,Lung,Interstitial Macrophage (Lyve1loMHCIIhiCX3CR1hi),Lyve1loMHCIIhiCX3CR1hi,30872492
Mouse,Lung,Interstitial Macrophage (Lyve1hiMHCIIloCX3CR1lo),Lyve1hiMHCIIloCX3CR1lo,30872492
Mouse,Fat,Interstitial Macrophage (Lyve1loMHCIIhiCX3CR1hi),Lyve1loMHCIIhiCX3CR1hi,30872492
Mouse,Fat,Interstitial Macrophage (Lyve1hiMHCIIloCX3CR1lo),Lyve1hiMHCIIloCX3CR1lo,30872492
Mouse,Heart,Interstitial Macrophage (Lyve1loMHCIIhiCX3CR1hi),Lyve1loMHCIIhiCX3CR1hi,30872492
Mouse,Heart,Interstitial Macrophage (Lyve1hiMHCIIloCX3CR1lo),Lyve1hiMHCIIloCX3CR1lo,30872492
Mouse,Dermis,Interstitial Macrophage (Lyve1loMHCIIhiCX3CR1hi),Lyve1loMHCIIhiCX3CR1hi,30872492
Mouse,Dermis,Interstitial Macrophage (Lyve1hiMHCIIloCX3CR1lo),Lyve1hiMHCIIloCX3CR1lo,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,H2-Aa,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,H2-Ab1,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,H2-DMb1,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,H2-Eb1,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,Cx3cr1,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII-,Lyve1,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII-,Cd38,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,Ccr2,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,Cd63,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,Maf,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,Fcgrt,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,Cd36,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,Marco,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,Ccr2,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,Ceacam1,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,Ly6e,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,Cx3cr1,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,Cd38,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,Cd163,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,S1pr1,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,CX3CR1,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,CD44,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,CLEC7A,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII+,CD72,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII-,CD36,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII-,CD38,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII-,C5AR1 (CD88),30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII-,CD169,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII-,Lyve1,30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII-,Mrc1 (CD206),30872492
Mouse,Lung,IM (Interstitial Macrophage) MHCII-,MafB,30872492
Mouse,Lung,Dendritic cell,ZBTB46,30872492
Mouse,Lung,Macrophage,Lyve1,30872492
Mouse,Lung,Macrophage,MHCII,30872492
Mouse,Lung,Monocyte,S100a4,30872492
Mouse,Lung,Alveolar macrophage,S100a4,30872492
Mouse,Lung,Monocyte,Cd45.1,30872492
Mouse,Lung,Monocyte,Cd45.2,30872492
Mouse,Lung,Monocyte,Ccr2,30872492
Mouse,Lung,Monocyte,Ly6C,30872492
Mouse,Lung,Lyve1loMHCIIhi macrophages,CX3CR1,30872492
Mouse,Lung,Lyve1hiMHCIIlo macrophages,CX3CR1,30872492
Mouse,Lung,Tissue macrophages,Slco2b1,30872492
Mouse,Lung,AMs and IMs,MerTK,30872492
Mouse,Lung,AMs and IMs,CD64,30872492
Mouse,Lung,Lyve1loMHCIIhi IMs,CX3CR1-,30872492
Mouse,Lung,Lyve1hiMHCIIlo IMs,CX3CR1+,30872492
Mouse,Brown adipose tissue,ATMs,CX3CR1-,30872492
Mouse,Brown adipose tissue,ATMs,CX3CR1+,30872492
Mouse,Heart,AVMs,CX3CR1+,30872492
Mouse,Lung,Lyve1loMHCIIhi IMs,H2-Eb1,30872492
Mouse,Lung,Lyve1loMHCIIhi IMs,Cd74,30872492
Mouse,Lung,Lyve1hiMHCIIlo IMs,Lyve1,30872492
Mouse,Lung,Lyve1hiMHCIIlo IMs,Mrc1,30872492
Mouse,Lung,Lyve1hiMHCIIlo IMs,Lyve1,30872492
Mouse,Lung,Lyve1hiMHCIIlo IMs,Timd4,30872492
Mouse,Lung,Lyve1hiMHCIIlo IMs,Cd5l,30872492
Mouse,Lung,Lyve1hiMHCIIlo IMs,Fcna,30872492
Mouse,Lung,Lyve1hiMHCIIlo IMs,Vsig4,30872492
Mouse,Lung,Lyve1loMHCIIhi IMs,Axl,30872492
Mouse,Lung,Lyve1loMHCIIhi IMs,Ccr2,30872492
Mouse,Lung,Lyve1loMHCIIhi IMs,Cx3cr1,30872492
Mouse,Lung,Lyve1loMHCIIhi IMs,H2-DMa,30872492
Mouse,Lung,Lyve1loMHCIIhi IMs,H2-Aa,30872492
Mouse,Lung,Lyve1loMHCIIhi IMs,H2-Eb1,30872492
Mouse,Lung,Lyve1loMHCIIhi IMs,H2-Ab1,30872492
Mouse,Lung,Lyve1loMHCIIhi IMs,Cd74,30872492
Mouse,Lung,Lyve1loMHCIIhi IMs,H2-K1,30872492
Human,Lung,Lyve1loMHCIIhi hIMs,CXCR4,30872492
Human,Lung,Lyve1loMHCIIhi hIMs,CLEC10A,30872492
Human,Lung,Lyve1loMHCIIhi hIMs,CCL17,30872492
Human,Lung,Lyve1hiMHCIIlo hIMs,MARCO,30872492
Human,Lung,Lyve1hiMHCIIlo hIMs,APOE,30872492
Human,Lung,Lyve1hiMHCIIlo hIMs,CD163,30872492
Human,Lung,CD45+CD11b+CD14+CD16−human lung macrophages (CD64+),CD11b,30872492
Human,Lung,CD45+CD11b+CD14+CD16−human lung macrophages (CD64+),CD169,30872492
Human,Lung,CD45+CD11b+CD14+CD16−human lung macrophages (CD64+),CD206,30872492
Human,Lung,CD45+CD11b+CD14+CD16−human lung macrophages (CD64+),Lyve1,30872492
Human,Lung,Lyve1+ cells,HLA-DR,30872492
Human,Lung,Lyve1+ cells,CX3CR1,30872492
Mouse,Brown adipose tissue,Sympathetic neuron–associated macrophages,CX3CR1,30872492
Human,,Macrophages,Lyve1,30872492
Mouse,,Macrophages,Lyve1,30872492
Mouse,Arterial,Macrophages,Lyve1,30872492
Mouse,Lung,Macrophage (blood vessel associated),Lyve1hiMHCIIlo,30872492
Mouse,Skin,Macrophage (blood vessel associated),Lyve1hiMHCIIlo,30872492
Mouse,Heart,Macrophage (blood vessel associated),Lyve1hiMHCIIlo,30872492
Mouse,Lung,Macrophage (nerve associated),Lyve1loMHCIIhi,30872492
Mouse,Skin,Macrophage (nerve associated),Lyve1loMHCIIhi,30872492
Mouse,Heart,Macrophage (nerve associated),Lyve1loMHCIIhi,30872492
Mouse,Lung,Macrophage,CD68,30872492
Mouse,Skin,Macrophage,CD68,30872492
Mouse,Heart,Macrophage,CD68,30872492
Mouse,Lung,Blood vessel,CD31,30872492
Mouse,Skin,Blood vessel,CD31,30872492
Mouse,Heart,Blood vessel,CD31,30872492
Mouse,Lung,Nerve,TUBB3,30872492
Mouse,Skin,Nerve,TUBB3,30872492
Mouse,Heart,Nerve,TUBB3,30872492
Mouse,,Macrophage (nerve associated),CX3CR1,30872492
Mouse,Lung,Lyve1hiMHCIIlo IMs,Lyve1,30872492
Mouse,Lung,Lyve1loMHCIIhi IMs,MHCII,30872492
Mouse,Heart,Lyve1hiMHCIIlo IMs,Lyve1,30872492
Mouse,Fat,Lyve1hiMHCIIlo IMs,Lyve1,30872492
Mouse,Lung,IM (Interstitial Macrophage),Lyve1hiMHCIIlo,30872492
Mouse,Lung,IM (Interstitial Macrophage),Lyve1loMHCIIhi,30872492
Mouse,Lung,Lyve1hiMHCIIlo IM (Interstitial Macrophage),Lyve1,30872492
Mouse,Lung,Lyve1hiMHCIIlo IM (Interstitial Macrophage),MHCII,30872492
Mouse,Lung,Inflammatory cells,SiglecF-,30872492
Mouse,Lung,Inflammatory cells,MerTK+,30872492
Mouse,Lung,Inflammatory cells,CD64+,30872492
Mouse,Lung,Macrophages,F4/80,30872492
Mouse,Lung,Macrophages,CD64,30872492
Mouse,Lung,Macrophages,MerTK,30872492
Mouse,,MRTMs (Macrophage-Related Tissue Macrophages),Lyve1,30872492
Mouse,,MRTMs (Macrophage-Related Tissue Macrophages),MHCII,30872492
Mouse,Lung,MRTMs (Macrophage-like cells),Lyve1,30872492
Mouse,Lung,MRTMs (Macrophage-like cells),MHCII,30872492
Mouse,Lung,Monocytes,Cd45.1,30872492
Mouse,Lung,Monocytes,CD115,30872492
Mouse,Lung,Monocytes,CD11b,30872492
Mouse,Lung,Monocytes,Ly6C,30872492
Mouse,Lung,Macrophages,CD68,30872492
Mouse,Lung,Endothelial cells,CD31,30872492
Mouse,Ear tissue,Endothelial cell,CD31,30872492
Mouse,Ear tissue,Lymphatic endothelial cell,LYVE-1,30872492
Mouse,Ear tissue,Macrophage,CD68,30872492
Mouse,,Monocyte-derived macrophages,CX3CR1,30872492
Mouse,Adipose tissue,Macrophage,LYVE-1,30872492
Mouse,,Classical dendritic cells and their committed progenitors,Zbtb46,30872492
Human and Mouse,Mucosal tissue,CD11b+ dendritic cells,IRF4,30872492
Human,,CD141hi cross-presenting dendritic cells,CD141,30872492
Mouse,,Nonlymphoid dendritic cells,CD103,30872492
Mouse,Lymphatic endothelial cells,Lymphatic endothelial cells,Sphingosine kinase,30872492
,Yolk sac,Definitive hemogenic endothelium,LYVE1,30872492
Mouse,,Tissue macrophages,Multiple genes (profiles and pathways),30872492
,Arterial,Macrophages,LYVE-1,30872492
Mouse,,Endothelial cell,Cdh5,30872492
,,Lymphatic endothelial cells,Ephrin-B2,30872492
,,Regulatory T cells (Tregs),Foxp3,30872492
Mouse,,Endothelial cell,Cdh5,30872492
,,Lymphatic endothelial cells,Ephrin-B2,30872492
,,Regulatory T cells (Tregs),Foxp3,30872492
Human,Heart,Cardiac muscle cell,LAMB2,30893597
Human,Heart,Cardiac muscle cell,LAMC1,30893597
Human,Heart,Cardiac muscle cell,LAMB1,30893597
Human,Heart,Cardiac muscle cell,LAMA2,30893597
Human,Heart,Cardiac muscle cell,LAMA5,30893597
Human,Heart,Cardiac muscle cell,LAMA4,30893597
Human,,Cardiomyocytes (CMs),TNNT2,30893597
Human,,Cardiomyocytes (CMs),ACTC1,30893597
Human,,Cardiomyocytes (CMs),MYH7,30893597
Human,,Cardiomyocytes (CMs),SIRPA,30893597
Human,Heart,Cardiomyocyte (CM),TNNI3,30893597
Human,Heart,Cardiomyocyte (CM),TNNT2,30893597
Human,Heart,Cardiomyocyte (CM),a-actinin,30893597
Human,Heart,Cardiomyocyte (CM),NKX2-5,30893597
Human,Heart,Cardiomyocyte (CM),MYH1,30893597
Human,Heart,Cardiac Progenitor (CVP),T (brachyury),30893597
Human,Heart,Cardiac Progenitor (CVP),MESP1,30893597
Human,Heart,Cardiac Progenitor (CVP),ISL1,30893597
Human,Heart,Cardiac Progenitor (CVP),TBX5,30893597
Human,Heart,Cardiac Progenitor (CVP),MEF2C,30893597
Human,Heart,Cardiac Progenitor (CVP),NKX2-5,30893597
Human,Heart,Cardiac Progenitor (CVP),C-KIT,30893597
Human,Heart,Cardiac Progenitor (CVP),GATA3,30893597
,,CVPs sub-population,TTN,30893597
,,CVPs sub-population,LUM,30893597
,,CVPs sub-population,EPCAM,30893597
,,CVPs,ISL1,30893597
,,CVPs,NKX2-5,30893597
,,CVPs,FUT4,30893597
,,CVPs,MESP1,30893597
,,CVPs,KDR,30893597
,,CVPs,SSEA-1,30893597
,,Pluripotent hESCs,POU5F1,30893597
,,Pluripotent hESCs,Tra1-60,30893597
,,Cardiomyocytes (implied from context),TNNT2,30893597
,,Cardiomyocytes (implied from context),MYH1,30893597
,,Cardiomyocytes (implied from context),TNNI3,30893597
,,Cardiomyocytes (implied from context),NKX2-5,30893597
,,Cardiomyocytes (implied from context),a-actinin,30893597
Human,Esophagus,Treg (T regulatory) cell,FOXP3,30958799
Human,Esophagus,Effector Th2 cell,GATA3,30958799
Human,Esophagus,Effector Th2 cell,HPGDS,30958799
Human,Esophagus,Effector Th2 cell,CRTH2,30958799
Human,Esophagus,Effector Th2 cell,IL-17RB,30958799
Human,Esophagus,Effector Th2 cell,FFAR3,30958799
Human,,T lymphocyte,IL-5,30958799
Human,,T lymphocyte,IL-17RB,30958799
Human,,CD4+ T cell,CD25/IL-2Rα,30958799
Human,,CD8+ T cell,CD25/IL-2Rα,30958799
Human,EoE tissue,T lymphocyte,ITGAE (CD103),30958799
Human,EoE tissue,CD3+ T cell,CXCR4,30958799
Human,EoE tissue,CD3+ T cell,CCR5,30958799
Human,EoE tissue,CD3+ T cell,CCR8,30958799
Human,EoE tissue,Tissue lymphocyte,IL-25 receptor,30958799
Human,EoE tissue,Tissue lymphocyte,HPGDS,30958799
Human,,T7 (Treg cells),CD4,30958799
Human,,T7 (Treg cells),MAF,30958799
Human,,T7 (Treg cells),FOXP3,30958799
Human,,T7 (Treg cells),CTLA4,30958799
Human,,T7 (Treg cells),IL-10,30958799
Human,,T7 (Treg cells),KLRB1 (CD161),30958799
Human,,T7 (Treg cells),ICOS,30958799
Human,,T7 (Treg cells),CD25 (IL2RA),30958799
Human,,T7 (Treg cells),CCR6,30958799
Human,,T7 (Treg cells),CCR4,30958799
Human,,T8 (effector Th2 cells),CD4,30958799
Human,,T8 (effector Th2 cells),GATA3,30958799
Human,,T8 (effector Th2 cells),Th2 signature markers,30958799
Human,,T8 (effector Th2 cells),KLRB1 (CD161),30958799
Human,,T8 (effector Th2 cells),CXCR4,30958799
Human,,T8 (effector Th2 cells),CCR4,30958799
Human,,T8 (effector Th2 cells),CD294/CRTH2/PTGDR2,30958799
Human,,T8 (effector Th2 cells),ITGA4,30958799
Human,,T7 (memory Treg),CD4,30958799
Human,,T7 (memory Treg),FOXP3,30958799
Human,,T7 (memory Treg),IL-10,30958799
Human,,T7 (memory Treg),CTLA4,30958799
Human,,T7 (memory Treg),IL-2A (CD25),30958799
Human,,T7 (memory Treg),IL-1R1,30958799
Human,,T7 (memory Treg),IL-1R2,30958799
Human,,T8 (effector Th2),GATA3,30958799
Human,,T8 (effector Th2),IL-4,30958799
Human,,T8 (effector Th2),IL-5,30958799
Human,,T8 (effector Th2),IL-13,30958799
Human,,T8 (effector Th2),HPGDS,30958799
Human,,T8 (effector Th2),IL-17RB,30958799
Human,,T8 (effector Th2),CD40LG,30958799
Human,,T8 (effector Th2),NFAT1,30958799
Human,,T8 (effector Th2),NFκB1,30958799
Human,,T8 (effector Th2),AHR,30958799
Human,,T8 (effector Th2),NR3C1,30958799
Human,,T8 (effector Th2),PPARG,30958799
Human,,T8 (effector Th2),PTGDR2 (CRTH2),30958799
Human,,T8 (effector Th2),IL1RL1 (ST2L),30958799
,,T8,GATA3,30958799
,,T7,FOXP3,30958799
,,T8,PPARG,30958799
,,T8,AHR,30958799
,,T8,NR3C1,30958799
,,T8,NFKBIZ,30958799
,,T8,NFATC3,30958799
,,T8,NFAT5,30958799
,,T8,JUN,30958799
Human,EoE tissue,Th2 cell,IL-4,30958799
Human,EoE tissue,Th2 cell,IL-5,30958799
Human,EoE tissue,Th2 cell,IL-13,30958799
Human,EoE tissue,T lymphocyte,IFNG,30958799
Human,Esophageal tissue,Th1 cell,IFNG,30958799
Human,Esophageal tissue,Th2 cell,IL4,30958799
Human,Esophageal tissue,Th2 cell,IL5,30958799
Human,Esophageal tissue,Th2 cell,IL13,30958799
Human,Esophageal tissue,Th1 cell,IFNG,30958799
Human,Esophageal tissue,Th2 cell,IL4,30958799
Human,Esophageal tissue,Th2 cell,IL5,30958799
Human,Esophageal tissue,Th2 cell,IL13,30958799
Human,,CD4+ T cell,IL-2,30958799
Human,,CD4+ T cell,TNF-α,30958799
Human,,CD4+ T cell,IFN-γ,30958799
Human,,CD8+ T cell,IFN-γ,30958799
Human,,CD8+ T cell,TNF-α,30958799
Human,,T7 (T cell cluster),IL10,30958799
Human,,Treg (T7),FOXP3,30958799
Human,,T7 (Treg),IL10,30958799
Human,,T7 (Treg),TGFB1,30958799
Human,,CD4+ T cells,IL10,30958799
Human,,CD8+ T cells,IL10,30958799
Human,,T7 (Treg),IL2RA/CD25,30958799
Human,,T8,IL2RA/CD25,30958799
Human,,CD8+ T1–T6,TGFB1,30958799
Human,,T7,TGFB1,30958799
Human,,T1–T3,IL17A,30958799
Human,,T7,IL17A,30958799
Human,EoE tissue,T cells (IL5 producers),IL5,30958799
Human,EoE tissue,T cells (FFAR3+),FFAR3,30958799
Human,Blood,CD4+ T cells,FFAR3,30958799
Mouse,Lung,CD4+ lymphocytes,IL-4,30958799
Human,,Treg-like cells,CD4+ FOXP3+ IL-10+ CTLA4+ IL-2A(CD25)+ IL-1R1/R2+,30958799
Human,,Th2 cells,CD4+ GATA3+ IL-4+ IL-5+ IL-13+ HPGDS+ CRTH2+ IL-17RB+ CD40LG (CD154)+ NFAT1+ NFκ-B1+ AHR+ NR3C1+ PPARG+,30958799
,Retina,Endothelial cell,GS-lectin,30988181
,Retina,Muller cell,Aquaporin-4,30988181
,Retina,Rod bipolar cell,PKC-alpha,30988181
,Retina,Horizontal cell,Neurofilament-H,30988181
,Retina,Horizontal cell,Calbindin,30988181
,Retina,RGC axons,Neurofilament-H,30988181
,Retina,Cholinergic amacrine cells,Calretinin,30988181
,Retina,Amacrine and RGC subsets,Calretinin,30988181
,Retina,Glutamatergic synapses (presynaptic),Vesicular glutamate transporter-1,30988181
,Retina,Postsynaptic density,Postsynaptic density protein 95,30988181
,,INL cell,Bnip3,30988181
,,INL cell,Bsg,30988181
,,EC,Bsg,30988181
,,INL cell,Bnip3,30988181
,,INL cell,Bsg,30988181
,,EC,Bsg,30988181
Mouse,Retina,Muller glia,Vegfa,30988181
Mouse,Retina,Muller glia,Ndufa4l2,30988181
Mouse,Retina,Muller glia,Bsg,30988181
Mouse,Retina,Muller glia,Mt1,30988181
Mouse,Retina,Muller glia,Hes1,30988181
Mouse,Retina,Muller glia,Nupr1,30988181
Mouse,Retina,Muller glia,Vim,30988181
Mouse,Retina,Muller glia,Gfap,30988181
Mouse,Cortical tissue,Endothelial cell,Pecam1,30988181
Mouse,Cortical tissue,Tip cell,Apln,30988181
Mouse,Cortical tissue,Tip cell,Angpt2,30988181
Mouse,Cortical tissue,Arterial cell,Fbln5,30988181
Mouse,Cortical tissue,Venous cell,Nrp2,30988181
Mouse,Cortical tissue,Capillary cell,Ddc,30988181
Human,,Endocardial cell,TBX2,31028265
Human,,Endocardial cell,TBX20,31028265
Human,,Endocardial cell,GATA5,31028265
Human,,Endocardial cell,MSX1,31028265
Human,,Endocardial cell,SMAD6,31028265
Human,,Endocardial cell,PITX2,31028265
Human,,Endocardial cell,HES1,31028265
Human,,Endocardial cell,NFATc,31028265
Human,,Endocardial cell,ADORA,31028265
Human,,Endocardial cell,GALANIN,31028265
Human,,Endocardial cell,TGFβ1,31028265
Human,,Endocardial cell,TGFβ2,31028265
Human,,Endocardial cell,THROMBOSPONDIN,31028265
Human,,Endocardial cell,ERBB4,31028265
Human,,Endocardial cell,ADAM19,31028265
Human,,Endocardial cell,CAV1,31028265
Human,,Endocardial cell,PDGFRα,31028265
Human,,Endocardial cell,LMCD1,31028265
Human,,Endocardial cell,GATA6,31028265
Human,,Endocardial cell,KDR,31028265
Human,,Endocardial cell,FLT1,31028265
Human,,Endocardial cell,FLI1,31028265
Human,,Endocardial cell,TIE2,31028265
Human,,Endothelial cell,CD31,31028265
Human,,Endothelial cell,KDR,31028265
Human,,Endothelial cell,VE-cadherin,31028265
Human,,AVC and endocardial cells,GATA5,31028265
Human,,AVC and endocardial cells,TBX3,31028265
Human,,AVC and endocardial cells,TBX20,31028265
Human,,AVC and endocardial cells,NFATc,31028265
Human,,AVC and endocardial cells,MSX1,31028265
Human,,Endothelial and endocardial cell population,CDH5,31028265
Human,,Endothelial and endocardial cell population,ENG,31028265
Human,,Endothelial and endocardial cell population,PECAM1,31028265
Human,,Endothelial and endocardial cell population,KLF2,31028265
Human,,Endothelial and endocardial cell population,NOTCH4,31028265
Human,,Endothelial and endocardial cell population,SOX17,31028265
Human,,Endothelial and endocardial cell population,SOX18,31028265
Human,,Endothelial and endocardial cell population,ETS1,31028265
Human,,Endothelial and endocardial cell population,TWIST1,31028265
Human,,Endothelial and endocardial cell population,THSD1,31028265
Human,,Endothelial and endocardial cell population,HEY1,31028265
,,Endothelial cell,CDH5,31028265
,,Endothelial cell,PECAM1,31028265
,,TWIST1+ cells,GATA5,31028265
,,TWIST1+ cells,TBX2,31028265
,,TWIST1+ cells,TBX3,31028265
,,TWIST1+ cells,MSX1,31028265
,,Hemogenic endocardial cell population,ETS1,31028265
