original,corrected,candidates,reason
IL-25,IL25,"[{'symbol': 'IL25', 'alias_symbol': 'IL-25 IL-17E', 'prev_symbol': 'IL17E', 'name': 'interleukin 25', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MYDGF', 'alias_symbol': 'R33729_1 IL25 SF20 IL-25 IL-27', 'prev_symbol': 'IL27 IL27w C19orf10', 'name': 'myeloid derived growth factor', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL22', 'alias_symbol': 'ILTIF IL-21 zcyto18 IL-TIF IL-D110 TIFa TIFIL-23 IL-22 MGC79382 MGC79384', 'prev_symbol': '', 'name': 'interleukin 22', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL36G', 'alias_symbol': 'IL-1H1 IL-1RP2 IL-1F9 IL1H1 IL1E', 'prev_symbol': 'IL1F9', 'name': 'interleukin 36 gamma', 'alias_name': '', 'prev_name': ''}, {'symbol': 'SNORD115-25', 'alias_symbol': 'HBII-52-25', 'prev_symbol': '', 'name': 'small nucleolar RNA, C/D box 115-25', 'alias_name': '', 'prev_name': ''}]",在候选信息列表中，第一个候选信息的'symbol'为'IL25'，并且其'alias_symbol'包含'IL-25'，这与原始标记完全匹配。其他候选信息虽然可能包含'IL-25'，但它们的主要'symbol'并不符合基因命名规范或不直接对应于原始标记。因此，选择第一个候选信息的'symbol'作为标准化结果。
receptor,receptor,"[{'symbol': 'INSRR', 'alias_symbol': 'IRR', 'prev_symbol': '', 'name': 'insulin receptor related receptor', 'alias_name': '', 'prev_name': ''}, {'symbol': 'CALCRL', 'alias_symbol': 'CGRPR CRLR', 'prev_symbol': '', 'name': 'calcitonin receptor like receptor', 'alias_name': '', 'prev_name': ''}, {'symbol': 'ROR1', 'alias_symbol': '', 'prev_symbol': 'NTRKR1', 'name': 'receptor tyrosine kinase like orphan receptor 1', 'alias_name': '', 'prev_name': ''}, {'symbol': 'ROR2', 'alias_symbol': '', 'prev_symbol': 'NTRKR2 BDB BDB1', 'name': 'receptor tyrosine kinase like orphan receptor 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'PRLR', 'alias_symbol': '', 'prev_symbol': '', 'name': 'prolactin receptor', 'alias_name': '', 'prev_name': ''}]","原始标记""receptor""是一个非常通用的词汇，没有明确指向具体的基因。在候选信息列表中，多个基因的名称或别名包含""receptor""（如INSRR、CALCRL、ROR1、ROR2和PRLR），但没有任何一个候选信息能够明确表明其优先匹配""receptor""。因此，无法确定唯一的标准化结果。"
IL-10,IL10,"[{'symbol': 'IL10', 'alias_symbol': 'CSIF TGIF IL10A IL-10', 'prev_symbol': '', 'name': 'interleukin 10', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL22', 'alias_symbol': 'ILTIF IL-21 zcyto18 IL-TIF IL-D110 TIFa TIFIL-23 IL-22 MGC79382 MGC79384', 'prev_symbol': '', 'name': 'interleukin 22', 'alias_name': '', 'prev_name': ''}, {'symbol': 'KRTAP10-10', 'alias_symbol': 'KAP10.10 KAP18.10 KRTAP18-10', 'prev_symbol': '', 'name': 'keratin associated protein 10-10', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL36G', 'alias_symbol': 'IL-1H1 IL-1RP2 IL-1F9 IL1H1 IL1E', 'prev_symbol': 'IL1F9', 'name': 'interleukin 36 gamma', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL37', 'alias_symbol': 'FIL1 FIL1Z FIL1(ZETA) IL-1H4 IL-1RP1 IL-1F7', 'prev_symbol': 'IL1F7', 'name': 'interleukin 37', 'alias_name': '', 'prev_name': ''}]",在候选信息列表中，第一个候选信息的'symbol'为'IL10'，其'alias_symbol'包含'IL-10'，这与原始标记完全匹配。因此，选择该候选信息的'symbol'作为标准化结果。
KLRB1 CD161 ,KLRB1,"[{'symbol': 'KLRB1', 'alias_symbol': 'CD161 NKR-P1 NKR-P1A hNKR-P1A CLEC5B', 'prev_symbol': 'NKR', 'name': 'killer cell lectin like receptor B1', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-OHR', 'alias_symbol': '', 'prev_symbol': 'MTOHR', 'name': 'mitochondrially encoded heavy strand origin of replication', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}]","原始标记中的""KLRB1 CD161""与候选信息中第一个条目的'symbol'（KLRB1）和'alias_symbol'（CD161 NKR-P1 NKR-P1A hNKR-P1A CLEC5B）完全匹配，因此选择该条目的'symbol'作为标准化结果。"
CD25 IL2RA ,IL2RA,"[{'symbol': 'IL2RA-AS1', 'alias_symbol': '', 'prev_symbol': '', 'name': 'IL2RA antisense RNA 1', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL2RA', 'alias_symbol': 'CD25', 'prev_symbol': 'IL2R IDDM10', 'name': 'interleukin 2 receptor subunit alpha', 'alias_name': '', 'prev_name': ''}, {'symbol': 'LIRIL2R', 'alias_symbol': '', 'prev_symbol': '', 'name': 'lincRNA regulator of IL2RA', 'alias_name': '', 'prev_name': ''}, {'symbol': 'ISG20', 'alias_symbol': 'HEM45 CD25', 'prev_symbol': '', 'name': 'interferon stimulated exonuclease gene 20', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}]","在候选信息列表中，第二个条目{'symbol': 'IL2RA', 'alias_symbol': 'CD25', ...}的别名包含了原始标记中的""CD25""，并且其符号为""IL2RA""，与原始标记中的""IL2RA""完全一致。因此，该候选信息与原始标记最匹配。"
Th2,TH2LCRR,"[{'symbol': 'TH2LCRR', 'alias_symbol': 'TH2-LCR', 'prev_symbol': '', 'name': 'T helper type 2 locus control region associated RNA', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}]","在候选信息列表中，第一个条目'symbol'为'TH2LCRR'，其'name'为'T helper type 2 locus control region associated RNA'，与原始标记""Th2""高度相关，因为""Th2""通常指代T helper 2细胞相关的基因或区域。因此，选择该候选信息的'symbol'作为标准化结果。"
signature,signature,"[{'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4', 'alias_symbol': 'ND4 NAD4', 'prev_symbol': 'MTND4 LHON', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4', 'alias_name': '', 'prev_name': ''}]","原始标记""signature""在候选信息列表中没有找到任何匹配的'symbol'、'alias_symbol'、'prev_symbol'、'name'、'alias_name'或'prev_name'。因此，无法将原始标记标准化为候选信息中的任何结果。"
markers,markers,"[{'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4', 'alias_symbol': 'ND4 NAD4', 'prev_symbol': 'MTND4 LHON', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4', 'alias_name': '', 'prev_name': ''}]","原始标记""markers""是一个通用术语，未提供具体基因相关信息。候选信息列表中的所有条目均代表特定基因，无法与""markers""建立明确的匹配关系。因此，无法选择任何一个候选信息作为标准化结果。"
CD294/CRTH2/PTGDR2,PTGDR2,"[{'symbol': 'PTGDR2', 'alias_symbol': 'CRTH2 CD294 DP2', 'prev_symbol': 'GPR44', 'name': 'prostaglandin D2 receptor 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP1', 'alias_symbol': '', 'prev_symbol': 'MTHSP1', 'name': 'mitochondrially encoded major H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4', 'alias_symbol': 'ND4 NAD4', 'prev_symbol': 'MTND4 LHON', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4', 'alias_name': '', 'prev_name': ''}]","在候选信息列表中，第一个条目包含与原始标记""CD294/CRTH2/PTGDR2""高度匹配的信息。其'symbol'为""PTGDR2""，且'alias_symbol'中包含""CRTH2""和""CD294""，这与原始标记中的内容完全一致。因此，选择该条目的'symbol'作为标准化结果。"
IL-2A CD25 ,IL2RA,"[{'symbol': 'RNVU1-2A', 'alias_symbol': 'vU1.2a RNVU1.2a', 'prev_symbol': '', 'name': 'RNA, variant U1 small nuclear 2A', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL22', 'alias_symbol': 'ILTIF IL-21 zcyto18 IL-TIF IL-D110 TIFa TIFIL-23 IL-22 MGC79382 MGC79384', 'prev_symbol': '', 'name': 'interleukin 22', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL2RA', 'alias_symbol': 'CD25', 'prev_symbol': 'IL2R IDDM10', 'name': 'interleukin 2 receptor subunit alpha', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL36G', 'alias_symbol': 'IL-1H1 IL-1RP2 IL-1F9 IL1H1 IL1E', 'prev_symbol': 'IL1F9', 'name': 'interleukin 36 gamma', 'alias_name': '', 'prev_name': ''}, {'symbol': 'EIF2A', 'alias_symbol': 'EIF-2A', 'prev_symbol': '', 'name': 'eukaryotic translation initiation factor 2A', 'alias_name': '', 'prev_name': ''}]","原始标记""IL-2A CD25""中包含""CD25""，而候选信息中有一个条目(symbol为""IL2RA"")的alias_symbol正好是""CD25""，这表明IL2RA是与原始标记最匹配的结果。"
IL-1R1,IL-1R1,"[{'symbol': 'IL22', 'alias_symbol': 'ILTIF IL-21 zcyto18 IL-TIF IL-D110 TIFa TIFIL-23 IL-22 MGC79382 MGC79384', 'prev_symbol': '', 'name': 'interleukin 22', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL36G', 'alias_symbol': 'IL-1H1 IL-1RP2 IL-1F9 IL1H1 IL1E', 'prev_symbol': 'IL1F9', 'name': 'interleukin 36 gamma', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL37', 'alias_symbol': 'FIL1 FIL1Z FIL1(ZETA) IL-1H4 IL-1RP1 IL-1F7', 'prev_symbol': 'IL1F7', 'name': 'interleukin 37', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL25', 'alias_symbol': 'IL-25 IL-17E', 'prev_symbol': 'IL17E', 'name': 'interleukin 25', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL18', 'alias_symbol': 'IGIF IL1F4 IL-1g IL-18', 'prev_symbol': '', 'name': 'interleukin 18', 'alias_name': '', 'prev_name': ''}]","在候选信息列表中，没有找到与原始标记""IL-1R1""完全匹配的'symbol'或其别名。因此无法进行标准化修正。"
IL-1R2,IL-1R2,"[{'symbol': 'IL22', 'alias_symbol': 'ILTIF IL-21 zcyto18 IL-TIF IL-D110 TIFa TIFIL-23 IL-22 MGC79382 MGC79384', 'prev_symbol': '', 'name': 'interleukin 22', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL36G', 'alias_symbol': 'IL-1H1 IL-1RP2 IL-1F9 IL1H1 IL1E', 'prev_symbol': 'IL1F9', 'name': 'interleukin 36 gamma', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL37', 'alias_symbol': 'FIL1 FIL1Z FIL1(ZETA) IL-1H4 IL-1RP1 IL-1F7', 'prev_symbol': 'IL1F7', 'name': 'interleukin 37', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL25', 'alias_symbol': 'IL-25 IL-17E', 'prev_symbol': 'IL17E', 'name': 'interleukin 25', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL18', 'alias_symbol': 'IGIF IL1F4 IL-1g IL-18', 'prev_symbol': '', 'name': 'interleukin 18', 'alias_name': '', 'prev_name': ''}]","原始标记""IL-1R2""在所有候选信息中未找到匹配的'symbol'或'alias_symbol'。候选信息中的基因符号和别名均与""IL-1R2""不相关，因此无法修正为标准化结果。"
